Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
13.5,10.333333333333334,2.0,10.75,6.0,8.666666666666666,7.5,11.75,10.75,3.5,10.25,12.75,9.2,7.5,13.125,11.5,6.5,9.166666666666666,10.75,6.25
15.0,12.166666666666666,6.0,10.5,11.75,13.333333333333334,10.125,13.5,10.5,11.0,12.5,12.5,12.4,11.333333333333334,13.625,13.833333333333334,8.75,10.666666666666666,11.0,10.5
15.0,12.166666666666666,14.0,12.75,11.0,10.0,10.75,11.75,12.75,8.5,12.25,13.75,11.0,12.833333333333334,13.75,11.666666666666666,9.0,12.0,14.5,13.25
13.0,12.666666666666666,11.0,10.5,13.0,11.666666666666666,10.5,13.25,10.5,9.5,11.0,14.875,11.4,11.333333333333334,14.125,14.166666666666666,7.5,11.666666666666666,14.75,12.0
15.0,12.5,11.0,14.25,13.0,13.0,12.75,12.25,14.25,12.5,14.25,8.75,12.8,14.166666666666666,14.5,12.333333333333334,13.5,12.833333333333334,13.25,14.25
8.0,11.166666666666666,11.0,12.5,14.25,12.333333333333334,14.0,11.25,12.5,13.0,10.75,12.625,12.0,11.333333333333334,13.5,11.0,13.0,13.666666666666666,10.75,11.75
13.0,13.166666666666666,9.0,11.75,14.25,12.666666666666666,14.375,11.75,11.75,14.5,13.75,10.625,13.0,9.833333333333334,14.75,12.0,16.0,15.333333333333334,12.5,12.25
16.0,14.666666666666666,12.0,11.25,15.5,15.166666666666666,11.125,15.5,11.25,14.5,12.0,12.625,14.7,10.333333333333334,15.625,15.666666666666666,14.75,12.833333333333334,14.75,7.25
5.0,9.166666666666666,7.0,6.5,12.75,12.0,10.875,10.5,6.5,14.0,8.0,10.25,10.8,6.333333333333333,15.625,10.166666666666666,10.75,10.666666666666666,10.5,5.0
14.0,10.5,16.0,11.0,12.25,13.333333333333334,10.875,10.5,11.0,12.0,12.5,10.25,11.6,9.666666666666666,14.375,11.5,13.25,11.666666666666666,14.0,8.25
15.0,13.166666666666666,14.0,9.5,12.75,13.0,11.125,13.5,9.5,13.5,14.0,12.5,13.0,8.333333333333334,13.625,13.5,13.75,12.666666666666666,14.0,8.75
12.0,10.666666666666666,10.0,12.0,10.75,12.0,10.125,10.5,12.0,9.25,13.25,14.0,10.4,12.666666666666666,13.5,12.333333333333334,10.5,11.0,14.5,14.5
14.5,11.0,1.5,12.5,8.25,9.0,10.25,12.5,12.5,6.75,11.25,12.0,10.0,9.0,9.25,11.666666666666666,6.75,13.0,10.5,6.25
7.0,9.333333333333334,7.0,7.0,10.0,9.333333333333334,8.75,8.0,7.0,11.0,8.0,13.75,9.2,6.166666666666667,15.75,8.666666666666666,12.5,8.666666666666666,11.0,5.5
10.5,13.666666666666666,12.0,9.75,11.0,11.166666666666666,11.5,13.25,9.75,12.5,9.75,12.75,12.1,7.166666666666667,15.125,13.5,13.0,11.833333333333334,14.75,9.25
6.0,10.166666666666666,8.0,7.5,15.0,11.5,11.625,11.5,7.5,16.0,9.25,11.375,11.4,7.5,13.75,10.333333333333334,9.5,11.0,8.5,6.75
12.0,14.0,12.0,15.0,12.5,11.833333333333334,12.75,12.75,15.0,11.5,14.25,12.0,12.5,14.666666666666666,13.375,13.5,11.5,14.166666666666666,12.75,14.0
4.5,12.5,3.5,12.0,13.25,11.5,12.25,13.5,12.0,11.75,11.25,15.75,12.4,11.833333333333334,10.75,12.333333333333334,12.0,12.833333333333334,12.5,11.5
5.0,11.833333333333334,9.0,13.25,11.5,10.333333333333334,12.75,13.25,13.25,10.0,12.25,15.25,10.8,12.5,11.25,13.0,11.5,12.666666666666666,9.5,11.75
17.5,11.5,11.0,13.0,12.5,12.833333333333334,12.125,12.0,13.0,11.25,13.0,12.0,12.1,13.166666666666666,12.5,12.166666666666666,12.0,12.833333333333334,15.25,13.25
10.0,12.333333333333334,10.0,13.75,12.5,12.166666666666666,13.75,12.75,13.75,11.0,12.75,14.25,12.1,13.5,12.125,12.833333333333334,12.5,13.5,11.75,14.5
7.0,14.666666666666666,9.0,11.0,12.5,14.833333333333334,12.375,13.75,11.0,13.5,13.0,9.5,14.9,11.166666666666666,12.375,13.833333333333334,13.75,12.833333333333334,11.25,11.0
12.5,11.166666666666666,8.0,11.0,12.5,11.5,12.875,10.0,11.0,11.25,10.5,10.75,11.1,11.166666666666666,11.75,10.833333333333334,11.0,13.833333333333334,13.25,10.25
13.5,15.666666666666666,2.5,13.25,9.0,8.666666666666666,9.75,14.25,13.25,6.0,12.25,13.625,12.0,9.5,10.875,13.833333333333334,8.25,11.5,11.25,8.25
11.5,14.5,8.5,10.75,12.5,12.0,12.875,14.75,10.75,11.0,12.75,11.0,13.3,8.333333333333334,12.875,14.166666666666666,14.0,13.666666666666666,13.75,12.5
14.0,13.166666666666666,15.0,9.75,14.75,13.0,9.5,14.75,9.75,14.0,10.75,10.625,13.2,9.833333333333334,11.125,14.0,12.5,10.5,7.0,9.25
