Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Andrés Céspedes,2000043877,1,0,0,0,0,0,0,0,0,0,0,0,0,0
José Curras,67294881,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Arnau Comas,67258409,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Samir Kacem,2000433838,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Javi López,67293674,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Borja Sainz,67277845,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Adil Aouchiche,49048441,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Xabier Garmendia,2000631378,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ander Imaz,2000439533,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Rafa Mir,67221051,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Alexander Sørloth,53063430,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Arnar Bragason,2000357424,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Carlos Abad,67198215,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lirim Kastrati,24058534,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Joseph Ngwem,2000202611,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Asier Rodríguez,2000572954,0,0,0,0,0,0,0,0,0,1,0,0,1,0
David Martínez,14136117,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Luca Sangalli,67190076,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Birger Meling,29126536,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Ibrahim Sangaré,48042717,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Vyacheslav Karavaev,58076747,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Schurrle,83223653,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Suleimane Rodrigues,2000190096,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Stefan Ranđelović,62247042,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubén Garrido,2000515088,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,2000068663,0,0,0,0,0,0,0,0,0,0,0,0,0,1
