Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Mauricio Morán,2000192669.0,14.5,13.5,10.25,12.17,13.0,7.0,14.0,10.5
Juan Ángel Muñoz,2000512204.0,1.5,12.38,12.0,14.0,2.25,1.5,2.5,2.25
Junior Esparragoza,2000179937.0,2.5,14.0,12.5,13.75,2.25,2.5,2.5,2.75
Ricardo Peralta,2000438819.0,2.25,11.75,11.5,14.33,2.0,4.0,1.5,3.0
Josep,2000513274.0,2.25,15.75,15.0,12.42,2.25,2.5,1.75,3.0
Ramiro Gabarri,2000198124.0,1.75,14.62,15.0,10.17,1.75,1.5,2.0,2.0
Luis Nsambi,2000631649.0,2.75,12.62,12.75,11.83,2.25,3.0,2.5,3.25
Mamadou Coly,2000440193.0,3.0,13.5,15.5,10.33,2.75,3.0,2.25,2.25
Francisco Jesús Carbonell,2000440196.0,2.0,12.88,13.0,13.08,2.5,3.0,1.75,2.25
Alberto,2000512206.0,2.0,13.38,13.0,10.17,2.5,1.5,3.25,1.75
Raúl De Tomás,67156425.0,2.75,9.75,10.5,11.75,1.75,1.5,2.25,2.25
Guillermo Centurión,78095397.0,13.5,9.62,11.0,11.0,11.25,10.5,9.5,12.0
Gustavo Zamora,2000512210.0,3.25,13.38,15.5,10.33,3.25,3.0,2.5,3.75
Bright Adjei,2000660374.0,1.5,12.5,12.0,11.83,2.0,1.0,3.5,1.5
Álex Olmedo,2000034591.0,1.0,11.75,14.0,9.83,1.5,2.0,2.5,2.0
Antonio Sánchez,67272744.0,2.0,11.88,11.75,12.08,3.0,3.0,2.75,3.0
Kike Barja,67196202.0,2.25,11.38,12.5,11.83,2.0,2.5,2.0,2.0
Sem Westerveld,37079077.0,11.5,8.25,7.0,10.83,11.5,10.0,13.5,9.5
Fali,67155014.0,2.0,7.88,7.25,14.5,2.75,2.0,3.25,4.0
Chema Nuñez,67232678.0,3.5,9.62,11.5,10.33,2.25,3.5,2.25,1.75
Fran Pérez,95078306.0,3.75,11.5,14.5,9.67,2.25,3.5,2.25,2.0
Diego Moreno,2000024303.0,1.5,12.88,15.5,12.08,3.0,2.0,2.25,3.5
Ezequiel Aranda,14246685.0,3.5,14.38,15.0,13.42,3.25,2.0,1.75,2.75
Ángel Luis Arcas,2000571805.0,2.5,12.62,14.75,13.0,4.0,3.5,2.75,3.5
