Player,UID,Position
Jan Oblak,64016316,GK
Marc Jurado,2000032704,"D (RC), WB/AM (R)"
Nehuén Pérez,14181374,D (C)
Malang Sarr,48036830,D (LC)
Gonzalo Sánchez,2000416515,"D (LC), AM (L)"
Simone Panada,43425634,"DM, M (C)"
Sergej Milinković-Savić,62127037,"DM, M/AM (C)"
Nikola Stanković,2000211075,"M (RC), AM (R)"
Manoel Azambuja,2000410625,"M (C), AM (RLC)"
João Félix,83169822,"AM (RLC), ST (C)"
Oğuz Civelek,2000232509,ST (C)
Pierre Dwomoh,2000006277,"M (C), AM (RC), ST (C)"
Matteo Godfroid,18114989,GK
Juan Manuel,2000510085,D/WB/M (L)
Thomas Lemar,85093001,"D (L), M/AM (RLC)"
Lorenzo Granelli,2000437491,ST (C)
José Giménez,78060464,"D (RC), DM"
Marcos Llorente,67196198,"DM, M/AM (C)"
Dimo Krastev,22081455,"D (C), DM, M (C)"
Frank Onyeka,27129125,"DM, M (C)"
Lamine Silva,2000438826,"DM, M (C)"
Lee Sang-Hoon,2000495264,M/AM (R)
Alexander Villarreal,2000499325,"M (R), AM (RC)"
