Player,UID,CD,BPD,NNCB,Lib
Unai Simón,67200923.0,11.1,11.3,10.6,10.3
Noël Roux,2000188122.0,12.2,12.1,12.1,13.05
Ronald Araújo,78085068.0,15.8,15.5,15.2,13.8
Alessandro Bastoni,43252460.0,15.1,14.8,14.9,13.7
Juan Vela,2000489085.0,14.3,14.55,14.35,13.0
Florentino Luís,83169817.0,15.4,15.0,15.1,15.0
Phil Foden,28108494.0,11.4,12.2,10.7,14.8
Jonay Morán,2000194461.0,11.7,12.8,11.6,14.5
Diego Laínez,51063318.0,9.8,10.0,9.4,12.6
Rayan Cherki,49056279.0,9.8,10.8,9.2,12.2
Radovan Drakulić,2000211170.0,12.4,13.3,12.1,12.7
0,35017428.0,11.1,11.2,10.8,10.6
Joan Planchart,2000509911.0,14.45,13.4,14.55,13.75
Ilaix Moriba,67279753.0,13.1,13.7,13.2,14.3
Péricles,2000410450.0,9.4,9.8,9.2,10.7
Pierre Fournier,2000435814.0,9.9,11.0,9.3,12.5
Pau Torres,67217522.0,15.6,15.8,15.7,13.9
Dejan Kulusevski,43295814.0,12.1,12.8,11.9,14.2
Gabriel Jesus,19220266.0,11.0,11.3,10.8,12.7
Rodrygo,19306929.0,9.3,10.6,9.2,11.4
Harry Kane,28049320.0,12.9,12.8,12.3,14.4
Benoît Badiashile,49038942.0,14.85,14.6,14.65,13.05
Sergio Reguilón,67211900.0,13.0,12.7,12.8,14.25
Vítor Ferreira,83174762.0,11.9,12.2,11.6,15.0
Tomás Esteves,83228786.0,12.7,12.85,12.05,13.85
Franck Lacroix,2000192663.0,10.15,10.85,9.85,11.5
Gennady Korshunov,2000238109.0,10.05,10.8,10.55,11.4
