Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Unai Simón,67200923.0,16.5,11.5,13.5,13.67,15.5,7.0,15.5,15.0
Noël Roux,2000188122.0,3.0,15.75,17.5,13.83,2.0,4.0,2.5,2.25
Ronald Araújo,78085068.0,3.0,13.75,14.5,15.0,2.0,2.0,3.0,3.0
Alessandro Bastoni,43252460.0,2.0,15.5,14.0,15.17,3.5,1.5,3.5,1.75
Juan Vela,2000489085.0,2.75,15.38,14.75,13.5,3.0,2.5,3.0,3.25
Florentino Luís,83169817.0,1.5,14.75,12.5,16.17,2.5,3.0,2.0,2.0
Phil Foden,28108494.0,2.0,15.0,15.5,14.83,2.5,3.0,3.0,2.0
Jonay Morán,2000194461.0,3.0,14.5,15.0,13.33,2.5,2.5,3.25,1.75
Diego Laínez,51063318.0,2.0,15.25,15.5,14.17,2.0,2.0,1.0,1.0
Rayan Cherki,49056279.0,1.5,15.5,15.0,12.33,2.0,1.0,2.0,2.0
Radovan Drakulić,2000211170.0,2.5,17.0,16.0,13.5,2.0,3.0,2.0,2.0
Marc-André ter Stegen,35017428.0,18.0,10.25,7.0,15.33,15.0,12.0,13.0,19.0
Joan Planchart,2000509911.0,1.75,17.38,15.5,15.92,4.0,2.0,2.5,2.75
Ilaix Moriba,67279753.0,2.25,15.25,15.5,14.08,2.25,1.5,2.5,1.75
Péricles,2000410450.0,2.0,14.5,16.0,11.83,2.0,2.0,1.5,1.5
Pierre Fournier,2000435814.0,3.0,13.5,17.5,12.83,1.0,2.0,1.5,1.5
Pau Torres,67217522.0,2.5,12.25,13.5,14.5,2.0,2.0,2.0,2.0
Dejan Kulusevski,43295814.0,2.0,15.5,15.0,15.17,3.0,3.0,1.5,3.0
Gabriel Jesus,19220266.0,1.5,13.5,14.5,13.5,1.5,3.0,2.0,3.0
Rodrygo,19306929.0,2.75,14.88,15.0,12.42,2.75,1.5,2.5,2.25
Harry Kane,28049320.0,2.25,10.0,9.5,16.25,2.0,3.5,2.5,1.25
Benoît Badiashile,49038942.0,3.25,15.5,15.0,13.92,2.75,1.5,1.75,1.75
Sergio Reguilón,67211900.0,3.5,14.25,13.5,14.75,2.0,3.0,1.5,2.5
Vítor Ferreira,83174762.0,2.0,14.5,15.0,15.0,1.5,2.0,2.5,2.5
Tomás Esteves,83228786.0,2.5,14.5,16.25,13.08,1.75,2.5,2.5,3.0
Franck Lacroix,2000192663.0,2.5,15.75,16.0,11.42,2.25,2.5,2.0,3.0
Gennady Korshunov,2000238109.0,2.75,14.0,15.0,11.17,2.25,1.5,2.75,2.0
