Player,UID,Position
Unai Simón,67200923,GK
Noël Roux,2000188122,"D (RL), M (C), AM (R)"
Ronald Araújo,78085068,"D (C), DM"
Alessandro Bastoni,43252460,D (C)
Juan Vela,2000489085,D (RLC)
Florentino Luís,83169817,"DM, M (C)"
Phil Foden,28108494,"M (C), AM (RLC)"
Jonay Morán,2000194461,"M (LC), AM (C)"
Diego Laínez,51063318,"M (RL), AM (RLC)"
Rayan Cherki,49056279,"M (L), AM (RLC), ST (C)"
Radovan Drakulić,2000211170,ST (C)
0,35017428,GK
Joan Planchart,2000509911,"D (R), DM, M (C)"
Ilaix Moriba,67279753,"DM, M/AM (C)"
Péricles,2000410450,"AM (R), ST (C)"
Pierre Fournier,2000435814,"M (L), AM (RL), ST (C)"
Pau Torres,67217522,"D (C), DM"
Dejan Kulusevski,43295814,"M/AM (RC), ST (C)"
Gabriel Jesus,19220266,"AM (RLC), ST (C)"
Rodrygo,19306929,"M/AM (RL), ST (C)"
Harry Kane,28049320,"AM (LC), ST (C)"
Benoît Badiashile,49038942,D (C)
Sergio Reguilón,67211900,D/WB (L)
Vítor Ferreira,83174762,"DM, M/AM (C)"
Tomás Esteves,83228786,D/WB (R)
Franck Lacroix,2000192663,"AM (RL), ST (C)"
Gennady Korshunov,2000238109,"M/AM (C), ST (C)"
