Player,UID,AF,CF,DLF,F9,P,PF,TM
Diego Aizpurua,2000193388.0,9.75,8.0,11.15,9.3,9.75,8.5,8.7
Asier Grande,2000048078.0,12.65,11.1,12.0,11.8,12.65,12.6,10.55
Yeray,67192475.0,10.65,11.2,11.6,10.85,10.65,11.6,11.15
Unai Núñez,67214595.0,10.85,10.9,11.5,9.95,10.85,12.1,11.65
Julen Letamendia,2000570277.0,13.35,11.85,13.2,13.15,13.35,12.75,11.85
Josema,2000682315.0,13.25,13.4,14.15,13.9,13.25,12.5,13.2
Carlos Bidaurrázaga,2000573859.0,15.6,13.2,13.6,13.4,15.6,14.3,13.0
Oihan Sancet,67260204.0,14.1,14.2,14.6,13.65,14.1,13.7,13.8
Unai Vencedor,67260207.0,13.85,13.6,14.2,13.35,13.85,13.1,12.8
Íñigo Herrera,2000510687.0,14.0,11.9,12.7,13.2,14.0,12.5,11.6
Romain Bertrand,2000438620.0,14.85,14.75,15.5,14.7,14.85,13.45,15.2
Oier López,67277836.0,12.15,10.5,11.6,11.4,12.15,11.5,10.3
Javier Arrue,2000438617.0,13.4,12.7,13.5,13.2,13.4,11.7,12.6
Fran Alonso,2000570282.0,13.45,13.15,12.95,12.85,13.45,12.85,12.45
Aimar Oroz,67276375.0,11.55,12.25,13.1,13.5,11.55,10.95,10.3
Mikel Garai,2000438623.0,15.65,15.5,15.35,15.0,15.65,14.6,15.1
Ander Guevara,67246381.0,11.65,13.05,13.3,12.9,11.65,11.8,12.3
Javier Karanka,2000193733.0,12.2,11.35,11.8,12.3,12.2,12.05,11.8
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Magunazelaia,2000438619.0,13.1,12.75,13.5,13.15,13.1,12.5,12.7
Íñigo Merino,2000442705.0,9.6,10.25,11.55,10.7,9.6,11.15,11.3
