Player,UID,WM,W,DW,IW,IF,WG
Alfredo Trelles,2000200467.0,6.75,6.95,8.35,7.55,6.55,6.88
Cameron Wells,2000431769.0,12.55,12.6,13.0,12.6,12.4,11.67
Adrián Corral,2000057468.0,11.25,10.9,12.5,11.35,10.35,11.5
Luka Jovanović,2000604683.0,10.8,12.2,9.5,11.3,10.7,11.42
Mateusz Bogusz,96129140.0,13.15,13.5,11.9,13.95,13.5,12.5
Maximilian Mittelstädt,91143714.0,12.8,12.7,12.5,12.7,11.7,12.08
Gerardo Gallardo,2000440602.0,11.0,12.55,9.45,12.55,12.2,11.54
Henry Onyekuru,18093594.0,10.5,12.25,8.45,12.25,12.4,11.38
Toni Dorado,2000197158.0,12.65,12.2,11.3,14.55,14.1,11.75
Terry Ashton,2000505936.0,13.6,14.4,10.9,13.6,13.5,13.25
Tiago Geralnik,14224252.0,12.15,12.35,9.2,13.3,13.45,12.12
Juan Soriano,67193103.0,8.25,9.0,9.15,9.5,8.65,9.25
Checa,2000438637.0,12.1,11.6,10.6,14.0,13.0,11.33
Toni Martínez,67216151.0,11.15,11.75,10.35,11.8,11.7,11.96
Luciano Ferreyra,14227040.0,13.4,13.9,12.5,14.15,13.9,12.75
Mamadou Loum,83100794.0,11.4,10.5,12.3,11.85,10.95,10.92
Timo Baumgartl,92065892.0,10.9,9.55,12.4,10.7,10.65,10.12
Tarsi Bakero,2000193403.0,12.35,11.9,13.6,12.55,11.55,12.0
Cacá,19350725.0,11.9,10.9,12.85,11.95,11.55,11.25
Yesinguer Vinasco,2000415655.0,12.05,13.45,9.6,13.35,12.7,13.21
Juanmi Ávila,2000441358.0,12.6,12.95,10.25,12.95,13.35,12.79
Ion Etxabe,2000514435.0,10.15,11.65,7.65,11.75,12.2,10.79
Nico Mickelson,53138009.0,12.0,12.8,11.4,12.35,11.9,12.08
Jose Antonio Molina,2000571459.0,11.95,13.45,9.6,14.25,13.75,12.83
Juan Luis,2000664823.0,10.5,9.5,11.5,9.65,9.7,9.83
