Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
José Aurelio Suárez,67153377.0,13.5,9.0,3.5,11.5,12.25,9.33,9.0,11.5,11.5,7.5,12.25,11.0,8.8,8.5,10.75,11.33,1.5,12.5,12.5,6.67,1.0
Carlos Fernando,2000194985.0,10.0,13.67,10.0,11.75,11.75,12.5,10.67,15.75,11.75,11.5,13.0,11.38,13.1,12.17,13.25,14.83,8.0,11.5,11.5,7.83,9.0
Luis Muñoz,90065199.0,12.0,10.17,11.0,10.5,10.25,12.33,7.5,13.5,10.5,8.5,12.5,12.0,10.8,11.0,10.88,13.5,5.5,9.5,9.5,7.33,13.0
Karim Pérez,2000193717.0,16.0,10.33,14.0,9.5,9.75,11.33,7.5,14.5,9.5,8.75,9.25,13.5,10.6,10.33,13.25,13.67,5.0,9.5,15.5,8.67,14.0
Jan Crettaz,2000571662.0,9.0,13.33,14.0,10.5,14.0,12.33,11.0,12.5,10.5,13.5,10.5,15.0,12.0,11.33,13.75,14.0,11.0,13.0,13.5,12.0,17.0
Kepa Uriarte,67277833.0,15.0,9.33,8.0,11.0,13.75,12.0,14.17,12.0,11.0,13.25,11.25,11.25,11.2,9.5,14.25,10.67,13.0,14.5,11.5,11.33,4.5
Saúl Rodríguez,2000440182.0,7.0,11.67,15.0,9.5,14.5,13.33,12.0,12.0,9.5,13.0,11.0,13.0,12.6,7.33,16.25,12.0,15.0,12.0,12.0,12.0,2.0
Tòfol Montiel,43459237.0,7.0,13.0,8.0,9.5,15.0,13.67,13.67,12.5,9.5,15.0,11.0,9.25,13.6,7.67,13.25,12.33,14.0,14.0,9.5,13.67,4.0
Matías Cavalleri,75049257.0,5.0,12.33,8.0,11.0,13.75,13.33,14.17,13.0,11.0,13.75,12.75,10.25,12.8,8.83,14.25,13.0,13.0,14.0,11.0,11.67,2.5
Alberto Barace,2000663353.0,13.0,11.0,14.0,12.5,13.0,13.33,13.67,13.0,12.5,15.0,13.0,12.0,12.4,11.0,14.0,12.33,15.0,15.0,12.5,12.67,5.0
Ismael Gutiérrez,67298778.0,6.5,11.5,8.0,10.0,14.5,11.17,12.0,13.0,10.0,12.25,11.0,12.0,11.5,11.5,13.25,12.17,6.5,13.5,10.75,12.5,14.0
Saúl,2000664224.0,14.0,10.67,1.5,9.0,3.5,9.5,5.0,13.0,9.0,4.0,11.0,12.12,10.1,7.0,10.38,12.0,1.5,6.25,8.0,4.33,2.0
Mirko Ladrón de Guevara,14197826.0,10.5,13.17,10.5,13.75,13.0,12.33,12.17,12.75,13.75,12.5,13.25,11.5,12.9,12.67,13.12,12.5,13.0,13.5,12.25,9.5,12.0
Salva Gutiérrez,2000571656.0,6.0,14.0,7.0,11.25,13.25,12.83,12.5,12.75,11.25,10.25,9.75,12.38,13.3,9.83,11.75,13.17,11.0,14.25,11.0,10.67,8.0
Iago Salamanca,2000710728.0,15.0,13.17,8.0,8.5,14.5,15.5,10.67,13.5,8.5,16.25,11.5,10.12,14.3,8.0,11.25,13.83,18.0,12.25,8.5,16.0,4.0
Nabil Touaizi,28113829.0,14.0,11.17,11.0,10.0,16.0,14.0,12.67,12.0,10.0,15.25,10.5,8.75,12.6,9.17,14.5,12.17,14.5,13.5,13.25,13.83,6.0
Joaquín Correa,14042683.0,11.0,14.5,7.0,7.5,16.0,16.0,13.67,13.5,7.5,16.25,11.0,12.25,15.2,6.5,11.5,14.17,16.5,15.5,10.25,13.5,2.0
Leander Dendoncker,18057380.0,14.0,12.17,14.0,12.25,10.0,11.67,10.83,13.75,12.25,8.0,13.25,13.5,11.8,12.5,10.25,13.33,8.5,11.75,12.0,9.83,13.0
Tommaso Augello,43096264.0,9.0,11.83,6.0,13.25,12.5,11.67,13.5,13.75,13.25,10.0,12.25,13.75,11.6,13.17,10.0,13.33,11.5,12.75,10.5,10.17,12.0
Pape Gueye,48043484.0,11.5,13.5,9.5,9.5,13.0,13.33,11.0,13.75,9.5,12.5,8.0,11.5,13.3,10.5,12.75,13.83,14.0,13.0,12.25,9.83,13.0
Enock Kwateng,85134692.0,11.0,10.83,10.0,11.75,10.25,12.33,12.33,12.0,11.75,10.25,12.5,13.38,11.6,11.83,12.0,11.83,11.5,12.0,11.0,9.17,14.0
Nicolas Pépé,85136376.0,10.0,13.33,8.0,9.0,14.5,14.5,12.67,11.75,9.0,14.5,11.0,7.5,13.9,7.5,12.88,12.5,18.0,13.0,9.25,13.5,5.5
Xabier Santamaría,2000202642.0,9.5,10.67,6.0,11.0,14.25,13.0,12.83,11.5,11.0,12.25,10.75,11.0,11.6,8.0,13.25,12.0,15.0,14.0,13.0,11.33,3.5
Tasos Chatzigiovanis,36096701.0,6.0,10.5,7.0,7.5,11.0,10.5,11.83,9.0,7.5,10.5,8.5,10.12,10.5,7.67,13.38,9.5,12.0,11.0,7.0,10.33,6.0
Acyr,2000408996.0,8.0,13.83,11.0,12.0,15.25,13.33,13.17,17.0,12.0,13.5,14.5,12.5,13.4,12.0,8.62,16.17,13.5,14.5,8.5,11.67,16.0
Ricardo,2000443686.0,15.0,10.17,7.0,9.5,10.5,13.67,11.0,10.5,9.5,12.75,10.5,11.25,11.8,8.83,15.5,11.17,12.5,11.5,12.25,10.5,4.0
Dani,2000571661.0,11.5,11.33,11.0,12.5,11.0,9.83,10.67,14.0,12.5,7.25,10.25,13.88,10.9,11.5,12.12,12.33,4.0,11.25,15.0,8.0,12.0
