Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
José Aurelio Suárez,67153377.0,9.5,9.5,9.5,9.5,7.4,7.4,9.15,9.15,7.58,7.58
Carlos Fernando,2000194985.0,12.2,12.2,12.2,12.2,11.6,11.6,11.4,11.4,11.33,11.33
Luis Muñoz,90065199.0,9.95,9.95,9.95,9.95,9.1,9.1,9.8,9.8,9.5,9.5
Karim Pérez,2000193717.0,10.3,10.3,10.3,10.3,11.15,11.15,10.35,10.35,11.79,11.79
Jan Crettaz,2000571662.0,13.0,13.0,13.0,13.0,12.0,12.0,12.9,12.9,11.92,11.92
Kepa Uriarte,67277833.0,13.4,13.4,13.4,13.4,12.95,12.95,13.15,13.15,12.71,12.71
Saúl Rodríguez,2000440182.0,12.7,12.7,12.7,12.7,14.1,14.1,12.8,12.8,13.58,13.58
Tòfol Montiel,43459237.0,13.6,13.6,13.6,13.6,13.1,13.1,13.4,13.4,12.17,12.17
Matías Cavalleri,75049257.0,13.4,13.4,13.4,13.4,13.45,13.45,13.15,13.15,12.29,12.29
Alberto Barace,2000663353.0,13.0,13.0,13.0,13.0,12.8,12.8,13.0,13.0,12.92,12.92
Ismael Gutiérrez,67298778.0,12.25,12.25,12.25,12.25,10.65,10.65,11.8,11.8,10.08,10.08
Saúl,2000664224.0,7.3,7.3,7.3,7.3,6.45,6.45,6.45,6.45,6.67,6.67
Mirko Ladrón de Guevara,14197826.0,12.8,12.8,12.8,12.8,12.05,12.05,11.95,11.95,11.79,11.79
Salva Gutiérrez,2000571656.0,13.0,13.0,13.0,13.0,11.4,11.4,12.1,12.1,10.58,10.58
Iago Salamanca,2000710728.0,13.65,13.65,13.65,13.65,13.35,13.35,13.85,13.85,13.04,13.04
Nabil Touaizi,28113829.0,13.75,13.75,13.75,13.75,13.3,13.3,13.8,13.8,13.17,13.17
Joaquín Correa,14042683.0,14.35,14.35,14.35,14.35,13.4,13.4,14.1,14.1,12.67,12.67
Leander Dendoncker,18057380.0,10.9,10.9,10.9,10.9,10.45,10.45,10.95,10.95,11.04,11.04
Tommaso Augello,43096264.0,12.1,12.1,12.1,12.1,11.65,11.65,12.15,12.15,10.96,10.96
Pape Gueye,48043484.0,12.9,12.9,12.9,12.9,12.45,12.45,12.05,12.05,12.12,12.12
Enock Kwateng,85134692.0,11.7,11.7,11.7,11.7,12.1,12.1,11.35,11.35,11.83,11.83
Nicolas Pépé,85136376.0,12.95,12.95,12.95,12.95,13.05,13.05,12.75,12.75,12.38,12.38
Xabier Santamaría,2000202642.0,12.9,12.9,12.9,12.9,12.55,12.55,12.75,12.75,11.75,11.75
Tasos Chatzigiovanis,36096701.0,11.05,11.05,11.05,11.05,11.85,11.85,10.65,10.65,10.96,10.96
Acyr,2000408996.0,12.85,12.85,12.85,12.85,10.8,10.8,12.7,12.7,10.58,10.58
Ricardo,2000443686.0,11.45,11.45,11.45,11.45,13.2,13.2,11.5,11.5,12.83,12.83
Dani,2000571661.0,9.3,9.3,9.3,9.3,9.9,9.9,9.0,9.0,10.12,10.12
