Player,UID,CD,BPD,NNCB,Lib
José Aurelio Suárez,67153377.0,8.85,9.15,8.65,8.3
Carlos Fernando,2000194985.0,12.3,11.85,11.65,11.95
Luis Muñoz,90065199.0,12.3,11.7,12.2,10.65
Karim Pérez,2000193717.0,13.2,12.3,13.0,9.9
Jan Crettaz,2000571662.0,13.4,13.0,13.7,13.0
Kepa Uriarte,67277833.0,8.4,9.8,9.0,10.5
Saúl Rodríguez,2000440182.0,8.3,8.9,8.4,9.9
Tòfol Montiel,43459237.0,8.0,8.9,7.1,10.9
Matías Cavalleri,75049257.0,8.5,8.7,8.1,10.6
Alberto Barace,2000663353.0,10.1,10.6,10.5,11.1
Ismael Gutiérrez,67298778.0,10.8,11.35,10.5,12.55
Saúl,2000664224.0,8.5,6.9,8.75,6.8
Mirko Ladrón de Guevara,14197826.0,10.95,11.65,10.95,12.45
Salva Gutiérrez,2000571656.0,9.1,10.1,8.8,11.35
Iago Salamanca,2000710728.0,9.35,9.4,8.5,10.9
Nabil Touaizi,28113829.0,10.15,11.0,9.95,11.55
Joaquín Correa,14042683.0,8.95,9.4,8.75,11.45
Leander Dendoncker,18057380.0,12.85,12.65,12.95,11.7
Tommaso Augello,43096264.0,11.45,11.45,11.15,12.3
Pape Gueye,48043484.0,11.65,11.85,11.3,12.45
Enock Kwateng,85134692.0,12.2,12.0,12.1,12.2
Nicolas Pépé,85136376.0,8.2,8.8,7.45,10.85
Xabier Santamaría,2000202642.0,7.9,8.6,8.0,10.15
Tasos Chatzigiovanis,36096701.0,7.45,7.85,7.4,9.45
Acyr,2000408996.0,13.1,12.2,12.2,13.85
Ricardo,2000443686.0,9.35,9.5,9.85,9.65
Dani,2000571661.0,12.25,11.1,12.4,10.25
