Player,UID,FB,WB,IWB,CWB,NNFB
José Aurelio Suárez,67153377.0,8.95,6.25,9.2,7.65,9.25
Carlos Fernando,2000194985.0,13.55,11.75,12.75,11.62,12.55
Luis Muñoz,90065199.0,12.4,9.85,11.45,9.81,12.3
Karim Pérez,2000193717.0,13.3,11.05,11.55,10.65,13.2
Jan Crettaz,2000571662.0,14.1,12.8,13.4,12.77,14.5
Kepa Uriarte,67277833.0,10.4,11.75,10.75,12.27,9.7
Saúl Rodríguez,2000440182.0,10.4,10.9,9.6,11.38,8.8
Tòfol Montiel,43459237.0,10.0,10.8,10.4,11.62,8.0
Matías Cavalleri,75049257.0,10.7,11.15,10.55,11.73,9.5
Alberto Barace,2000663353.0,10.2,11.2,10.1,11.77,9.8
Ismael Gutiérrez,67298778.0,12.6,11.7,12.9,12.15,11.55
Saúl,2000664224.0,8.4,5.5,7.9,5.31,9.0
Mirko Ladrón de Guevara,14197826.0,11.8,11.75,12.15,12.12,11.15
Salva Gutiérrez,2000571656.0,10.7,10.3,11.6,11.27,10.0
Iago Salamanca,2000710728.0,10.8,10.85,10.2,11.15,9.0
Nabil Touaizi,28113829.0,11.0,11.8,11.1,12.38,10.05
Joaquín Correa,14042683.0,9.9,10.0,10.4,11.23,9.25
Leander Dendoncker,18057380.0,12.15,10.5,12.3,10.69,12.55
Tommaso Augello,43096264.0,12.35,12.0,12.7,12.23,12.35
Pape Gueye,48043484.0,12.55,12.15,12.25,12.35,11.7
Enock Kwateng,85134692.0,12.9,12.5,12.75,12.19,12.8
Nicolas Pépé,85136376.0,9.45,10.35,9.45,11.04,7.55
Xabier Santamaría,2000202642.0,9.75,10.1,9.9,10.92,9.25
Tasos Chatzigiovanis,36096701.0,10.35,11.05,9.65,10.96,8.7
Acyr,2000408996.0,12.7,11.05,13.05,11.73,12.6
Ricardo,2000443686.0,10.8,11.2,9.5,11.08,9.95
Dani,2000571661.0,11.35,9.5,10.85,9.81,12.35
