Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Gregor Kobel,98040383.0,6.0,12.38,10.75,8.17,6.83,7.17,11.75,12.83
César Ramírez,2000194011.0,12.67,13.5,11.0,9.33,9.0,11.5,9.5,15.08
Isak Amundsen,53178292.0,12.67,14.75,13.0,9.17,8.33,10.67,13.5,14.08
Dušan Stojinović,62218369.0,13.0,12.38,12.0,9.33,10.5,10.17,14.0,12.0
Lucas Forsberg,93141098.0,11.67,12.62,16.5,10.17,8.83,9.67,10.5,12.42
Oier Zarraga,67260201.0,11.33,13.38,14.5,13.33,11.33,12.33,10.5,13.33
Óscar Melendo,67214687.0,7.5,13.0,14.0,15.17,12.0,14.33,6.5,13.25
Francisco Conceição,83261140.0,5.83,12.12,13.5,15.0,13.17,15.33,6.0,12.33
Brais Méndez,67199158.0,6.67,11.38,12.5,14.33,13.67,14.83,9.5,12.25
Jorge De Frutos,67231100.0,6.67,11.5,14.5,12.5,13.0,12.0,6.5,12.08
David,2000441683.0,6.83,13.38,13.5,14.17,12.17,14.33,10.0,11.75
Chumi,95036003.0,13.33,12.25,12.0,10.0,7.33,9.5,13.5,13.08
Cezary Miszta,96122113.0,6.17,11.62,9.0,8.5,7.17,8.0,12.25,13.17
Matías Vargas,14141967.0,6.67,13.75,14.0,15.67,14.17,15.33,5.5,12.92
Ricky-Jade Jones,29236380.0,8.0,13.5,18.0,11.33,14.67,12.33,11.5,12.17
Rami Hajal,93099931.0,5.67,12.88,13.0,15.0,11.33,13.0,11.5,11.75
Guillem Molina,67260507.0,15.0,12.5,15.0,8.83,8.17,7.67,13.5,12.75
Toni Herrero,67277687.0,13.33,12.5,14.0,11.67,11.0,12.67,10.5,13.17
Miguel Menino,83320117.0,8.67,13.38,14.0,12.33,12.5,14.33,10.0,12.5
Tymoteusz Puchacz,96086694.0,10.0,13.88,15.5,12.33,10.83,10.33,11.5,12.42
Carlos,2000202592.0,14.33,13.62,14.25,11.5,9.67,8.5,11.0,11.33
Noé Blasco,2000440885.0,7.67,12.75,14.0,14.33,9.67,14.33,9.0,11.5
Josep,2000513274.0,13.0,15.75,15.0,9.5,8.17,9.0,9.0,12.42
José Luis Ruano,2000572819.0,9.17,12.88,16.5,12.5,8.67,13.83,11.0,9.83
