Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Arnau Tenas,67265794.0,16.5,8.5,2.0,10.5,11.25,12.0,9.33,9.5,10.5,7.25,10.5,12.0,10.0,8.5,11.25,10.17,2.0,13.0,10.0,6.17,2.0
Cristian Manea,57120897.0,12.0,11.5,11.0,12.75,11.0,10.33,12.83,11.75,12.75,9.0,12.75,13.5,10.8,12.83,14.0,11.67,9.5,12.25,13.5,9.83,14.0
Lovre Vujčić,2000188309.0,16.0,10.67,12.0,10.5,10.0,10.33,9.0,11.5,10.5,9.5,10.5,13.75,10.4,11.33,13.75,11.33,6.0,11.0,13.0,7.67,16.0
Jorge Cuenca,67248170.0,15.0,11.0,15.0,13.5,12.75,11.67,10.5,12.5,13.5,9.75,12.75,13.5,11.0,13.33,13.5,12.67,5.0,12.5,13.0,9.0,14.0
Ismael Casas,67271373.0,7.0,11.33,10.0,13.0,11.75,12.0,13.17,13.5,13.0,11.75,13.75,14.0,11.6,13.0,14.5,13.0,11.0,13.0,11.0,9.0,12.0
Ulises Campus,2000273292.0,12.5,13.5,10.5,13.0,12.0,12.33,9.67,15.25,13.0,10.5,12.0,12.25,12.3,13.17,12.75,15.5,7.0,11.5,12.25,9.17,16.0
Iván Martínez,2000510865.0,11.0,11.17,10.0,11.5,10.25,10.67,12.17,13.25,11.5,8.5,13.25,15.5,10.4,11.33,14.0,13.33,9.5,12.75,12.75,10.83,12.0
Serafín,2000512562.0,15.0,9.5,8.0,10.0,14.5,13.0,14.0,11.0,10.0,14.75,11.5,10.25,11.4,10.5,17.25,10.83,13.5,15.5,14.75,12.0,7.0
Moussa Djenepo,6601602.0,8.0,9.83,7.0,10.0,13.25,10.67,12.83,12.25,10.0,12.5,11.75,12.38,10.8,8.67,15.0,10.67,10.5,12.25,13.75,9.5,4.0
Luis Suárez,76046285.0,13.0,12.17,13.0,9.0,13.25,14.67,11.5,11.5,9.0,13.5,12.0,15.5,13.0,7.67,14.88,12.83,17.5,12.0,13.5,13.0,5.5
Jose Luis,2000438355.0,14.0,15.5,11.0,12.0,15.0,16.83,14.67,17.5,12.0,15.5,12.0,12.0,16.3,11.0,14.62,16.83,13.0,16.5,13.5,13.0,10.0
Olmo,2000512864.0,8.0,13.5,9.0,12.75,12.25,10.67,9.67,13.75,12.75,10.5,12.25,13.12,11.8,12.17,14.75,13.67,10.5,11.25,14.0,7.67,13.0
Cristian Rivero,67246343.0,12.5,12.0,2.5,10.5,6.25,9.5,5.67,13.75,10.5,4.0,12.0,10.5,10.7,7.83,11.5,12.83,3.0,7.5,8.5,2.67,3.5
Saúl Salcedo,79026928.0,13.0,11.5,16.0,13.0,10.25,13.0,9.5,13.0,13.0,8.5,13.0,13.25,11.6,13.33,11.38,13.83,11.5,10.0,11.5,6.0,15.0
Eugenio Caínzos,2000630560.0,5.0,12.33,10.0,9.25,16.75,12.83,14.5,11.75,9.25,12.75,9.25,12.5,12.9,8.17,14.5,11.5,11.0,17.25,12.5,10.33,6.0
Antonio Javier García,2000571328.0,7.0,11.33,12.0,11.5,14.5,14.17,12.33,12.0,11.5,15.0,12.0,11.62,12.7,9.67,15.25,12.33,12.0,13.0,14.0,13.5,3.5
Domingo Funcasta,2000510087.0,12.0,14.17,14.0,7.5,11.5,12.83,11.33,17.0,7.5,13.75,10.0,10.62,14.1,7.33,14.12,14.83,13.5,11.25,10.5,9.67,7.0
Alberto Quintana,67280840.0,17.5,14.83,12.5,12.5,12.5,13.0,11.33,15.75,12.5,12.5,11.5,11.0,13.9,12.5,12.0,15.17,12.0,13.5,10.75,10.17,11.0
Jesse Lingard,28047560.0,5.0,13.67,3.0,9.0,14.0,13.17,12.0,14.75,9.0,12.5,12.0,14.0,13.3,7.17,9.88,14.5,18.0,13.0,7.25,11.5,7.5
Denis Vavro,63025710.0,16.0,13.33,15.0,12.25,8.75,11.17,6.67,13.75,12.25,6.5,13.0,13.88,11.7,13.17,13.25,14.17,13.0,8.0,14.5,9.17,16.0
Edimilson Fernandes,98030084.0,14.5,11.5,8.0,11.0,14.0,12.5,13.0,12.0,11.0,12.75,11.5,10.25,12.1,11.17,11.0,11.83,12.5,14.0,11.75,11.5,12.0
Félix,2000192673.0,12.0,13.83,10.0,11.75,14.75,13.33,12.17,13.25,11.75,13.0,11.75,11.38,13.8,11.83,12.88,13.0,12.5,13.5,11.0,11.0,10.0
Antonio Raúl Escuín,2000440594.0,16.0,9.67,11.0,13.0,10.25,12.67,10.5,14.0,13.0,8.75,12.75,12.5,11.0,13.0,13.75,13.33,7.0,11.5,12.5,9.33,15.0
Migue Ortiz,2000630559.0,8.0,13.67,8.0,10.5,15.0,13.67,12.0,12.5,10.5,13.5,11.5,11.5,13.6,9.0,14.5,13.0,12.0,14.0,14.0,10.67,7.0
