Match,Player,UID
#GK,Arnau Tenas,67265794
#GK,Cristian Rivero,67246343
#DR,Cristian Manea,57120897
#DR,Lovre Vujčić,2000188309
#DR,Ismael Casas,67271373
#DC,Cristian Manea,57120897
#DC,Lovre Vujčić,2000188309
#DC,Jorge Cuenca,67248170
#DC,Ismael Casas,67271373
#DC,Ulises Campus,2000273292
#DC,Saúl Salcedo,79026928
#DC,Alberto Quintana,67280840
#DC,Denis Vavro,63025710
#DC,Antonio Raúl Escuín,2000440594
#DL,Jorge Cuenca,67248170
#DL,Ismael Casas,67271373
#WBR,Cristian Manea,57120897
#WBR,Ismael Casas,67271373
#WBR,Iván Martínez,2000510865
#WBR,Olmo,2000512864
#DM,Ulises Campus,2000273292
#DM,Olmo,2000512864
#DM,Alberto Quintana,67280840
#DM,Denis Vavro,63025710
#DM,Edimilson Fernandes,98030084
#DM,Antonio Raúl Escuín,2000440594
#MR,Moussa Djenepo,6601602
#MR,Jesse Lingard,28047560
#MR,Edimilson Fernandes,98030084
#MR,Félix,2000192673
#MC,Ulises Campus,2000273292
#MC,Iván Martínez,2000510865
#MC,Serafín,2000512562
#MC,Jose Luis,2000438355
#MC,Olmo,2000512864
#MC,Eugenio Caínzos,2000630560
#MC,Alberto Quintana,67280840
#MC,Jesse Lingard,28047560
#MC,Edimilson Fernandes,98030084
#MC,Félix,2000192673
#MC,Antonio Raúl Escuín,2000440594
#MC,Migue Ortiz,2000630559
#ML,Moussa Djenepo,6601602
#ML,Domingo Funcasta,2000510087
#ML,Jesse Lingard,28047560
#AMR,Iván Martínez,2000510865
#AMR,Serafín,2000512562
#AMR,Moussa Djenepo,6601602
#AMR,Antonio Javier García,2000571328
#AMR,Domingo Funcasta,2000510087
#AMR,Jesse Lingard,28047560
#AMR,Edimilson Fernandes,98030084
#AMR,Félix,2000192673
#AMR,Migue Ortiz,2000630559
#AMC,Serafín,2000512562
#AMC,Moussa Djenepo,6601602
#AMC,Jose Luis,2000438355
#AMC,Eugenio Caínzos,2000630560
#AMC,Jesse Lingard,28047560
#AMC,Edimilson Fernandes,98030084
#AMC,Félix,2000192673
#AMC,Migue Ortiz,2000630559
#AML,Serafín,2000512562
#AML,Moussa Djenepo,6601602
#AML,Luis Suárez,76046285
#AML,Domingo Funcasta,2000510087
#AML,Jesse Lingard,28047560
#AML,Migue Ortiz,2000630559
#STC,Iván Martínez,2000510865
#STC,Moussa Djenepo,6601602
#STC,Luis Suárez,76046285
#STC,Jose Luis,2000438355
#STC,Antonio Javier García,2000571328
#STC,Jesse Lingard,28047560
