Player,UID,Position
Arnau Tenas,67265794,GK
Cristian Manea,57120897,"D (RC), WB (R)"
Lovre Vujčić,2000188309,D (RC)
Jorge Cuenca,67248170,D (LC)
Ismael Casas,67271373,"D (RLC), WB (R)"
Ulises Campus,2000273292,"D (C), DM, M (C)"
Iván Martínez,2000510865,"WB (R), M (C), AM (R), ST (C)"
Serafín,2000512562,"M (C), AM (RLC)"
Moussa Djenepo,6601602,"M (RL), AM (RLC), ST (C)"
Luis Suárez,76046285,"AM (L), ST (C)"
Jose Luis,2000438355,"M/AM (C), ST (C)"
Olmo,2000512864,"WB (R), DM, M (C)"
Cristian Rivero,67246343,GK
Saúl Salcedo,79026928,D (C)
Eugenio Caínzos,2000630560,M/AM (C)
Antonio Javier García,2000571328,"AM (R), ST (C)"
Domingo Funcasta,2000510087,"M (L), AM (RL)"
Alberto Quintana,67280840,"D (C), DM, M (C)"
Jesse Lingard,28047560,"M/AM (RLC), ST (C)"
Denis Vavro,63025710,"D (C), DM"
Edimilson Fernandes,98030084,"DM, M/AM (RC)"
Félix,2000192673,M/AM (RC)
Antonio Raúl Escuín,2000440594,"D (C), DM, M (C)"
Migue Ortiz,2000630559,"M (C), AM (RLC)"
