Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Arnau Tenas,67265794,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Manea,57120897,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Lovre Vujčić,2000188309,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jorge Cuenca,67248170,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ismael Casas,67271373,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Ulises Campus,2000273292,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Iván Martínez,2000510865,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Serafín,2000512562,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Moussa Djenepo,6601602,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Luis Suárez,76046285,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Jose Luis,2000438355,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Olmo,2000512864,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Cristian Rivero,67246343,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saúl Salcedo,79026928,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eugenio Caínzos,2000630560,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Antonio Javier García,2000571328,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Domingo Funcasta,2000510087,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Alberto Quintana,67280840,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Jesse Lingard,28047560,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Denis Vavro,63025710,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Edimilson Fernandes,98030084,0,0,0,0,0,1,0,1,1,0,1,1,0,0
Félix,2000192673,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Antonio Raúl Escuín,2000440594,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Migue Ortiz,2000630559,0,0,0,0,0,0,0,0,1,0,1,1,1,0
