Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Koke Vegas,67196252.0,8.8,8.8,8.8,8.8,6.8,6.8,7.95,7.95,7.58,7.58
Clement Nwabueze,2000710897.0,12.2,12.2,12.2,12.2,12.2,12.2,11.6,11.6,12.25,12.25
Eugene Kulakov,2000434056.0,11.3,11.3,11.3,11.3,10.1,10.1,10.7,10.7,10.67,10.67
Fajar Bayhaqi,2000439532.0,13.2,13.2,13.2,13.2,10.8,10.8,12.4,12.4,10.67,10.67
Imanol,67276239.0,11.65,11.65,11.65,11.65,10.7,10.7,11.7,11.7,10.67,10.67
José,2000570829.0,14.95,14.95,14.95,14.95,12.3,12.3,14.5,14.5,11.5,11.5
Jean-Victor Makengo,85144993.0,12.6,12.6,12.6,12.6,12.25,12.25,11.85,11.85,11.38,11.38
Emiel Janssens-Callewaert,2000189953.0,12.75,12.75,12.75,12.75,13.45,13.45,13.1,13.1,13.12,13.12
Beñat Sanz,2000439251.0,14.1,14.1,14.1,14.1,12.0,12.0,13.3,13.3,11.58,11.58
Carlos Hernandez,2000511264.0,14.0,14.0,14.0,14.0,15.1,15.1,14.0,14.0,14.0,14.0
Anders Nygaard,2000569028.0,13.9,13.9,13.9,13.9,13.2,13.2,13.6,13.6,12.83,12.83
Alfredo Iglesias,2000194460.0,9.0,9.0,9.0,9.0,7.85,7.85,7.35,7.35,7.96,7.96
Jordan Torunarigha,91137260.0,11.5,11.5,11.5,11.5,12.2,12.2,11.2,11.2,12.67,12.67
Gil Dias,55082920.0,12.6,12.6,12.6,12.6,12.5,12.5,12.2,12.2,12.08,12.08
Marian Vasilache,2000328740.0,11.9,11.9,11.9,11.9,11.9,11.9,12.3,12.3,12.33,12.33
Paul Akouokou,33066648.0,11.95,11.95,11.95,11.95,11.45,11.45,11.4,11.4,11.83,11.83
Javi Galán,67243881.0,14.0,14.0,14.0,14.0,13.6,13.6,13.4,13.4,12.58,12.58
Isaiah Álvarez,2000630129.0,13.05,13.05,13.05,13.05,13.35,13.35,13.4,13.4,12.71,12.71
Nikola Katic,24047814.0,10.15,10.15,10.15,10.15,9.8,9.8,10.3,10.3,11.0,11.0
Enzo Loiodice,49045906.0,14.25,14.25,14.25,14.25,12.1,12.1,13.25,13.25,11.0,11.0
Thomas Michel,2000434743.0,12.15,12.15,12.15,12.15,12.35,12.35,11.55,11.55,12.12,12.12
Jose Alcaide,2000437774.0,12.5,12.5,12.5,12.5,11.9,11.9,11.9,11.9,11.67,11.67
Leo Díaz,2000630127.0,13.4,13.4,13.4,13.4,14.1,14.1,13.3,13.3,12.75,12.75
Adailson,2000664048.0,12.3,12.3,12.3,12.3,12.4,12.4,11.9,11.9,11.17,11.17
