Player,UID,CD,BPD,NNCB,Lib
Koke Vegas,67196252.0,10.4,10.1,10.35,8.4
Clement Nwabueze,2000710897.0,12.8,12.2,12.2,12.1
Eugene Kulakov,2000434056.0,13.3,13.5,12.9,12.2
Fajar Bayhaqi,2000439532.0,12.6,11.8,12.1,12.4
Imanol,67276239.0,12.15,12.3,12.55,12.25
José,2000570829.0,9.25,10.3,9.15,12.65
Jean-Victor Makengo,85144993.0,10.85,10.85,11.05,12.25
Emiel Janssens-Callewaert,2000189953.0,8.95,9.4,8.75,10.3
Beñat Sanz,2000439251.0,9.5,10.3,8.8,12.0
Carlos Hernandez,2000511264.0,10.15,9.95,9.75,11.35
Anders Nygaard,2000569028.0,10.4,10.9,9.8,12.0
Alfredo Iglesias,2000194460.0,8.65,7.7,8.2,7.95
Jordan Torunarigha,91137260.0,13.4,12.9,13.7,12.4
Gil Dias,55082920.0,9.3,9.95,9.5,10.9
Marian Vasilache,2000328740.0,10.8,10.8,10.7,9.3
Paul Akouokou,33066648.0,13.9,13.45,13.8,12.65
Javi Galán,67243881.0,12.1,11.85,11.25,13.95
Isaiah Álvarez,2000630129.0,8.95,9.5,9.45,10.35
Nikola Katic,24047814.0,13.7,12.7,14.0,10.85
Enzo Loiodice,49045906.0,10.45,11.65,10.05,13.7
Thomas Michel,2000434743.0,9.6,10.0,9.05,10.05
Jose Alcaide,2000437774.0,13.5,12.25,13.05,12.65
Leo Díaz,2000630127.0,8.9,9.9,8.0,12.4
Adailson,2000664048.0,6.5,7.8,6.5,9.75
