Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Koke Vegas,67196252.0,11.1,9.25,10.95,9.85,10.65,9.45,9.15,10.5
Clement Nwabueze,2000710897.0,13.1,12.0,12.8,13.0,13.2,12.0,12.4,13.3
Eugene Kulakov,2000434056.0,11.5,11.1,12.4,11.6,11.8,11.3,11.5,12.7
Fajar Bayhaqi,2000439532.0,13.7,12.2,13.3,13.6,14.1,11.8,12.4,13.5
Imanol,67276239.0,12.25,12.05,12.35,12.3,12.35,11.5,12.05,12.8
José,2000570829.0,14.1,13.2,10.55,13.9,14.35,14.15,15.15,12.55
0,85144993.0,12.75,12.15,12.55,12.6,12.7,12.85,12.75,12.25
0,2000189953.0,11.8,11.15,9.85,12.15,12.1,12.5,12.75,10.75
Beñat Sanz,2000439251.0,14.0,12.9,10.5,13.5,13.9,13.4,14.0,12.3
Carlos Hernandez,2000511264.0,13.3,13.2,12.1,14.1,13.6,14.1,14.0,12.5
Anders Nygaard,2000569028.0,13.1,13.3,11.2,13.5,13.4,14.2,14.1,12.4
Alfredo Iglesias,2000194460.0,10.85,9.0,9.7,9.7,11.2,8.75,9.65,10.15
Jordan Torunarigha,91137260.0,12.1,11.5,12.9,11.8,11.9,11.5,11.7,11.9
Gil Dias,55082920.0,11.45,11.95,10.4,11.85,11.7,12.85,12.75,10.85
Marian Vasilache,2000328740.0,10.65,10.15,10.95,11.5,11.3,10.9,12.2,10.75
Paul Akouokou,33066648.0,12.8,11.9,14.0,12.75,13.1,11.2,11.35,13.65
Javi Galán,67243881.0,13.9,13.75,13.0,14.2,14.05,13.35,13.65,14.25
Isaiah Álvarez,2000630129.0,11.8,11.65,11.15,12.85,12.3,12.65,12.35,11.7
Nikola Katic,24047814.0,10.65,9.45,12.95,10.9,10.4,9.2,10.1,11.6
Enzo Loiodice,49045906.0,14.45,13.85,11.75,13.9,14.25,14.3,14.3,13.75
Thomas Michel,2000434743.0,10.05,10.65,9.85,11.3,11.05,11.8,12.4,10.9
Jose Alcaide,2000437774.0,12.9,12.15,14.3,13.1,13.45,11.55,12.05,13.85
Leo Díaz,2000630127.0,13.0,12.7,9.2,12.9,12.6,13.5,14.7,11.5
Adailson,2000664048.0,10.4,10.5,7.9,11.1,10.9,12.25,12.9,9.55
