Match,Player,UID
#GK,Koke Vegas,67196252
#GK,Alfredo Iglesias,2000194460
#DR,Clement Nwabueze,2000710897
#DR,Eugene Kulakov,2000434056
#DR,Nikola Katic,24047814
#DR,Jose Alcaide,2000437774
#DC,Clement Nwabueze,2000710897
#DC,Eugene Kulakov,2000434056
#DC,Fajar Bayhaqi,2000439532
#DC,Imanol,67276239
#DC,Jordan Torunarigha,91137260
#DC,Nikola Katic,24047814
#DL,Imanol,67276239
#DL,Jordan Torunarigha,91137260
#DL,Gil Dias,55082920
#DL,Javi Galán,67243881
#DL,Nikola Katic,24047814
#DL,Jose Alcaide,2000437774
#DM,Clement Nwabueze,2000710897
#DM,Eugene Kulakov,2000434056
#DM,Jean-Victor Makengo,85144993
#DM,Paul Akouokou,33066648
#WBL,Imanol,67276239
#WBL,Javi Galán,67243881
#MR,Gil Dias,55082920
#MC,Fajar Bayhaqi,2000439532
#MC,José,2000570829
#MC,Jean-Victor Makengo,85144993
#MC,Beñat Sanz,2000439251
#MC,Paul Akouokou,33066648
#MC,Enzo Loiodice,49045906
#MC,Leo Díaz,2000630127
#ML,Javi Galán,67243881
#ML,Isaiah Álvarez,2000630129
#ML,Thomas Michel,2000434743
#ML,Adailson,2000664048
#AMR,Emiel Janssens-Callewaert,2000189953
#AMR,Carlos Hernandez,2000511264
#AMR,Anders Nygaard,2000569028
#AMR,Gil Dias,55082920
#AMR,Leo Díaz,2000630127
#AMC,José,2000570829
#AMC,Beñat Sanz,2000439251
#AMC,Anders Nygaard,2000569028
#AMC,Gil Dias,55082920
#AMC,Enzo Loiodice,49045906
#AMC,Leo Díaz,2000630127
#AML,Carlos Hernandez,2000511264
#AML,Gil Dias,55082920
#AML,Javi Galán,67243881
#AML,Isaiah Álvarez,2000630129
#AML,Enzo Loiodice,49045906
#AML,Thomas Michel,2000434743
#AML,Adailson,2000664048
#STC,Emiel Janssens-Callewaert,2000189953
#STC,Carlos Hernandez,2000511264
#STC,Anders Nygaard,2000569028
#STC,Marian Vasilache,2000328740
#STC,Isaiah Álvarez,2000630129
