Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
14.0,11.833333333333334,9.0,12.75,9.0,9.333333333333334,8.375,11.75,12.75,5.5,13.25,12.125,10.0,9.166666666666666,10.0,12.333333333333334,7.75,10.5,11.25,8.25
9.0,12.666666666666666,16.0,13.0,11.5,10.333333333333334,11.75,16.0,13.0,11.5,12.5,11.75,11.8,13.333333333333334,14.25,14.0,11.0,12.333333333333334,13.5,12.5
17.0,12.0,10.0,12.0,11.5,10.0,10.0,11.5,12.0,8.5,13.0,11.0,10.4,12.333333333333334,13.0,12.333333333333334,11.0,11.333333333333334,14.0,14.5
11.0,14.666666666666666,9.0,12.0,13.0,13.0,10.25,15.5,12.0,12.0,12.0,12.5,13.6,12.333333333333334,10.75,15.333333333333334,10.0,12.333333333333334,11.0,10.0
10.0,10.833333333333334,11.0,10.75,12.5,12.333333333333334,10.375,14.0,10.75,11.25,10.5,14.375,11.4,12.166666666666666,13.25,13.5,8.0,10.833333333333334,11.25,10.25
7.0,13.833333333333334,8.0,11.0,17.0,15.666666666666666,12.625,13.5,11.0,15.75,11.5,11.375,14.8,10.333333333333334,13.625,13.833333333333334,12.5,15.333333333333334,11.0,9.75
6.5,13.5,7.5,13.75,13.5,12.333333333333334,12.125,12.25,13.75,12.5,12.75,13.5,12.9,12.0,13.375,12.5,14.0,13.333333333333334,11.25,13.5
14.0,11.166666666666666,9.0,12.0,13.75,11.333333333333334,13.5,10.75,12.0,14.5,11.25,10.875,11.4,10.0,14.5,10.666666666666666,14.0,14.333333333333334,11.75,11.25
7.0,14.333333333333334,12.0,11.5,14.5,14.0,13.0,12.5,11.5,13.0,13.0,10.25,14.2,9.0,12.25,13.0,13.5,15.666666666666666,12.5,9.5
8.0,14.666666666666666,9.0,11.5,13.5,13.666666666666666,13.5,16.0,11.5,14.5,12.0,12.75,14.2,9.5,15.75,15.333333333333334,15.0,13.333333333333334,11.5,8.5
13.0,14.666666666666666,9.0,11.5,14.5,12.666666666666666,13.5,14.0,11.5,11.0,14.0,11.5,13.8,9.333333333333334,13.25,13.666666666666666,16.5,14.333333333333334,14.0,11.0
14.5,15.0,2.5,8.5,5.25,10.166666666666666,5.5,15.75,8.5,4.25,7.5,10.0,12.7,6.833333333333333,11.75,14.5,4.0,6.833333333333333,10.0,4.5
16.0,12.0,14.0,13.5,12.0,11.333333333333334,12.25,10.5,13.5,12.0,11.5,14.75,11.6,13.333333333333334,13.25,11.0,12.0,13.0,12.5,14.0
11.0,11.666666666666666,9.0,10.75,13.0,10.833333333333334,13.75,10.25,10.75,13.5,10.25,12.0,11.1,8.666666666666666,12.625,10.833333333333334,13.5,13.5,11.25,11.25
12.0,11.333333333333334,17.0,9.5,12.5,12.666666666666666,9.0,13.0,9.5,12.5,10.75,11.0,11.8,8.166666666666666,13.25,13.0,11.5,10.333333333333334,16.5,8.5
15.5,12.833333333333334,12.0,12.0,12.5,12.833333333333334,10.125,13.5,12.0,9.75,13.0,12.75,12.7,12.5,12.5,13.5,9.5,11.166666666666666,13.25,12.75
9.0,15.0,6.0,12.75,13.25,14.166666666666666,12.625,14.25,12.75,14.0,13.0,12.875,14.3,12.5,12.5,14.833333333333334,13.25,12.833333333333334,9.5,13.25
12.0,9.166666666666666,7.0,10.25,13.0,12.166666666666666,14.5,12.5,10.25,13.75,10.5,13.125,10.9,8.833333333333334,13.25,11.5,13.25,14.666666666666666,11.25,11.5
17.0,9.5,17.0,11.5,10.25,10.666666666666666,8.375,10.0,11.5,11.0,12.5,14.0,9.4,11.666666666666666,10.875,11.166666666666666,10.25,10.333333333333334,11.0,12.5
5.0,14.5,6.0,14.0,14.5,13.5,13.875,14.0,14.0,13.25,15.0,10.0,13.9,13.333333333333334,12.5,14.166666666666666,14.25,15.333333333333334,12.0,13.5
15.0,11.666666666666666,7.0,7.0,11.0,11.5,9.875,11.75,7.0,12.5,9.0,9.5,11.3,7.166666666666667,13.875,12.166666666666666,10.75,9.5,10.75,9.0
11.0,14.666666666666666,10.0,12.75,9.75,11.833333333333334,9.375,14.25,12.75,9.5,13.0,15.125,12.9,12.833333333333334,13.25,14.5,10.75,10.166666666666666,12.0,11.75
5.0,13.0,7.0,9.5,16.5,12.666666666666666,12.75,13.0,9.5,16.5,12.0,8.75,13.0,10.333333333333334,17.0,12.666666666666666,13.0,14.0,11.5,8.0
3.0,10.333333333333334,7.0,6.75,12.25,11.5,12.75,10.25,6.75,13.25,7.25,10.25,10.9,6.833333333333333,14.75,10.5,11.75,13.666666666666666,11.0,8.75
