Player,UID,WM,W,DW,IW,IF,WG
Koke Vegas,67196252.0,7.4,6.8,8.7,8.8,7.95,7.58
Clement Nwabueze,2000710897.0,12.6,12.2,13.1,12.2,11.6,12.25
Eugene Kulakov,2000434056.0,11.2,10.1,12.0,11.3,10.7,10.67
Fajar Bayhaqi,2000439532.0,11.7,10.8,12.4,13.2,12.4,10.67
Imanol,67276239.0,11.5,10.7,12.3,11.65,11.7,10.67
José,2000570829.0,12.2,12.3,10.65,14.95,14.5,11.5
Jean-Victor Makengo,85144993.0,12.0,12.25,11.45,12.6,11.85,11.38
Emiel Janssens-Callewaert,2000189953.0,11.85,13.45,10.2,12.75,13.1,13.12
Beñat Sanz,2000439251.0,11.6,12.0,10.6,14.1,13.3,11.58
Carlos Hernandez,2000511264.0,13.6,15.1,11.75,14.0,14.0,14.0
Anders Nygaard,2000569028.0,13.0,13.2,11.0,13.9,13.6,12.83
Alfredo Iglesias,2000194460.0,7.5,7.85,8.6,9.0,7.35,7.96
Jordan Torunarigha,91137260.0,11.5,12.2,12.2,11.5,11.2,12.67
Gil Dias,55082920.0,12.3,12.5,10.45,12.6,12.2,12.08
Marian Vasilache,2000328740.0,10.8,11.9,9.0,11.9,12.3,12.33
Paul Akouokou,33066648.0,11.6,11.45,13.1,11.95,11.4,11.83
Javi Galán,67243881.0,13.9,13.6,14.1,14.0,13.4,12.58
Isaiah Álvarez,2000630129.0,13.1,13.35,11.2,13.05,13.4,12.71
Nikola Katic,24047814.0,9.9,9.8,11.2,10.15,10.3,11.0
Enzo Loiodice,49045906.0,13.15,12.1,12.9,14.25,13.25,11.0
Thomas Michel,2000434743.0,12.0,12.35,10.35,12.15,11.55,12.12
Jose Alcaide,2000437774.0,12.0,11.9,13.5,12.5,11.9,11.67
Leo Díaz,2000630127.0,12.2,14.1,10.9,13.4,13.3,12.75
Adailson,2000664048.0,11.35,12.4,9.0,12.3,11.9,11.17
