Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Javi Izquierdo,67288498.0,11.3,10.05,10.7,9.75,10.7,9.85,9.8,10.6
Ryan Johansson,90086790.0,12.75,12.05,12.45,12.5,12.8,12.2,12.25,12.65
Rasmus Lauritsen,27069979.0,12.3,11.7,13.85,12.25,12.4,11.1,11.0,13.2
Gabriel Torres,2000438016.0,10.3,9.8,14.1,10.7,10.8,9.1,9.9,12.1
Braian Cufré,14131295.0,13.2,12.8,12.65,13.15,13.2,12.75,12.75,12.9
Àlex Collado,67246435.0,12.75,12.55,9.05,11.6,11.75,13.7,13.8,10.5
John McGinn,61043070.0,14.1,13.8,13.3,14.05,14.3,13.5,13.85,13.55
Che Nunnely,37055838.0,10.9,11.1,9.45,10.9,10.7,12.5,12.75,9.8
Amarildo Gojani,2000505067.0,12.3,12.9,8.7,12.9,12.6,14.4,15.3,10.7
Freddy Vargas,86061304.0,12.95,12.9,11.5,12.9,12.9,13.25,13.5,12.05
Ángel Cabello,2000438822.0,13.5,12.85,10.6,13.6,13.5,14.0,14.45,11.95
Aarón Escandell,67192427.0,10.1,8.1,10.6,8.65,9.65,7.85,7.35,9.7
Víctor Gómez,67257950.0,12.1,11.9,11.85,12.15,11.9,11.85,11.85,12.0
Olaus Skarsem,89051875.0,11.8,11.1,8.1,10.75,10.9,12.6,12.55,9.75
Javier Pascua,2000573866.0,11.1,11.05,8.15,11.75,11.65,12.3,12.95,10.05
Gianluca Bellucci,2000508898.0,12.1,12.1,10.7,12.7,12.4,12.7,13.0,11.4
Rodrigo Zalazar,67271371.0,12.4,12.1,12.1,12.45,12.6,12.0,11.55,11.85
Ifeanyi Mathew,53141633.0,14.0,13.25,12.05,13.75,14.1,13.35,13.45,13.4
Patric,67100019.0,13.5,13.05,14.35,13.2,13.15,12.65,12.5,13.4
Óscar Clemente,67259874.0,13.3,13.25,11.35,13.35,13.7,13.5,13.35,13.05
Sergi Rosanas,67265793.0,11.7,11.8,12.4,11.8,11.85,12.05,12.05,12.25
Nils Mortimer,67265795.0,11.1,11.2,8.6,10.65,10.3,12.8,13.35,9.35
Fran López,67279609.0,12.05,12.2,9.7,12.6,12.55,12.85,13.3,11.25
Álvaro Santamaría,67298126.0,10.7,10.0,10.3,11.5,11.15,10.85,12.0,10.2
Miguel,2000192899.0,12.5,11.4,10.3,13.0,13.0,13.05,13.85,11.15
Dominik Kruzliak,63026929.0,12.35,10.3,13.85,12.3,11.95,8.95,9.3,13.4
Sebastián Cabrera,75036622.0,12.85,12.7,12.95,13.2,13.35,12.45,12.3,13.3
