Player,UID,Position
Javi Izquierdo,67288498,GK
Ryan Johansson,90086790,"D (RL), WB (R), DM, M (C)"
Rasmus Lauritsen,27069979,"D (RC), DM"
Gabriel Torres,2000438016,"D (LC), DM"
Braian Cufré,14131295,"D/WB (L), DM, M (C)"
Àlex Collado,67246435,M/AM (RLC)
John McGinn,61043070,"DM, M/AM (C)"
Che Nunnely,37055838,M/AM (RL)
Amarildo Gojani,2000505067,M/AM (C)
Freddy Vargas,86061304,"M (RL), AM (RLC)"
Ángel Cabello,2000438822,"AM (RC), ST (C)"
Aarón Escandell,67192427,GK
Víctor Gómez,67257950,D/WB/AM (R)
Olaus Skarsem,89051875,"M (RC), AM (RLC), ST (C)"
Javier Pascua,2000573866,"M (L), AM (LC), ST (C)"
Gianluca Bellucci,2000508898,"M (LC), AM (RC)"
Rodrigo Zalazar,67271371,"DM, M/AM (C)"
Ifeanyi Mathew,53141633,"DM, M/AM (RC)"
Patric,67100019,"D (RC), WB (R), DM"
Óscar Clemente,67259874,"M (C), AM (LC)"
Sergi Rosanas,67265793,"D (RL), WB (R)"
Nils Mortimer,67265795,"M (R), AM (RLC), ST (C)"
Fran López,67279609,ST (C)
Álvaro Santamaría,67298126,ST (C)
Miguel,2000192899,"M (RLC), AM (RC)"
Dominik Kruzliak,63026929,"D (C), DM"
Sebastián Cabrera,75036622,D/WB (L)
