Player,UID,AF,CF,DLF,F9,P,PF,TM
Javi Izquierdo,67288498.0,8.45,8.1,10.3,8.4,8.45,8.65,9.45
Ryan Johansson,90086790.0,11.8,11.75,12.6,12.05,11.8,12.15,11.5
Rasmus Lauritsen,27069979.0,11.2,11.4,11.55,10.5,11.2,12.55,12.65
Gabriel Torres,2000438016.0,10.9,9.6,10.2,9.3,10.9,11.6,11.4
Braian Cufré,14131295.0,11.95,11.75,12.55,12.35,11.95,12.4,10.75
Àlex Collado,67246435.0,12.7,11.65,12.85,13.4,12.7,10.65,10.6
John McGinn,61043070.0,12.45,13.55,13.9,14.0,12.45,13.15,12.25
Che Nunnely,37055838.0,13.15,11.15,12.0,12.3,13.15,11.85,10.7
Amarildo Gojani,2000505067.0,14.1,13.3,14.5,14.6,14.1,11.9,12.9
Freddy Vargas,86061304.0,12.7,12.1,13.1,13.45,12.7,12.45,11.7
Ángel Cabello,2000438822.0,14.05,13.4,14.35,13.85,14.05,12.65,13.9
Aarón Escandell,67192427.0,7.35,6.8,8.35,6.45,7.35,8.55,7.65
Víctor Gómez,67257950.0,12.05,10.35,11.55,11.65,12.05,12.0,9.75
Olaus Skarsem,89051875.0,12.3,10.55,11.7,11.75,12.3,9.85,9.25
Javier Pascua,2000573866.0,12.8,11.65,12.95,12.4,12.8,11.35,11.95
Gianluca Bellucci,2000508898.0,12.4,11.7,12.7,12.9,12.4,11.5,11.3
Rodrigo Zalazar,67271371.0,11.35,11.85,11.7,11.5,11.35,12.35,10.75
Ifeanyi Mathew,53141633.0,12.2,12.95,13.45,13.2,12.2,12.05,12.1
Patric,67100019.0,9.75,12.65,13.1,12.5,9.75,11.55,12.45
Óscar Clemente,67259874.0,12.6,12.75,13.4,13.3,12.6,11.95,11.9
Sergi Rosanas,67265793.0,12.1,10.65,11.65,11.8,12.1,11.95,10.6
Nils Mortimer,67265795.0,14.0,11.75,12.7,12.55,14.0,11.15,11.65
Fran López,67279609.0,12.75,13.2,12.7,12.95,12.75,11.5,11.6
Álvaro Santamaría,67298126.0,12.5,11.75,12.0,11.35,12.5,11.9,12.5
Miguel,2000192899.0,13.4,11.6,13.3,12.95,13.4,12.25,11.65
Dominik Kruzliak,63026929.0,9.15,10.1,9.9,9.05,9.15,10.9,11.1
Sebastián Cabrera,75036622.0,11.55,11.9,12.3,12.35,11.55,12.2,11.3
