Player,UID,AMC,AP,T,SS,AM,EG
Ramiro Macagno,14157119.0,9.95,9.85,9.95,7.8,9.0,8.6
Eduardo Sarriegi,2000438820.0,12.35,11.45,12.35,11.05,11.85,10.55
Omar Rekik,91187786.0,12.9,11.9,12.9,11.7,12.5,11.4
Benjamín Kuscevic,75032824.0,10.85,10.15,10.85,10.0,10.35,9.6
Pablo Pérez,2000014927.0,12.9,12.9,12.9,12.5,13.1,12.9
Valentín Delmás,2000192672.0,14.5,14.1,14.5,13.4,14.25,13.9
Gavi,2000049413.0,13.0,13.8,13.0,13.5,13.8,14.3
Jose Carlos,2000438639.0,13.8,14.2,13.8,13.85,14.35,14.8
Abel Angulo,2000438635.0,13.45,13.55,13.45,13.05,13.75,12.65
Alexis,2000438631.0,12.75,13.15,12.75,13.2,13.85,14.05
Atanas Yordanov,2000215422.0,12.2,12.8,12.2,13.7,13.05,13.8
Adrian Molina,2000570287.0,11.85,12.45,11.85,12.0,12.25,12.65
Jairo,2000737759.0,9.2,8.1,9.2,7.0,8.2,7.4
Fabio Blanco,2000034357.0,12.8,13.2,12.8,12.7,13.4,14.15
Alfonso Miranda,2000629593.0,13.05,13.45,13.05,13.3,13.6,13.55
Orel Mangala,18087973.0,13.7,13.55,13.7,13.05,13.7,13.85
Mujaid Sadick,67249928.0,11.55,11.05,11.55,10.55,11.15,10.45
Giovanni Cabrera,2000439549.0,12.4,12.8,12.4,12.5,12.5,12.4
Ignatius Ganago,49045927.0,12.2,12.4,12.2,13.0,12.25,12.8
Dragan Rosić,62167554.0,9.7,9.1,9.7,7.8,8.65,7.95
Franjo Lazar,2000028271.0,11.85,11.85,11.85,11.65,12.35,11.25
Txus Alba,2000048420.0,12.1,12.7,12.1,12.0,12.5,12.8
Eiður Gauti Sigurpálsson,2000355767.0,10.95,10.65,10.95,11.2,11.75,12.4
Martín Martínez,2000439252.0,12.5,12.9,12.5,12.3,12.6,13.35
Marc Trives,2000439546.0,12.05,12.25,12.05,12.4,12.25,12.4
Friday Opara,2000442249.0,11.4,11.3,11.4,11.0,11.55,11.05
Kostyantyn Vivcharenko,71113673.0,13.3,13.1,13.3,12.9,12.75,12.7
Talla Mendy,2000510695.0,10.65,10.25,10.65,9.6,9.65,9.75
Joselito,2000510697.0,10.7,10.0,10.7,9.45,9.7,8.85
Oumar Sangaré,2000629589.0,13.05,12.15,13.05,12.05,12.9,11.75
