Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Kim Christian Høyenhall,2000182998.0,9.7,9.7,9.7,9.7,7.4,7.4,8.9,8.9,7.58,7.58
Piotr Jabłoński,2000623979.0,12.9,12.9,12.9,12.9,13.5,13.5,12.9,12.9,12.25,12.25
William Saliba,49039004.0,12.4,12.4,12.4,12.4,12.9,12.9,11.9,11.9,13.33,13.33
Robin Le Normand,48037162.0,12.1,12.1,12.1,12.1,11.3,11.3,11.9,11.9,11.92,11.92
Brandon Williams,28115834.0,12.5,12.5,12.5,12.5,13.8,13.8,12.8,12.8,13.25,13.25
Renato Pereira,2000190646.0,13.0,13.0,13.0,13.0,12.1,12.1,12.3,12.3,11.92,11.92
Ignacio Vallina,2000570634.0,15.0,15.0,15.0,15.0,13.7,13.7,14.2,14.2,13.67,13.67
Ayrton Tallura,2000274550.0,15.9,15.9,15.9,15.9,14.0,14.0,14.8,14.8,13.08,13.08
Luka Bransteter,2000054638.0,13.2,13.2,13.2,13.2,13.4,13.4,13.3,13.3,13.33,13.33
Adam Hlozek,31041522.0,12.1,12.1,12.1,12.1,13.2,13.2,12.5,12.5,13.0,13.0
Tibo De Vos,2000663034.0,13.2,13.2,13.2,13.2,12.8,12.8,13.4,13.4,12.33,12.33
David Carmo,83111598.0,12.0,12.0,12.0,12.0,11.3,11.3,11.5,11.5,11.83,11.83
Lukas Mohr,2000432897.0,12.0,12.0,12.0,12.0,11.5,11.5,11.5,11.5,11.75,11.75
John Bueno,2000419425.0,16.0,16.0,16.0,16.0,15.4,15.4,15.8,15.8,13.92,13.92
Denis Zakaria,98034601.0,13.4,13.4,13.4,13.4,13.0,13.0,12.9,12.9,13.0,13.0
Sergi Pascual,2000196434.0,14.8,14.8,14.8,14.8,12.7,12.7,14.0,14.0,12.92,12.92
Mikel Oyarzábal,67220143.0,15.7,15.7,15.7,15.7,14.3,14.3,15.6,15.6,13.83,13.83
Matthias Hasa,2000568032.0,13.9,13.9,13.9,13.9,13.4,13.4,13.5,13.5,12.83,12.83
Gabriel Martinelli,19351309.0,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.4,14.17,14.17
Gaetano Oristanio,43425611.0,14.2,14.2,14.2,14.2,13.3,13.3,13.7,13.7,12.75,12.75
Álex Remiro,67183918.0,10.1,10.1,10.1,10.1,8.0,8.0,9.5,9.5,8.17,8.17
José Gragera,67263880.0,13.1,13.1,13.1,13.1,11.1,11.1,12.5,12.5,11.75,11.75
António Silva,83320135.0,10.8,10.8,10.8,10.8,10.3,10.3,9.7,9.7,10.83,10.83
Kai Ocaña,2000194470.0,12.8,12.8,12.8,12.8,13.2,13.2,12.3,12.3,12.75,12.75
Paweł Brzyski,2000433744.0,14.0,14.0,14.0,14.0,12.4,12.4,13.2,13.2,12.67,12.67
John Damiano,2000435431.0,12.2,12.2,12.2,12.2,11.2,11.2,11.7,11.7,10.42,10.42
Felipe,2000510074.0,12.4,12.4,12.4,12.4,14.2,14.2,12.6,12.6,13.83,13.83
Pablo,2000572050.0,13.7,13.7,13.7,13.7,14.1,14.1,13.3,13.3,13.42,13.42
Souza,2000607666.0,13.5,13.5,13.5,13.5,13.1,13.1,12.7,12.7,13.42,13.42
Koldo Valencia,2000663358.0,11.6,11.6,11.6,11.6,12.1,12.1,11.9,11.9,11.17,11.17
Scott Diaz,2000706461.0,12.7,12.7,12.7,12.7,10.7,10.7,12.2,12.2,10.75,10.75
