Player,UID,FB,WB,IWB,CWB,NNFB
Kim Christian Høyenhall,2000182998.0,9.9,7.1,10.3,8.15,9.6
Piotr Jabłoński,2000623979.0,14.6,13.5,13.1,13.15,12.3
William Saliba,49039004.0,14.4,12.9,13.5,12.77,14.3
Robin Le Normand,48037162.0,14.5,12.2,13.8,12.46,14.8
Brandon Williams,28115834.0,13.6,13.6,12.3,13.38,13.7
Renato Pereira,2000190646.0,13.0,11.6,13.0,12.0,12.9
Ignacio Vallina,2000570634.0,14.8,13.1,14.8,13.77,14.5
Ayrton Tallura,2000274550.0,11.6,11.7,12.5,13.08,11.3
Luka Bransteter,2000054638.0,11.1,11.3,10.8,11.54,11.3
Adam Hlozek,31041522.0,10.9,10.9,10.2,11.31,10.6
Tibo De Vos,2000663034.0,11.3,11.2,11.0,12.0,9.9
David Carmo,83111598.0,13.0,11.7,13.1,11.92,13.7
Lukas Mohr,2000432897.0,13.8,12.4,12.6,12.08,12.6
John Bueno,2000419425.0,12.4,13.3,13.1,14.0,11.5
Denis Zakaria,98034601.0,13.9,13.2,13.7,13.08,14.5
Sergi Pascual,2000196434.0,13.6,12.9,14.1,13.31,13.5
Mikel Oyarzábal,67220143.0,13.7,13.6,14.5,14.15,13.6
Matthias Hasa,2000568032.0,10.8,11.0,11.0,12.15,9.3
Gabriel Martinelli,19351309.0,12.3,11.9,11.8,12.38,11.3
Gaetano Oristanio,43425611.0,11.1,11.4,11.5,12.23,9.8
Álex Remiro,67183918.0,10.1,6.9,10.0,8.38,9.6
José Gragera,67263880.0,13.0,11.7,13.5,12.31,13.2
António Silva,83320135.0,13.8,12.0,13.1,11.62,13.2
Kai Ocaña,2000194470.0,11.7,12.3,11.1,12.62,11.7
Paweł Brzyski,2000433744.0,12.5,11.8,12.6,12.15,12.2
John Damiano,2000435431.0,14.4,11.9,13.7,12.08,14.1
Felipe,2000510074.0,11.9,12.3,10.8,11.85,11.2
Pablo,2000572050.0,12.0,12.6,11.6,12.85,10.1
Souza,2000607666.0,14.9,13.5,14.7,13.08,14.8
Koldo Valencia,2000663358.0,10.8,11.0,10.2,11.46,10.1
Scott Diaz,2000706461.0,11.3,10.5,11.4,11.38,11.2
