Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
16.0,10.0,1.0,13.5,11.0,9.333333333333334,9.75,9.5,13.5,7.5,13.0,8.75,8.8,9.666666666666666,12.25,11.0,6.5,12.0,12.0,6.5
3.0,12.666666666666666,9.0,12.0,12.0,10.666666666666666,11.5,15.0,12.0,12.0,12.5,12.75,11.4,12.333333333333334,15.0,14.333333333333334,11.0,12.0,11.5,11.5
16.0,13.666666666666666,15.0,14.0,12.5,12.333333333333334,12.25,14.0,14.0,11.0,14.5,13.5,12.8,14.0,15.25,14.0,12.0,13.0,16.0,13.5
16.0,12.333333333333334,14.0,13.0,13.0,12.333333333333334,11.5,13.5,13.0,11.0,13.5,14.25,11.8,13.666666666666666,13.0,14.0,9.5,13.333333333333334,14.0,13.5
12.0,10.666666666666666,9.0,12.0,12.5,12.333333333333334,12.5,12.5,12.0,13.0,12.5,16.0,11.2,12.0,14.75,12.666666666666666,13.0,12.666666666666666,13.0,12.5
13.0,13.0,9.0,13.5,13.0,13.333333333333334,12.0,13.5,13.5,11.5,12.5,14.0,13.0,12.666666666666666,14.75,13.666666666666666,11.5,14.0,15.5,12.0
17.0,16.333333333333332,10.0,13.0,16.0,14.333333333333334,13.5,17.5,13.0,13.5,13.0,16.25,15.4,13.666666666666666,14.75,16.666666666666668,12.0,15.333333333333334,15.0,12.5
8.0,15.0,9.0,10.0,18.0,14.666666666666666,14.25,13.5,10.0,18.0,10.5,14.75,15.0,9.0,14.25,13.666666666666666,13.5,16.666666666666668,12.0,10.0
14.0,12.333333333333334,12.0,10.5,14.0,14.0,11.5,11.5,10.5,13.5,13.5,14.25,13.2,9.0,15.0,12.0,15.0,12.333333333333334,13.5,10.0
14.0,10.333333333333334,10.0,10.0,13.5,14.333333333333334,12.0,10.5,10.0,13.0,13.5,11.75,12.2,9.333333333333334,15.5,11.333333333333334,13.5,13.0,14.5,10.5
11.0,11.666666666666666,9.0,10.0,16.0,15.0,12.75,11.0,10.0,13.0,11.0,10.25,12.8,8.333333333333334,15.25,12.666666666666666,13.0,13.666666666666666,10.5,11.0
17.0,13.0,12.0,14.0,12.5,11.0,12.25,12.0,14.0,11.0,14.5,13.5,11.8,14.0,11.75,12.333333333333334,12.0,13.333333333333334,15.0,12.5
15.0,12.0,11.0,12.5,11.5,13.0,10.5,14.5,12.5,12.5,13.0,10.0,12.2,12.666666666666666,14.25,14.333333333333334,10.0,11.666666666666666,13.0,13.0
5.0,14.0,8.0,12.0,17.0,15.666666666666666,14.5,15.0,12.0,15.5,11.5,11.75,15.0,10.666666666666666,16.5,14.666666666666666,15.5,15.0,17.0,11.5
15.0,13.0,11.0,12.0,13.0,12.666666666666666,11.25,12.5,12.0,12.0,13.0,15.75,12.6,12.0,14.0,13.0,13.0,12.333333333333334,14.0,14.0
14.0,14.666666666666666,14.0,16.5,15.0,14.0,14.5,15.0,16.5,14.0,16.0,11.0,14.2,15.333333333333334,14.25,15.0,16.5,16.666666666666668,16.5,16.0
11.0,15.333333333333334,12.0,13.5,16.0,15.333333333333334,15.0,14.0,13.5,15.5,14.5,14.75,15.2,13.0,14.0,14.666666666666666,15.5,16.0,14.0,13.5
11.0,12.0,9.0,8.5,15.5,12.666666666666666,13.5,12.0,8.5,16.5,10.5,11.25,12.4,7.333333333333333,14.75,12.0,10.5,15.0,13.0,9.0
13.0,15.0,13.0,10.5,14.5,15.333333333333334,12.75,13.5,10.5,15.0,13.0,14.25,14.8,9.0,15.25,14.666666666666666,14.0,13.666666666666666,12.0,8.5
10.0,14.0,10.0,11.5,15.0,14.333333333333334,14.25,13.5,11.5,15.0,13.0,10.0,14.2,10.0,15.0,13.666666666666666,15.0,15.333333333333334,14.0,11.0
16.0,11.333333333333334,2.0,13.5,13.0,10.666666666666666,11.25,13.0,13.5,8.0,13.0,10.75,10.6,10.0,11.75,13.0,7.5,14.0,11.5,7.0
15.0,13.666666666666666,15.0,13.0,14.5,12.0,12.75,13.0,13.0,12.5,13.5,13.75,12.6,12.666666666666666,11.25,13.333333333333334,11.0,14.0,11.0,12.5
13.0,12.0,14.0,16.0,9.0,12.0,10.75,12.5,16.0,6.5,14.5,11.25,11.8,15.666666666666666,15.75,12.666666666666666,11.5,12.333333333333334,14.0,14.5
13.0,11.0,8.0,11.5,14.5,9.0,13.25,12.0,11.5,14.5,11.5,16.25,10.2,10.333333333333334,16.5,11.0,12.0,13.333333333333334,13.5,9.0
11.0,14.666666666666666,17.0,12.0,12.5,14.0,12.0,13.5,12.0,13.0,12.0,14.0,14.0,10.333333333333334,14.5,14.333333333333334,13.5,14.0,13.0,12.5
6.0,13.666666666666666,7.0,14.0,12.0,11.666666666666666,11.5,16.5,14.0,10.0,14.5,14.5,12.4,13.666666666666666,13.25,15.666666666666666,9.5,12.666666666666666,12.0,12.0
13.0,11.333333333333334,11.0,10.0,10.5,12.0,11.25,12.0,10.0,13.0,11.5,13.0,11.6,9.333333333333334,14.5,12.0,13.0,11.0,15.0,9.0
10.0,12.0,10.0,10.0,14.5,13.0,12.25,11.5,10.0,15.0,11.5,8.75,12.4,9.666666666666666,16.0,12.0,14.0,13.0,14.5,10.5
17.0,15.333333333333334,13.0,11.5,11.5,13.666666666666666,10.75,15.0,11.5,10.5,12.5,14.5,14.2,12.333333333333334,15.0,15.333333333333334,10.5,11.0,15.5,14.0
6.0,9.333333333333334,7.0,9.0,14.0,11.333333333333334,11.5,10.5,9.0,12.5,9.5,14.25,10.6,7.666666666666667,13.5,10.0,10.0,12.0,8.0,10.0
8.0,13.333333333333334,14.0,12.5,14.0,12.333333333333334,13.5,13.5,12.5,12.0,11.5,14.25,12.4,11.0,12.75,14.0,12.5,15.0,9.5,11.5
