Player,UID,FB,WB,IWB,CWB,NNFB
Arijanet Murić,28108492.0,10.05,7.55,10.25,8.62,10.75
0,29126231.0,13.7,13.3,13.35,13.19,13.1
Emmanuel,2000569770.0,14.0,11.7,13.65,11.54,13.8
José Marsà,67279755.0,14.1,13.1,13.8,13.08,14.0
Rubén,2000510866.0,13.6,13.25,13.4,13.15,13.3
Martín Zubimendi,67246385.0,13.5,12.0,14.0,12.77,13.3
Joan Jordán,67187249.0,11.5,10.8,13.3,11.69,11.85
Agustín,2000440745.0,12.05,11.8,11.7,11.96,10.7
Isaac Lihadji,49048366.0,12.05,12.05,11.85,12.35,10.55
Raphinha,19242277.0,11.7,12.4,12.3,13.15,11.2
Munir,67174735.0,9.6,9.75,10.8,11.0,9.15
José María Noguera,2000438352.0,13.9,12.1,13.6,12.62,14.4
Valeri Gavazov,2000215456.0,9.35,10.6,9.7,11.5,8.8
Gonçalo Ramos,83209468.0,10.35,9.95,10.8,10.81,10.0
Federico Real,2000193194.0,14.65,12.55,14.2,12.58,14.4
Dario Maresic,16170605.0,13.3,11.65,13.6,12.19,12.9
Rogelinho,2000439844.0,9.9,10.2,8.6,10.62,7.0
Lucas Ocampos,14031132.0,10.1,10.45,10.15,11.27,10.6
Mads Pedersen,27088224.0,13.2,12.95,12.45,12.73,11.7
Jordan Henderson,28005568.0,12.5,11.2,14.1,12.0,13.8
Koke,67047092.0,12.7,11.75,15.05,12.69,13.6
Óliver,67169689.0,9.7,9.65,11.45,11.19,9.5
Rasmus Højlund,27160181.0,9.7,9.7,9.0,10.15,9.6
Andri Fannar Sigurgeirsson,2000439839.0,14.05,11.55,12.75,11.0,12.25
Alvaro,2000510252.0,12.9,12.3,13.5,13.38,11.75
Sebastián,2000569766.0,11.3,10.9,10.9,11.35,10.2
