Player,UID,FB,WB,IWB,CWB,NNFB
Sérgio Mané,2000507867.0,11.4,11.4,12.5,12.38,10.5
Urko González de Zárate,2000058330.0,13.3,12.0,13.1,11.85,12.5
Rubén Iranzo,2000032467.0,14.7,13.7,14.6,13.46,13.5
Gautier Larsonneur,85133818.0,10.8,7.9,10.85,8.81,10.25
José Gayà,67178177.0,14.0,14.0,14.3,14.46,13.2
Morten Thorsby,53098756.0,14.45,13.15,13.55,12.81,13.75
Orkun Kökçü,37061602.0,11.3,11.4,11.7,12.23,10.7
Aaron Wan-Bissaka,28100123.0,14.6,13.8,12.8,13.31,14.6
Bartol Barišić,24065111.0,10.8,10.1,11.0,11.0,10.8
Gabriel Jesus,19220266.0,12.2,12.0,12.3,12.85,11.5
Enrico Brancadori,2000436507.0,15.3,14.1,14.9,13.85,14.6
Salvador Poveda,2000137183.0,0.0,0.0,0.0,0.0,0.0
Ivo Gujinović,2000565341.0,15.55,13.5,13.7,12.5,14.1
Damián Ribera,2000193186.0,11.95,12.2,12.75,13.38,10.05
Sheldon Peltier,2000187635.0,12.5,12.3,12.4,12.77,12.8
Mouctar Diakhaby,48036643.0,14.0,12.1,13.55,11.88,14.6
Georges Teixeira,2000187375.0,13.4,12.05,13.45,11.96,13.9
Nico Serrano,67295206.0,10.15,10.75,10.15,11.65,8.6
Rodri,67217524.0,13.8,12.3,14.2,12.77,12.9
Predrag Rajković,62076152.0,10.5,8.05,10.55,8.38,11.15
Nicolas Cozza,49037761.0,13.6,12.7,13.5,12.69,13.1
Joaquín Salgado,2000272916.0,11.0,11.3,9.8,11.62,8.7
Aron Ehlers,2000194937.0,11.7,11.75,11.3,12.54,10.35
Cristhian Mosquera,2000030816.0,13.3,11.3,12.75,10.88,12.8
