Match,Player,UID
#GK,Gautier Larsonneur,85133818
#GK,Salvador Poveda,2000137183
#GK,Predrag Rajković,62076152
#DR,Aaron Wan-Bissaka,28100123
#DR,Ivo Gujinović,2000565341
#DR,Sheldon Peltier,2000187635
#DR,Cristhian Mosquera,2000030816
#DC,Urko González de Zárate,2000058330
#DC,Rubén Iranzo,2000032467
#DC,Enrico Brancadori,2000436507
#DC,Mouctar Diakhaby,48036643
#DC,Georges Teixeira,2000187375
#DC,Nicolas Cozza,49037761
#DC,Cristhian Mosquera,2000030816
#DL,Rubén Iranzo,2000032467
#DL,José Gayà,67178177
#DL,Ivo Gujinović,2000565341
#DL,Sheldon Peltier,2000187635
#DL,Nicolas Cozza,49037761
#WBR,Morten Thorsby,53098756
#WBR,Aaron Wan-Bissaka,28100123
#DM,Urko González de Zárate,2000058330
#DM,Morten Thorsby,53098756
#DM,Orkun Kökçü,37061602
#DM,Mouctar Diakhaby,48036643
#DM,Georges Teixeira,2000187375
#DM,Rodri,67217524
#WBL,José Gayà,67178177
#WBL,Sheldon Peltier,2000187635
#MR,Morten Thorsby,53098756
#MR,Nico Serrano,67295206
#MR,Aron Ehlers,2000194937
#MC,Sérgio Mané,2000507867
#MC,Urko González de Zárate,2000058330
#MC,Morten Thorsby,53098756
#MC,Orkun Kökçü,37061602
#MC,Damián Ribera,2000193186
#MC,Rodri,67217524
#ML,Sérgio Mané,2000507867
#ML,José Gayà,67178177
#ML,Nico Serrano,67295206
#AMR,Morten Thorsby,53098756
#AMR,Gabriel Jesus,19220266
#AMR,Nico Serrano,67295206
#AMR,Aron Ehlers,2000194937
#AMC,Sérgio Mané,2000507867
#AMC,Orkun Kökçü,37061602
#AMC,Gabriel Jesus,19220266
#AMC,Damián Ribera,2000193186
#AMC,Nico Serrano,67295206
#AML,Sérgio Mané,2000507867
#AML,Gabriel Jesus,19220266
#AML,Damián Ribera,2000193186
#AML,Nico Serrano,67295206
#STC,Bartol Barišić,24065111
#STC,Gabriel Jesus,19220266
#STC,Nico Serrano,67295206
#STC,Joaquín Salgado,2000272916
