Player,UID,AF,CF,DLF,F9,P,PF,TM
Sérgio Mané,2000507867.0,13.6,13.3,14.9,14.9,13.6,12.2,12.8
Urko González de Zárate,2000058330.0,10.8,10.8,11.0,10.7,10.8,11.5,11.0
Rubén Iranzo,2000032467.0,13.9,13.2,13.6,12.9,13.9,12.7,13.5
Gautier Larsonneur,85133818.0,10.45,9.15,11.55,10.15,10.45,9.35,9.4
José Gayà,67178177.0,13.7,13.1,14.8,15.0,13.7,13.2,12.1
Morten Thorsby,53098756.0,12.8,13.0,12.45,11.4,12.8,14.4,13.5
Orkun Kökçü,37061602.0,13.7,12.9,14.0,14.1,13.7,12.7,12.2
Aaron Wan-Bissaka,28100123.0,12.65,10.45,11.4,11.2,12.65,13.15,11.35
Bartol Barišić,24065111.0,14.0,14.2,14.3,13.3,14.0,13.4,14.4
Gabriel Jesus,19220266.0,14.6,14.6,14.4,14.2,14.6,14.0,13.6
Enrico Brancadori,2000436507.0,14.6,13.6,14.5,13.7,14.6,13.2,14.0
Salvador Poveda,2000137183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Gujinović,2000565341.0,13.5,11.3,12.2,11.9,13.5,13.15,11.6
Damián Ribera,2000193186.0,14.1,14.15,14.65,14.85,14.1,12.75,12.35
Sheldon Peltier,2000187635.0,12.9,12.3,13.9,13.4,12.9,12.4,12.6
Mouctar Diakhaby,48036643.0,11.55,11.35,11.8,10.75,11.55,12.1,11.9
Georges Teixeira,2000187375.0,10.75,11.7,11.7,10.95,10.75,11.7,11.6
Nico Serrano,67295206.0,14.0,13.05,13.75,13.9,14.0,12.5,13.15
Rodri,67217524.0,12.5,12.8,14.0,13.1,12.5,12.2,13.0
Predrag Rajković,62076152.0,10.35,9.7,11.0,9.35,10.35,10.85,10.8
Nicolas Cozza,49037761.0,13.1,12.4,13.3,12.8,13.1,12.5,12.6
Joaquín Salgado,2000272916.0,15.3,13.1,13.0,12.7,15.3,14.2,12.9
Aron Ehlers,2000194937.0,12.8,12.25,14.2,13.9,12.8,12.55,12.2
Cristhian Mosquera,2000030816.0,11.25,10.25,11.1,10.05,11.25,11.0,10.9
