Player,UID,DM,AM,BWM,HB,SV,RGA
Pedro Javier López,2000202554.0,9.9,9.1,9.1,9.55,9.05,9.6
Nikola Colic,2000212623.0,14.35,14.35,14.35,13.8,13.9,11.75
Ramón Santos,2000440896.0,13.25,13.4,13.4,12.8,11.85,11.2
Xabier Gourgues,2000663362.0,12.7,12.8,12.8,13.1,12.2,10.5
Jordi,2000513013.0,14.2,13.95,13.95,13.65,13.8,13.15
Bart Ramselaar,37045888.0,11.8,11.7,11.7,11.5,12.35,13.6
Pierre Kunde,67211690.0,11.85,11.9,11.9,13.45,12.05,11.35
Alberto Leon Fernández,2000631656.0,8.65,8.65,8.65,8.6,8.8,10.25
Laure,2000631655.0,11.7,11.2,11.2,11.65,12.4,13.45
Yann Karamoh,85144982.0,7.5,7.75,7.75,8.25,8.5,10.95
Roberto,2000440887.0,10.3,10.65,10.65,10.2,11.05,12.9
Manu Sánchez,67284340.0,13.05,12.9,12.9,13.05,13.15,11.35
Silvan Hefti,98038279.0,13.25,13.5,13.5,13.95,13.45,11.05
Eugenio,2000632614.0,10.65,10.95,10.95,10.3,10.35,11.55
Uğur Özbay,2000432893.0,13.3,13.1,13.1,12.4,12.1,10.2
Carlos Abraham,2000440884.0,14.35,14.45,14.45,13.55,13.3,12.0
Juan Artola,67260216.0,10.2,10.05,10.05,9.4,10.95,12.05
Mama Baldé,55070279.0,10.05,10.4,10.4,10.45,9.75,10.8
Santi Comesaña,67224142.0,12.1,12.25,12.25,12.0,12.3,12.1
Javi Martínez,67249495.0,11.2,11.0,11.0,10.9,11.35,13.1
Gaizka Larrazabal,67256616.0,11.5,11.3,11.3,11.7,11.15,12.45
Jon Moncayola,67267210.0,12.45,12.7,12.7,13.35,12.85,12.05
Julio Villalba,79028819.0,9.45,9.8,9.8,11.65,10.05,11.65
Álvaro García,89062864.0,11.85,11.05,11.05,11.0,12.0,11.75
Samy Chouchane,2000010841.0,12.1,11.75,11.75,12.15,12.45,11.4
Alex Hernando,2000197164.0,9.8,10.2,10.2,10.65,8.15,7.3
José Alberto Nieto,2000197171.0,11.5,10.9,10.9,10.7,11.55,13.7
Mohamed Cissé,2000565877.0,11.2,11.1,11.1,11.6,11.6,11.8
