Player,UID,WM,W,DW,IW,IF,WG
Pedro Javier López,2000202554.0,7.05,7.35,8.4,9.25,8.6,7.67
Nikola Colic,2000212623.0,12.05,11.7,13.8,11.8,11.55,11.58
Ramón Santos,2000440896.0,11.4,11.9,12.2,11.3,10.3,12.0
Xabier Gourgues,2000663362.0,10.6,10.7,11.8,11.0,10.8,11.42
Jordi,2000513013.0,12.25,12.0,13.6,12.65,12.15,12.17
Bart Ramselaar,37045888.0,12.75,13.3,11.95,14.05,13.5,12.83
Pierre Kunde,67211690.0,11.95,12.25,11.8,11.85,11.9,11.88
Alberto Leon Fernández,2000631656.0,10.5,12.95,8.35,11.1,10.8,12.38
Laure,2000631655.0,13.8,12.65,11.4,14.45,14.15,11.62
Yann Karamoh,85144982.0,10.05,11.95,8.35,10.55,10.8,11.79
Roberto,2000440887.0,12.45,14.5,10.25,14.1,14.3,13.42
Manu Sánchez,67284340.0,11.5,10.75,12.75,11.5,11.35,10.62
Silvan Hefti,98038279.0,12.0,11.55,13.35,11.4,11.05,11.46
Eugenio,2000632614.0,12.25,14.0,10.65,12.2,12.3,12.92
Uğur Özbay,2000432893.0,11.0,10.8,12.2,11.0,10.5,11.0
Carlos Abraham,2000440884.0,12.7,11.7,13.6,12.45,12.4,11.25
Juan Artola,67260216.0,11.85,11.75,10.35,12.1,11.5,11.04
Mama Baldé,55070279.0,10.8,12.25,9.85,11.55,10.95,11.62
Santi Comesaña,67224142.0,11.4,11.1,11.9,11.65,11.35,11.25
Javi Martínez,67249495.0,11.65,11.6,10.75,12.75,12.2,11.25
Gaizka Larrazabal,67256616.0,11.7,12.8,11.2,12.65,12.4,12.25
Jon Moncayola,67267210.0,11.35,11.35,12.5,11.45,11.3,11.29
Julio Villalba,79028819.0,11.35,12.35,9.6,12.25,12.2,12.29
Álvaro García,89062864.0,10.25,9.1,11.7,10.6,10.15,9.33
Samy Chouchane,2000010841.0,11.9,10.45,11.85,11.6,11.65,9.96
Alex Hernando,2000197164.0,7.1,8.5,8.75,7.25,6.8,8.21
José Alberto Nieto,2000197171.0,13.05,13.0,10.55,14.55,14.5,12.08
Mohamed Cissé,2000565877.0,12.4,13.8,11.1,13.2,13.6,13.0
