Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Emrah Ağın,2000244749.0,9.35,9.35,9.35,9.35,8.2,8.2,8.1,8.1,8.25,8.25
Odilon Kossounou,93127195.0,10.7,10.7,10.7,10.7,11.1,11.1,9.9,9.9,11.75,11.75
Didier,2000509916.0,12.9,12.9,12.9,12.9,12.6,12.6,12.5,12.5,12.58,12.58
Iván Muñoz,67295020.0,11.1,11.1,11.1,11.1,11.85,11.85,11.0,11.0,12.29,12.29
Oriol Busquets,67225653.0,13.9,13.9,13.9,13.9,12.4,12.4,13.1,13.1,12.58,12.58
Andrés Torres,2000628761.0,14.9,14.9,14.9,14.9,13.4,13.4,14.2,14.2,12.92,12.92
Luis Vicente,2000438000.0,15.0,15.0,15.0,15.0,13.1,13.1,14.4,14.4,12.0,12.0
Samuel Chukwueze,67269484.0,14.8,14.8,14.8,14.8,14.9,14.9,14.6,14.6,14.0,14.0
Javi Ontiveros,67211745.0,13.8,13.8,13.8,13.8,14.5,14.5,13.8,13.8,12.92,12.92
Faustino,2000438001.0,14.5,14.5,14.5,14.5,14.3,14.3,15.0,15.0,13.17,13.17
Mohamed Cisse,2000509917.0,13.3,13.3,13.3,13.3,13.15,13.15,13.6,13.6,12.38,12.38
Carles,2000192884.0,8.55,8.55,8.55,8.55,7.1,7.1,8.2,8.2,7.21,7.21
Dmytro Smalyukh,2000461897.0,12.9,12.9,12.9,12.9,11.2,11.2,12.45,12.45,11.25,11.25
Gianfranco Giuffrè,2000272929.0,12.65,12.65,12.65,12.65,13.15,13.15,12.2,12.2,12.79,12.79
Óliver Pueyo,2000569557.0,14.6,14.6,14.6,14.6,12.3,12.3,13.8,13.8,11.38,11.38
John Córdoba,2000416582.0,13.85,13.85,13.85,13.85,14.6,14.6,13.4,13.4,14.25,14.25
Abdul Mumin,27128916.0,12.2,12.2,12.2,12.2,12.0,12.0,11.4,11.4,12.5,12.5
Maxence Caqueret,48044737.0,14.85,14.85,14.85,14.85,12.75,12.75,14.1,14.1,11.67,11.67
Alfonso Pedraza,67212046.0,13.15,13.15,13.15,13.15,13.3,13.3,13.2,13.2,13.0,13.0
Manu Morlanes,67228802.0,13.7,13.7,13.7,13.7,12.6,12.6,13.5,13.5,11.92,11.92
Fernando Niño,67258829.0,13.15,13.15,13.15,13.15,12.95,12.95,13.65,13.65,13.54,13.54
Francisco Conceição,83261140.0,13.45,13.45,13.45,13.45,13.15,13.15,13.4,13.4,11.96,11.96
Wanderson Bastos,2000410491.0,11.5,11.5,11.5,11.5,11.05,11.05,10.85,10.85,11.21,11.21
Yesinguer Vinasco,2000415655.0,13.35,13.35,13.35,13.35,13.45,13.45,12.7,12.7,13.21,13.21
José Vicente Muñoz,2000509912.0,8.9,8.9,8.9,8.9,8.75,8.75,7.85,7.85,8.46,8.46
Álex,2000509919.0,11.95,11.95,11.95,11.95,13.15,13.15,11.25,11.25,12.38,12.38
