Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
16.0,11.0,1.0,10.5,7.5,10.0,7.25,14.5,10.5,5.0,10.5,11.0,10.2,8.0,14.0,13.666666666666666,5.5,9.333333333333334,12.0,4.5
9.0,11.666666666666666,8.0,12.0,10.0,12.166666666666666,10.75,13.75,12.0,7.5,11.25,13.0,12.1,12.666666666666666,14.375,12.833333333333334,11.5,10.5,12.75,12.0
12.0,12.5,13.0,13.75,12.0,13.666666666666666,11.875,13.5,13.75,11.25,14.5,13.375,12.8,13.5,14.25,13.833333333333334,11.5,12.5,13.75,13.75
17.0,13.166666666666666,12.0,13.75,7.5,12.333333333333334,8.75,13.25,13.75,7.0,13.25,11.5,12.2,13.833333333333334,14.75,14.0,10.5,9.5,15.25,14.75
8.0,11.5,10.0,10.0,12.75,14.0,11.875,12.0,10.0,14.5,10.5,12.25,12.4,10.333333333333334,14.875,12.833333333333334,11.75,11.666666666666666,12.5,10.0
8.0,11.0,7.0,10.0,13.0,13.0,12.5,10.5,10.0,13.0,12.0,12.75,11.8,9.0,15.0,11.333333333333334,13.0,12.666666666666666,13.0,8.25
8.5,14.166666666666666,10.5,12.5,13.0,13.666666666666666,11.375,14.25,12.5,13.0,14.5,11.0,13.7,13.166666666666666,12.75,14.5,13.75,12.833333333333334,12.25,12.25
10.0,12.333333333333334,15.0,11.0,15.5,15.0,11.25,14.0,11.0,15.5,12.5,14.0,13.6,10.666666666666666,12.0,14.0,13.5,13.666666666666666,12.0,10.5
8.0,12.833333333333334,11.0,10.5,14.5,13.166666666666666,13.5,12.0,10.5,13.5,11.5,14.5,13.1,9.333333333333334,14.875,12.166666666666666,14.0,13.333333333333334,12.0,11.5
14.0,11.5,13.0,10.0,16.5,15.0,12.375,11.0,10.0,14.75,12.0,10.5,13.0,9.833333333333334,15.25,12.166666666666666,13.5,13.5,15.25,8.25
9.0,14.5,11.0,8.5,15.75,16.666666666666668,10.875,15.5,8.5,14.5,10.0,12.25,15.4,7.333333333333333,18.0,15.833333333333334,13.25,11.0,13.5,7.75
15.5,9.5,1.5,8.0,3.75,9.666666666666666,4.875,10.0,8.0,3.5,10.5,9.25,9.4,6.5,10.125,10.166666666666666,4.25,5.833333333333333,10.0,4.5
13.0,11.666666666666666,7.0,13.0,13.25,12.333333333333334,12.875,12.5,13.0,12.75,13.25,13.0,11.8,12.666666666666666,14.25,12.666666666666666,12.5,13.333333333333334,13.0,12.0
12.0,15.5,8.0,12.75,15.25,12.0,12.625,13.75,12.75,9.5,13.25,11.625,13.4,12.5,14.5,14.333333333333334,13.5,15.333333333333334,14.5,13.25
7.0,12.666666666666666,8.0,12.75,14.0,13.833333333333334,12.875,11.75,12.75,14.5,12.75,11.375,13.3,10.833333333333334,14.0,12.166666666666666,14.75,13.833333333333334,12.5,11.25
11.0,14.5,11.0,13.25,15.75,16.0,12.875,12.75,13.25,14.5,13.75,13.25,15.2,13.166666666666666,14.25,13.666666666666666,14.0,14.333333333333334,13.5,12.75
12.0,14.833333333333334,12.0,16.25,14.0,13.333333333333334,13.75,13.25,16.25,12.5,16.75,11.75,13.8,15.166666666666666,14.0,14.0,13.5,15.166666666666666,12.75,15.75
11.0,12.0,8.0,8.0,12.5,10.666666666666666,10.75,12.5,8.0,13.0,8.5,10.0,11.8,6.0,14.0,11.333333333333334,11.5,11.0,10.5,8.0
7.0,14.0,8.0,10.0,16.0,15.333333333333334,14.5,12.0,10.0,16.0,12.0,10.25,14.6,7.833333333333333,15.5,13.0,14.5,14.666666666666666,12.5,8.0
11.0,13.833333333333334,7.0,12.5,15.75,14.0,15.25,12.75,12.5,13.5,13.75,12.625,14.2,9.666666666666666,12.5,12.666666666666666,13.5,16.0,12.75,10.75
7.0,10.166666666666666,5.0,8.5,12.0,11.666666666666666,11.375,9.0,8.5,13.25,10.5,9.75,11.0,6.833333333333333,14.0,9.5,9.5,11.5,10.25,8.25
5.0,9.166666666666666,7.0,6.5,12.75,12.0,10.875,10.5,6.5,14.0,8.0,10.25,10.8,6.333333333333333,15.625,10.166666666666666,10.75,10.666666666666666,10.5,5.0
13.0,11.333333333333334,9.0,12.5,13.0,11.833333333333334,11.5,12.75,12.5,11.5,12.75,10.25,11.3,12.0,13.125,12.833333333333334,10.0,12.5,14.75,13.0
15.0,13.333333333333334,11.0,11.5,15.75,13.833333333333334,11.875,15.0,11.5,12.75,12.0,10.125,13.7,11.0,13.5,14.333333333333334,12.0,13.166666666666666,14.5,11.25
14.0,11.5,7.0,9.5,10.5,9.833333333333334,10.125,13.5,9.5,10.5,10.25,12.125,10.8,8.166666666666666,16.25,12.333333333333334,13.0,10.666666666666666,13.5,8.75
