Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Pablo,2000193992.0,5.67,13.0,13.0,7.67,4.33,6.0,8.5,13.17
Óscar Gil,67227188.0,13.33,13.88,16.0,11.83,9.17,9.33,8.5,13.08
Alejandro Francés,67281886.0,14.33,14.5,14.0,11.5,9.83,11.17,12.5,14.25
Arkadiusz Marciniak,2000232548.0,14.67,15.62,14.25,9.5,8.33,7.83,14.5,12.5
Alejandro Balde,67296654.0,11.0,13.75,14.0,11.67,10.5,13.33,9.0,12.75
Ismaïla Sarr,48042766.0,5.83,13.5,15.5,12.33,13.33,13.0,7.5,12.17
Francho,67278162.0,13.0,13.12,13.25,12.67,12.33,13.0,9.5,12.83
Dídac,2000437768.0,9.0,13.25,12.5,12.67,12.33,15.33,12.5,14.5
Ruben Vargas,98041215.0,8.33,13.38,14.0,14.0,13.33,14.0,9.5,12.42
Jorge Cañadas,2000511078.0,6.33,15.0,14.0,13.17,13.33,15.5,13.5,10.83
Fernando Silva,2000439540.0,5.17,15.38,17.5,12.0,13.17,15.0,10.0,12.92
Martín Merino,2000201919.0,5.17,10.62,4.75,7.5,3.67,3.17,8.5,12.0
Eric Kahl,93142833.0,12.0,13.88,14.5,11.17,10.33,12.5,10.0,12.92
Renato Adriano,2000411533.0,11.67,14.75,13.25,13.33,11.67,11.33,10.0,13.25
Luis Carbonell,95078291.0,8.0,13.25,13.5,14.0,14.17,14.33,7.5,11.33
Javi Mas,2000511079.0,11.33,13.75,13.25,16.0,12.0,15.33,11.0,13.5
Quique Clemente,67246261.0,14.0,13.12,14.25,13.83,10.33,13.17,12.0,13.67
Jesus Carrasco,2000439537.0,4.0,12.25,15.0,11.67,9.67,13.0,9.5,10.0
Malcom,19229435.0,4.5,13.5,15.0,16.0,13.33,15.67,7.5,12.33
Carles Aleñá,67213011.0,6.5,11.88,12.5,16.67,13.17,14.33,9.0,13.0
Marvin,67277459.0,5.33,11.75,15.0,12.5,9.83,12.5,6.0,9.67
Ander Imaz,2000439533.0,4.33,13.5,16.0,12.0,9.83,14.0,6.0,9.75
Francisco Jesús,2000511084.0,12.67,13.38,11.5,9.83,9.17,11.67,11.0,11.42
Vladimir Moldovan,2000570460.0,11.17,13.88,12.0,13.17,11.67,14.17,13.0,12.33
Jorge Tato,2000571897.0,5.33,13.75,16.5,8.67,13.0,10.67,10.5,11.42
