,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DM_abis,Aerial,3.0,8.0,11.0,13.0,14.5,18.0
1,DM_abis,Awareness,7.83,11.5,13.0,13.67,14.33,16.33
2,DM_abis,Clearing,2.5,8.0,9.0,10.0,12.0,17.5
3,DM_abis,Closing,6.5,10.75,12.0,13.0,14.0,16.75
4,DM_abis,Control,6.25,11.25,12.5,13.75,14.5,17.5
5,DM_abis,Creativity,5.83,10.5,11.67,12.67,13.67,16.33
6,DM_abis,Crossing,6.33,10.0,11.5,12.5,13.5,17.67
7,DM_abis,Decision,7.75,12.25,13.0,13.5,14.5,16.5
8,DM_abis,Defensive,6.5,10.75,12.0,13.0,14.0,16.75
9,DM_abis,Dribbling,5.0,9.75,11.0,12.5,13.5,16.0
10,DM_abis,Focus,6.25,10.5,11.75,13.0,14.0,16.0
11,DM_abis,Endeavour,7.62,11.5,12.5,13.5,14.38,17.0
12,DM_abis,Intelligence,7.5,11.1,12.2,13.2,13.8,16.4
13,DM_abis,Marking,6.33,10.5,11.33,12.33,13.17,16.0
14,DM_abis,Mobility,6.75,11.62,12.5,13.5,14.25,16.5
15,DM_abis,Movement,8.67,12.33,13.0,13.67,14.5,16.33
16,DM_abis,Off The Ball,3.5,7.0,9.5,11.0,13.0,17.0
17,DM_abis,Passing,7.25,11.75,13.0,14.25,15.0,17.5
18,DM_abis,Physical,7.25,11.5,12.5,13.5,14.5,17.5
19,DM_abis,Shooting,3.83,8.5,9.83,11.17,12.0,15.67
20,DM_abis,Tackling,4.0,10.0,12.0,13.0,14.0,18.0
