,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,GK_attrs,Acc,3.0,8.5,10.0,11.0,12.0,16.0
1,GK_attrs,Agi,5.0,10.0,12.0,13.5,15.0,18.0
2,GK_attrs,Pac,2.0,7.5,9.5,11.0,12.0,15.5
3,GK_attrs,Wor,2.5,7.0,9.0,11.0,13.5,17.5
4,GK_attrs,Jum,6.5,13.0,15.0,16.0,17.5,19.0
5,GK_attrs,Fir,2.0,3.5,5.0,7.0,9.0,12.0
6,GK_attrs,Dri,0.0,1.5,2.0,2.5,3.0,5.0
7,GK_attrs,Cmp,3.0,7.0,8.5,10.5,12.5,18.0
8,GK_attrs,Sta,0.0,5.5,8.5,11.0,12.5,16.0
9,GK_attrs,Pos,6.0,10.0,11.5,13.0,14.0,17.5
10,GK_attrs,Cnt,3.0,10.5,11.5,12.5,14.0,16.5
11,GK_attrs,Fre,0.0,4.5,6.0,7.5,8.0,12.5
12,GK_attrs,Cor,0.0,2.5,3.0,4.0,5.0,8.0
13,GK_attrs,Fin,0.0,1.5,2.0,2.5,3.0,6.5
14,GK_attrs,OtB,0.0,2.0,2.5,3.0,4.0,9.5
15,GK_attrs,Pas,3.0,8.0,9.0,10.0,12.0,15.5
16,GK_attrs,Tec,1.5,4.5,6.5,8.0,10.0,13.5
17,GK_attrs,Ant,4.0,9.0,11.0,12.0,13.5,17.0
18,GK_attrs,Dec,5.0,11.5,13.0,14.0,14.5,17.0
19,GK_attrs,Lon,0.0,1.5,2.0,2.5,3.0,13.0
20,GK_attrs,Fla,0.0,1.5,2.5,3.0,4.5,11.0
21,GK_attrs,Tck,0.0,1.5,2.0,2.5,3.0,7.0
22,GK_attrs,Hea,0.0,1.5,2.0,2.5,5.5,9.5
23,GK_attrs,Agg,3.5,6.5,8.5,10.0,11.5,15.5
24,GK_attrs,Bra,3.5,9.0,11.0,13.0,14.0,17.0
25,GK_attrs,Bal,4.0,9.0,11.0,12.0,13.5,19.0
26,GK_attrs,Str,4.0,7.5,9.5,10.5,12.0,16.0
27,GK_attrs,Det,0.0,10.5,12.5,14.0,15.0,17.0
28,GK_attrs,Mar,0.0,1.5,2.0,2.5,3.0,5.5
29,GK_attrs,Vis,0.0,5.5,7.5,9.0,11.5,20.0
30,GK_attrs,Tea,0.0,7.0,9.0,11.0,14.0,19.0
31,GK_attrs,Cro,0.0,1.5,2.0,2.5,3.0,5.0
32,GK_attrs,Ldr,2.5,6.0,8.5,10.5,12.0,16.5
33,GK_attrs,Nat,0.0,10.5,12.5,13.0,15.0,18.5
34,GK_attrs,L Th,0.0,1.5,2.0,2.5,3.0,8.0
35,GK_attrs,Pen,0.0,1.5,2.5,2.5,3.5,12.5
36,GK_attrs,Aer,6.0,12.5,14.0,15.0,16.0,20.0
37,GK_attrs,Cmd,5.0,10.0,11.0,12.0,14.0,18.0
38,GK_attrs,Com,5.5,9.5,11.0,12.0,14.0,16.0
39,GK_attrs,Ecc,1.0,3.5,5.0,6.5,9.0,18.0
40,GK_attrs,Han,7.5,12.0,13.0,13.0,14.0,17.0
41,GK_attrs,Kic,4.0,10.0,11.0,12.0,13.0,17.0
42,GK_attrs,Pun,2.5,7.0,9.0,11.0,12.0,16.0
43,GK_attrs,1v1,5.0,10.0,12.0,14.0,15.0,19.0
44,GK_attrs,Ref,7.0,12.5,14.0,15.0,16.0,18.0
45,GK_attrs,TRO,4.0,8.0,10.0,11.0,13.0,17.0
46,GK_attrs,Thr,6.0,9.0,11.0,13.0,14.0,17.0
47,GK_attrs,Age,18.0,21.0,24.0,27.0,30.0,38.0
