,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,MC_abis,Aerial,2.0,7.5,9.5,12.0,14.0,19.0
1,MC_abis,Awareness,5.17,11.5,12.83,13.5,14.33,16.33
2,MC_abis,Clearing,2.5,7.0,8.0,9.0,11.0,17.5
3,MC_abis,Closing,4.25,9.25,10.75,11.75,13.25,16.75
4,MC_abis,Control,6.25,12.5,13.5,14.5,15.5,17.5
5,MC_abis,Creativity,4.67,11.17,12.33,13.33,14.17,17.0
6,MC_abis,Crossing,6.33,11.0,12.17,13.0,13.67,17.67
7,MC_abis,Decision,7.0,11.75,12.75,13.5,14.5,16.5
8,MC_abis,Defensive,4.25,9.25,10.75,11.75,13.25,16.75
9,MC_abis,Dribbling,6.0,11.25,12.5,13.5,14.75,16.75
10,MC_abis,Focus,5.5,10.0,11.0,12.25,13.5,16.0
11,MC_abis,Endeavour,7.25,10.62,11.5,12.5,13.62,17.0
12,MC_abis,Intelligence,6.2,11.5,12.8,13.4,14.0,16.4
13,MC_abis,Marking,2.83,8.33,9.67,11.0,12.33,16.0
14,MC_abis,Mobility,6.75,11.88,13.12,13.88,14.62,17.0
15,MC_abis,Movement,4.67,11.83,12.67,13.33,14.33,16.33
16,MC_abis,Off The Ball,4.0,9.5,11.0,13.0,14.5,18.5
17,MC_abis,Passing,7.25,12.5,14.0,14.5,15.5,17.5
18,MC_abis,Physical,7.25,11.0,12.0,13.25,14.25,17.0
19,MC_abis,Shooting,5.0,9.5,10.83,11.83,12.67,16.33
20,MC_abis,Tackling,0.0,6.5,8.5,10.5,12.5,18.0
