,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,ML_abis,Aerial,4.0,7.0,9.0,11.0,13.0,19.0
1,ML_abis,Awareness,4.67,10.67,11.83,12.5,13.17,16.17
2,ML_abis,Clearing,3.0,6.0,8.0,9.0,11.0,15.0
3,ML_abis,Closing,5.5,8.5,9.75,11.0,12.5,14.5
4,ML_abis,Control,8.5,12.0,13.25,14.25,15.25,17.5
5,ML_abis,Creativity,7.33,10.83,12.33,13.33,14.0,17.0
6,ML_abis,Crossing,7.5,11.67,12.33,13.0,14.0,17.67
7,ML_abis,Decision,7.0,11.0,12.0,12.5,13.5,16.0
8,ML_abis,Defensive,5.5,8.5,9.75,11.0,12.5,14.5
9,ML_abis,Dribbling,7.5,12.0,13.0,13.75,14.75,18.5
10,ML_abis,Focus,5.0,9.5,10.75,11.75,13.0,15.0
11,ML_abis,Endeavour,7.25,10.25,11.25,12.25,13.5,16.25
12,ML_abis,Intelligence,6.6,10.8,12.1,12.7,13.4,16.4
13,ML_abis,Marking,4.67,7.33,8.5,10.0,11.33,14.83
14,ML_abis,Mobility,6.75,13.0,13.75,14.5,15.12,18.0
15,ML_abis,Movement,5.67,10.83,12.0,12.67,13.5,15.83
16,ML_abis,Off The Ball,5.0,10.0,12.0,13.5,15.0,17.0
17,ML_abis,Passing,7.5,12.0,13.0,14.0,14.75,17.5
18,ML_abis,Physical,8.25,10.5,11.5,12.5,13.5,17.5
19,ML_abis,Shooting,4.17,9.33,10.67,11.67,13.17,16.33
20,ML_abis,Tackling,1.5,4.5,6.0,8.5,11.0,18.0
