,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,MR_attrs,Acc,6.0,12.0,14.0,15.0,16.0,19.0
1,MR_attrs,Agi,5.0,12.5,14.5,16.0,17.0,19.5
2,MR_attrs,Pac,5.0,12.0,14.0,14.0,16.0,18.0
3,MR_attrs,Wor,5.5,10.5,12.0,13.0,15.0,17.5
4,MR_attrs,Jum,2.0,7.0,9.0,11.0,13.0,18.0
5,MR_attrs,Fir,7.5,12.0,13.0,14.0,15.0,18.0
6,MR_attrs,Dri,4.5,10.0,11.5,14.0,15.5,17.5
7,MR_attrs,Cmp,4.5,9.5,11.5,13.0,14.0,18.5
8,MR_attrs,Sta,5.0,11.5,12.5,13.5,14.5,18.0
9,MR_attrs,Pos,0.0,6.0,7.0,9.0,11.0,14.0
10,MR_attrs,Cnt,2.5,7.5,8.5,10.0,12.0,15.5
11,MR_attrs,Fre,0.0,6.5,9.0,10.5,13.0,16.5
12,MR_attrs,Cor,0.0,7.0,8.5,10.0,11.5,16.0
13,MR_attrs,Fin,0.0,6.5,8.0,9.5,12.0,16.0
14,MR_attrs,OtB,2.5,10.5,12.5,13.5,15.0,18.5
15,MR_attrs,Pas,7.0,11.0,12.0,13.0,15.0,18.0
16,MR_attrs,Tec,8.5,12.5,14.0,15.0,16.5,18.5
17,MR_attrs,Ant,6.0,10.5,12.0,13.0,14.0,17.0
18,MR_attrs,Dec,4.0,10.5,12.0,13.0,14.5,18.0
19,MR_attrs,Lon,2.0,8.0,10.0,11.0,13.0,17.0
20,MR_attrs,Fla,2.0,10.0,12.0,14.0,15.0,19.0
21,MR_attrs,Tck,2.0,4.5,6.0,8.0,10.5,18.0
22,MR_attrs,Hea,3.0,6.0,8.0,9.0,11.0,16.0
23,MR_attrs,Agg,3.5,8.0,10.0,11.0,13.5,19.0
24,MR_attrs,Bra,2.5,7.0,8.5,10.0,12.5,19.0
25,MR_attrs,Bal,7.5,11.0,13.0,14.0,16.0,19.0
26,MR_attrs,Str,5.0,9.0,10.0,11.0,12.0,16.0
27,MR_attrs,Det,3.5,11.0,13.0,14.0,15.5,18.5
28,MR_attrs,Mar,0.0,5.0,6.5,8.0,10.0,14.0
29,MR_attrs,Vis,6.0,9.5,11.5,13.0,15.0,20.0
30,MR_attrs,Tea,5.5,9.5,11.5,12.5,14.0,17.0
31,MR_attrs,Cro,0.0,9.0,10.5,12.0,13.0,18.0
32,MR_attrs,Ldr,2.0,5.0,8.0,9.0,11.5,17.5
33,MR_attrs,Nat,5.0,11.5,13.0,14.0,15.5,19.0
34,MR_attrs,L Th,0.0,4.0,5.5,7.0,9.0,16.0
35,MR_attrs,Pen,0.0,5.5,7.5,9.0,10.0,16.0
36,MR_attrs,Aer,0.0,1.5,2.0,2.5,3.0,6.0
37,MR_attrs,Cmd,0.0,1.5,2.0,2.5,3.0,5.5
38,MR_attrs,Com,0.0,1.5,2.0,2.5,3.0,5.5
39,MR_attrs,Ecc,0.0,1.5,2.0,2.5,3.0,5.5
40,MR_attrs,Han,0.0,1.5,2.0,2.5,3.5,5.0
41,MR_attrs,Kic,0.0,1.5,2.0,2.5,3.5,5.5
42,MR_attrs,Pun,0.0,1.5,2.0,2.5,3.5,5.5
43,MR_attrs,1v1,0.0,1.5,2.0,2.5,3.0,5.5
44,MR_attrs,Ref,0.0,2.0,2.0,2.5,3.0,5.0
45,MR_attrs,TRO,0.0,1.5,2.0,2.5,3.0,5.0
46,MR_attrs,Thr,0.0,1.5,2.0,2.5,3.5,5.0
47,MR_attrs,Age,17.0,21.0,22.0,23.0,29.0,37.0
