,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,WBL_attrs,Acc,8.0,12.0,13.0,14.0,15.0,19.0
1,WBL_attrs,Agi,7.0,12.0,13.5,14.5,16.0,18.0
2,WBL_attrs,Pac,7.5,12.0,13.0,14.0,15.0,18.0
3,WBL_attrs,Wor,8.5,12.0,13.0,14.0,15.0,17.5
4,WBL_attrs,Jum,5.0,8.0,10.0,12.0,13.0,16.0
5,WBL_attrs,Fir,6.0,11.0,12.0,13.0,14.0,16.0
6,WBL_attrs,Dri,4.0,8.5,9.5,11.0,12.0,16.0
7,WBL_attrs,Cmp,4.0,10.0,11.0,12.0,13.0,17.5
8,WBL_attrs,Sta,7.5,13.0,13.0,14.0,15.5,18.5
9,WBL_attrs,Pos,4.5,10.0,12.0,13.0,14.0,17.0
10,WBL_attrs,Cnt,3.0,12.0,13.0,13.5,14.0,17.0
11,WBL_attrs,Fre,0.0,4.0,5.5,7.0,9.0,18.0
12,WBL_attrs,Cor,0.0,5.0,7.0,8.0,10.5,13.5
13,WBL_attrs,Fin,0.0,5.0,6.5,7.0,9.0,13.0
14,WBL_attrs,OtB,3.5,8.0,10.0,12.5,14.0,17.0
15,WBL_attrs,Pas,6.0,11.0,12.0,13.0,13.0,16.0
16,WBL_attrs,Tec,5.5,12.0,13.0,13.5,14.0,16.5
17,WBL_attrs,Ant,0.0,11.0,13.0,13.5,15.0,17.0
18,WBL_attrs,Dec,0.0,12.0,13.0,13.5,15.0,17.0
19,WBL_attrs,Lon,3.5,6.5,9.0,10.0,11.5,15.5
20,WBL_attrs,Fla,2.0,7.5,9.5,11.0,13.0,15.0
21,WBL_attrs,Tck,2.0,11.0,12.0,12.0,13.0,18.0
22,WBL_attrs,Hea,3.0,8.0,9.0,10.0,12.0,15.0
23,WBL_attrs,Agg,4.5,9.0,11.0,12.0,13.0,17.5
24,WBL_attrs,Bra,6.5,10.5,11.5,12.5,14.0,17.0
25,WBL_attrs,Bal,7.0,12.5,13.0,14.0,15.0,19.0
26,WBL_attrs,Str,5.0,10.0,11.0,12.0,13.0,15.0
27,WBL_attrs,Det,5.0,12.0,14.0,15.0,16.0,18.0
28,WBL_attrs,Mar,0.0,10.0,12.0,12.0,13.0,16.0
29,WBL_attrs,Vis,2.0,8.5,10.0,11.5,13.0,14.0
30,WBL_attrs,Tea,8.5,11.5,12.0,13.0,14.5,19.0
31,WBL_attrs,Cro,4.0,8.5,10.5,12.5,14.0,17.0
32,WBL_attrs,Ldr,2.0,7.5,8.5,10.0,12.0,15.5
33,WBL_attrs,Nat,8.5,13.0,14.0,15.0,15.5,18.0
34,WBL_attrs,L Th,0.0,6.5,8.5,10.5,13.0,16.5
35,WBL_attrs,Pen,0.0,5.5,6.5,7.5,9.0,12.5
36,WBL_attrs,Aer,0.0,1.5,2.0,2.5,3.0,4.0
37,WBL_attrs,Cmd,0.0,1.5,2.0,2.5,3.0,5.0
38,WBL_attrs,Com,0.0,1.5,2.0,2.5,3.0,5.5
39,WBL_attrs,Ecc,0.0,1.5,2.0,2.5,3.0,5.0
40,WBL_attrs,Han,0.0,1.5,2.0,2.0,3.0,4.5
41,WBL_attrs,Kic,0.0,1.5,2.0,2.5,3.0,5.5
42,WBL_attrs,Pun,0.0,2.0,2.0,2.5,3.0,5.0
43,WBL_attrs,1v1,0.0,2.0,2.0,2.5,3.5,5.0
44,WBL_attrs,Ref,0.0,2.0,2.0,2.5,3.0,5.0
45,WBL_attrs,TRO,0.0,1.5,2.0,2.5,3.0,4.0
46,WBL_attrs,Thr,0.0,1.5,2.0,2.5,3.0,4.5
47,WBL_attrs,Age,19.0,22.0,25.0,29.0,31.0,36.0
