Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Alessandro Ottaviano,2000512150,0,0,0,0,1,0,0,0,1,0,0,1,0,0,arezzo
Fabiano De Nadai,2000573667,0,0,0,0,0,0,0,0,1,0,0,1,0,0,arezzo
Aniello Zampella,2000199610,0,0,0,0,0,0,0,0,0,0,0,1,0,1,arezzo
Giordano Rossi,2000021846,0,0,0,0,0,0,0,0,1,0,0,1,0,0,arezzo
Manolo Portanova,43297054,0,0,0,0,0,1,0,0,1,0,0,1,1,0,arezzo
Adam Maher,37012969,0,0,0,0,0,1,0,0,1,0,0,1,0,0,arezzo
Samuele Bonaldo,2000325145,0,0,0,0,0,0,0,0,1,0,1,1,1,0,arezzo
Emiliano Sacco,2000324227,0,0,0,0,0,0,0,0,1,0,1,1,1,0,arezzo
Näis Djouahra,49037903,0,0,0,0,0,0,0,0,0,1,0,1,1,0,arezzo
Elidon Gega,2000189330,0,0,1,0,0,1,0,0,1,0,0,1,0,0,atalanta
Marten Ortmann,2000503144,0,0,0,0,0,0,0,1,0,0,1,1,0,0,atalanta
Alessandro Granelli,2000435799,0,0,0,0,0,0,0,0,1,0,0,1,0,0,atalanta
Fabio De Santis,2000434022,0,0,0,0,0,1,0,0,1,0,0,1,0,0,atalanta
Mario Miola,2000273723,0,0,0,0,0,0,0,0,1,0,0,1,0,0,atalanta
Alexandros Goublias,2000234468,0,0,0,0,0,0,0,0,1,0,1,1,1,0,atalanta
Gianluca Bettoni,2000189336,0,0,0,0,0,1,0,0,1,0,0,1,0,0,atalanta
Oscar Barreto,2000541646,0,0,0,0,0,0,0,0,0,0,1,1,1,1,atalanta
Emanuel Vignato,43296186,0,0,0,0,0,0,0,1,0,0,1,1,1,0,atalanta
Matteo Pessina,43155796,0,0,0,0,0,1,0,0,1,0,0,1,0,0,atalanta
Kasper Dolberg,27102380,0,0,0,0,0,0,0,0,0,1,1,1,1,1,atalanta
Danilo,2000410771,0,0,0,0,0,0,0,0,1,0,1,1,0,0,atalanta
Mario Sacchi,2000628256,0,0,0,0,0,0,0,0,1,0,0,1,0,0,benevento
Ding Lei,2000566986,0,0,0,0,0,0,0,0,1,0,0,1,0,1,benevento
José Daniel Lafuente,2000435809,0,0,0,0,0,0,0,0,1,0,1,1,1,0,benevento
Matteo Bernard,2000189331,0,0,0,0,0,0,0,0,0,1,0,1,1,0,benevento
Cristian Ferrari,2000570040,0,0,0,0,0,0,0,0,1,0,0,1,0,1,benevento
Giacomo Raspadori,43316850,0,0,0,0,0,0,0,0,0,0,0,1,1,1,benevento
Nicolò Trombino,2000324477,0,0,0,0,0,0,0,1,0,0,1,1,0,0,benevento
