Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Francesco Oliva,2000512151,0,0,1,0,0,1,0,0,1,0,0,0,0,0,arezzo
Giuseppe Rossetti,2000511011,0,0,1,1,0,0,0,0,0,0,0,0,0,0,arezzo
Loris Sebert,2000025939,0,1,1,0,0,1,0,0,0,0,0,0,0,0,arezzo
Carlo Schettino,2000567623,0,1,1,1,0,0,0,0,0,0,0,0,0,0,arezzo
Frane Križmanić,2000433152,0,0,1,0,0,1,0,0,1,0,0,0,0,0,arezzo
Filip Vasko,43322583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,arezzo
Luka Bogdan,16149835,0,0,1,0,0,1,0,0,0,0,0,0,0,0,arezzo
Noah Loosli,98034469,0,0,1,0,0,0,0,0,0,0,0,0,0,0,arezzo
Elidon Gega,2000189330,0,0,1,0,0,1,0,0,1,0,0,1,0,0,atalanta
Luigi Braga,2000506750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,atalanta
Sebastián Vázquez,2000180227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,atalanta
Jacopo Lombardini,2000626005,0,0,1,1,0,0,0,0,0,0,0,0,0,0,atalanta
Luigi Cima,2000566953,0,0,1,0,0,1,0,0,1,0,0,0,0,0,atalanta
Gianni Rizzo,2000323580,0,0,1,1,0,0,0,0,0,0,0,0,0,0,atalanta
Claudio Corti,2000506751,0,1,1,0,0,0,0,0,0,0,0,0,0,0,atalanta
Tanguy Nianzou,49048365,0,0,1,0,0,1,0,0,0,0,0,0,0,0,atalanta
Tommaso Risaliti,2000198565,0,1,1,1,0,0,0,0,0,0,0,0,0,0,benevento
Antonio Buzzi,2000193933,0,1,1,0,0,1,0,0,1,0,0,0,0,0,benevento
Kalidou Koulibaly,85051083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,benevento
Amir Rrahmani,11023165,0,1,1,1,0,0,0,0,0,0,0,0,0,0,benevento
Vasyl Lysenko,2000660045,0,1,1,0,0,0,0,0,0,0,0,0,0,0,benevento
Enrico Del Prato,43252473,0,1,1,1,1,0,0,1,1,0,0,0,0,0,benevento
Lennart Czyborra,91166521,0,0,1,1,0,0,1,0,0,1,0,0,0,0,benevento
Chancel Mbemba,18057323,0,1,1,0,1,1,0,0,0,0,0,0,0,0,benevento
Jonathan Augustinsson,93051231,0,0,1,1,0,0,1,0,0,0,0,0,0,0,benevento
Daniele Rugani,43083931,0,0,1,0,0,0,0,0,0,0,0,0,0,0,benevento
Giovanni Mosca,2000567186,0,1,1,1,0,1,0,0,0,0,0,0,0,0,bologna
Vincenzo Savarese,2000567190,0,1,1,0,1,0,0,0,0,0,0,0,0,0,bologna
James Owusu,2000567653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bologna
Maurizio Simone,2000507008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bologna
Umberto Lippo,2000435435,0,1,1,0,0,0,0,0,0,0,0,0,0,0,bologna
Claudio Cellamare,2000019160,0,1,1,0,1,0,0,0,0,0,0,0,0,0,bologna
Daan Dierckx,2000046172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bologna
Willy Kambwala,2000006158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bologna
