Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Nicolas Balestracci,2000507375.0,7.0,10.33,9.0,7.0,10.0,12.33,8.0,14.5,7.0,9.0,7.5,10.25,11.4,8.0,11.5,13.33,5.0,10.0,10.0,7.0,10.0,arezzo
Diferdio Misidjan,37084985.0,7.0,10.5,7.0,11.0,9.75,10.0,8.0,9.5,11.0,10.0,12.0,11.0,10.2,10.67,13.25,9.83,12.5,8.75,10.0,8.33,10.0,arezzo
Giuseppe Rossetti,2000511011.0,13.5,13.33,11.5,10.5,7.75,9.83,7.0,13.75,10.5,7.5,11.5,10.0,11.3,11.17,12.5,13.5,6.0,7.5,12.0,6.17,12.0,arezzo
Carlo Schettino,2000567623.0,10.0,10.33,7.0,8.75,11.25,10.5,9.0,12.0,8.75,12.5,13.0,15.75,10.3,9.5,15.12,11.67,11.0,10.0,12.75,8.0,11.0,arezzo
Raoul Petretta,98041022.0,7.0,11.67,9.0,12.5,12.0,10.0,11.17,12.5,12.5,10.75,13.0,11.38,10.6,12.67,11.62,12.33,11.5,12.0,10.5,8.67,12.0,arezzo
Emil Andri Valdimarsson,2000355768.0,9.0,15.33,10.0,13.25,16.5,16.83,13.0,16.0,13.25,16.0,14.0,14.25,16.1,12.5,17.62,16.0,14.0,16.0,15.0,11.67,11.0,atalanta
Jacopo Lombardini,2000626005.0,15.0,11.67,12.0,13.0,12.0,11.33,10.67,13.5,13.0,9.5,10.5,11.25,11.2,13.0,14.5,13.33,9.0,11.5,14.0,10.0,17.0,atalanta
Gianni Rizzo,2000323580.0,18.0,12.33,15.0,13.75,9.5,12.5,8.33,13.25,13.75,10.5,12.5,11.12,11.9,13.83,13.75,13.83,9.0,10.0,11.75,7.0,12.0,atalanta
Pervis Estupiñán,86045976.0,9.0,12.67,10.0,13.0,13.5,13.33,12.33,13.0,13.0,12.5,13.5,10.0,12.6,12.67,15.25,13.67,16.0,12.0,13.5,9.0,13.0,atalanta
Tommaso Risaliti,2000198565.0,9.0,9.0,14.0,11.5,11.0,11.5,9.67,10.75,11.5,9.0,9.25,9.75,10.3,11.67,12.62,10.5,5.0,9.75,10.25,7.17,12.0,benevento
Amir Rrahmani,11023165.0,15.0,12.33,13.0,13.5,8.5,9.83,8.5,12.75,13.5,7.0,13.25,15.25,10.3,13.67,6.75,13.5,4.0,9.0,8.75,5.33,15.0,benevento
Enrico Del Prato,43252473.0,12.0,13.5,11.0,13.75,11.25,13.0,11.67,12.75,13.75,11.5,14.25,12.0,13.0,13.5,13.62,13.33,12.5,11.75,12.0,8.0,13.0,benevento
