Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Nicolas Balestracci,2000507375,0,1,0,1,0,0,1,0,0,0,0,0,0,0,arezzo
Diferdio Misidjan,37084985,0,1,0,1,1,0,1,0,0,0,0,0,1,0,arezzo
Giuseppe Rossetti,2000511011,0,0,1,1,0,0,0,0,0,0,0,0,0,0,arezzo
Carlo Schettino,2000567623,0,1,1,1,0,0,0,0,0,0,0,0,0,0,arezzo
Raoul Petretta,98041022,0,0,0,1,0,0,1,0,0,1,0,0,0,0,arezzo
Emil Andri Valdimarsson,2000355768,0,1,0,1,0,0,0,0,0,0,0,0,0,0,atalanta
Jacopo Lombardini,2000626005,0,0,1,1,0,0,0,0,0,0,0,0,0,0,atalanta
Gianni Rizzo,2000323580,0,0,1,1,0,0,0,0,0,0,0,0,0,0,atalanta
Pervis Estupiñán,86045976,0,0,0,1,0,0,1,0,0,1,0,0,1,0,atalanta
Tommaso Risaliti,2000198565,0,1,1,1,0,0,0,0,0,0,0,0,0,0,benevento
Amir Rrahmani,11023165,0,1,1,1,0,0,0,0,0,0,0,0,0,0,benevento
Enrico Del Prato,43252473,0,1,1,1,1,0,0,1,1,0,0,0,0,0,benevento
Lennart Czyborra,91166521,0,0,1,1,0,0,1,0,0,1,0,0,0,0,benevento
Jonathan Augustinsson,93051231,0,0,1,1,0,0,1,0,0,0,0,0,0,0,benevento
Giovanni Mosca,2000567186,0,1,1,1,0,1,0,0,0,0,0,0,0,0,bologna
Danilo Brizi,2000567640,0,0,0,1,1,0,0,1,0,0,0,0,0,0,bologna
Jacopo Besana,2000660239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bologna
Pablo García,67288495,0,0,0,1,0,0,1,0,0,1,0,0,1,0,bologna
Alessandro Buongiorno,43270682,0,0,1,1,0,0,0,0,0,0,0,0,0,0,bologna
Ibrahima Thiam,2000325354,0,1,1,1,0,0,0,0,0,0,0,0,0,0,fiorentina
Alfonso Pedraza,67212046,0,0,0,1,0,0,1,0,0,1,0,0,1,0,fiorentina
Nicola Improta,2000507382,0,0,1,1,0,0,1,0,0,0,0,0,0,0,fiorentina
Danilo Catalano,2000626665,0,0,1,1,0,0,0,0,0,0,0,0,0,0,fiorentina
