Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Vito Finetti,2000626436.0,11.0,12.5,11.0,12.0,10.0,12.67,7.0,12.33,arezzo
Francesco Oliva,2000512151.0,8.17,12.62,10.5,9.5,7.0,8.5,7.0,9.92,arezzo
Loris Sebert,2000025939.0,11.67,12.12,10.5,10.17,7.83,9.33,13.5,11.67,arezzo
Manolo Portanova,43297054.0,10.17,11.62,12.5,11.0,10.17,10.33,11.5,11.17,arezzo
Adam Maher,37012969.0,6.5,6.88,6.5,14.5,12.5,13.67,6.5,12.08,arezzo
Frane Križmanić,2000433152.0,13.33,12.25,12.75,10.0,8.67,10.67,7.5,13.92,arezzo
Pedro Pelágio,83259120.0,11.33,12.25,11.5,11.67,11.17,12.5,11.5,11.33,arezzo
Luka Bogdan,16149835.0,13.33,11.88,10.5,8.0,8.17,7.33,13.5,13.42,arezzo
Elidon Gega,2000189330.0,9.5,13.25,15.0,13.33,11.17,11.67,7.0,11.5,atalanta
Fabio De Santis,2000434022.0,6.83,13.88,11.5,14.0,9.67,13.67,6.5,11.0,atalanta
Gianluca Bettoni,2000189336.0,10.67,12.38,11.75,14.0,9.67,13.67,7.5,10.92,atalanta
Malo Gusto,49056280.0,13.0,14.25,13.0,11.67,9.5,12.67,12.5,13.17,atalanta
Matteo Pessina,43155796.0,11.83,14.0,13.0,13.67,13.5,13.33,12.0,14.58,atalanta
Luigi Cima,2000566953.0,12.33,12.62,9.75,9.0,7.67,10.5,13.75,13.0,atalanta
Sante Curto,2000566959.0,12.33,14.12,14.0,13.0,10.17,13.33,8.5,13.67,atalanta
Tanguy Nianzou,49048365.0,14.67,16.25,16.5,13.67,10.67,12.67,16.0,14.17,atalanta
Tommaso Pobega,43269242.0,14.67,15.0,14.0,12.67,11.67,12.0,14.0,14.0,atalanta
Antonio Buzzi,2000193933.0,11.67,13.75,11.0,9.0,6.17,7.33,14.0,12.17,benevento
Egidio Guidi,2000190821.0,12.5,15.25,13.0,9.0,8.17,9.67,14.5,13.5,benevento
Mario Liccardo,2000437227.0,12.17,15.75,13.5,10.0,8.5,14.17,10.5,15.0,benevento
Chancel Mbemba,18057323.0,14.0,9.38,9.25,10.0,9.0,11.0,11.0,14.75,benevento
Paolo Marinoni,2000569081.0,7.33,12.25,12.5,11.17,6.83,10.5,5.0,10.5,bologna
Giovanni Mosca,2000567186.0,12.17,13.5,11.0,9.0,6.33,7.83,10.5,11.25,bologna
Evaristo Santos,2000508915.0,13.0,14.25,13.5,16.0,12.0,14.67,10.0,14.67,bologna
Marco Brescianini,43318320.0,12.5,14.38,15.0,13.33,13.33,13.0,13.0,12.92,bologna
Abdelghafour Rahimi,2000325289.0,5.67,11.88,13.5,11.33,10.33,14.17,6.0,9.67,fiorentina
Marcão,19190440.0,14.0,12.25,11.0,13.67,9.67,13.0,13.5,14.17,fiorentina
Nicolò Rovella,43372892.0,13.0,14.0,13.0,14.33,11.67,13.33,8.0,12.83,fiorentina
Giovanni Groppi,2000507381.0,13.33,13.0,16.0,8.67,9.17,10.0,12.0,13.75,fiorentina
Ben Wilmot,29174249.0,14.33,14.0,12.25,11.17,9.83,11.67,14.0,14.75,fiorentina
Mario Staiano,2000328467.0,11.83,13.12,14.0,11.33,12.33,10.83,12.0,12.0,fiorentina
Ryan Gravenberch,37071197.0,11.0,15.25,14.5,16.0,14.67,15.67,15.5,14.5,inter
Teun Koopmeiners,37057982.0,13.33,15.75,13.0,13.0,11.0,13.0,12.0,15.0,inter
Carlos Soler,67196204.0,11.67,14.0,14.5,15.0,14.0,14.0,10.5,13.33,inter
Eduardo Camavinga,49056243.0,16.0,15.0,15.0,14.33,12.67,15.0,11.5,14.5,inter
Manuel Locatelli,43167354.0,14.0,14.0,13.5,15.67,12.67,14.67,12.5,15.17,inter
Duško Čikić,2000191147.0,14.33,16.5,15.0,12.33,10.67,11.67,13.5,14.33,inter
