Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Nicolas Balestracci,2000507375.0,10.0,11.0,12.0,7.67,3.0,8.0,8.0,12.0,arezzo
Lorenzo Libutti,43204023.0,12.0,10.88,11.25,12.33,9.83,10.33,10.0,12.08,arezzo
Diferdio Misidjan,37084985.0,10.33,12.25,14.25,10.17,9.5,10.33,7.0,10.75,arezzo
Loris Sebert,2000025939.0,11.67,12.12,10.5,10.17,7.83,9.33,13.5,11.67,arezzo
Carlo Schettino,2000567623.0,9.67,14.75,14.0,7.83,8.5,11.5,8.5,13.42,arezzo
Ulisse Bizzarri,2000566954.0,12.67,14.5,16.0,13.33,8.67,13.33,7.0,13.5,atalanta
Francisco Palacios,2000497737.0,8.0,14.0,16.5,11.17,10.0,11.0,8.5,11.25,atalanta
Emil Andri Valdimarsson,2000355768.0,12.0,16.38,17.5,15.83,11.17,16.0,9.5,15.75,atalanta
Malo Gusto,49056280.0,13.0,14.25,13.0,11.67,9.5,12.67,12.5,13.17,atalanta
Claudio Corti,2000506751.0,12.67,15.0,15.5,8.33,8.67,12.67,15.0,14.67,atalanta
Tommaso Risaliti,2000198565.0,12.67,10.88,14.0,9.83,6.83,10.0,11.5,9.92,benevento
Antonio Buzzi,2000193933.0,11.67,13.75,11.0,9.0,6.17,7.33,14.0,12.17,benevento
Carlos Rojas,2000561489.0,8.0,12.12,14.25,7.83,5.67,9.83,9.0,8.92,benevento
Raffaele Civita,2000437228.0,11.33,14.0,16.25,9.33,8.67,12.5,11.5,10.08,benevento
Claud Adjapong,43202413.0,12.33,12.25,15.5,11.67,10.0,11.33,11.5,12.17,benevento
Amir Rrahmani,11023165.0,14.67,6.62,5.25,7.0,7.17,7.67,14.0,13.92,benevento
Egidio Guidi,2000190821.0,12.5,15.25,13.0,9.0,8.17,9.67,14.5,13.5,benevento
Vasyl Lysenko,2000660045.0,14.33,12.5,15.0,10.17,8.5,9.17,13.5,14.5,benevento
Enrico Del Prato,43252473.0,13.0,12.5,13.5,12.67,11.0,11.67,11.5,13.33,benevento
Chancel Mbemba,18057323.0,14.0,9.38,9.25,10.0,9.0,11.0,11.0,14.75,benevento
Giovanni Mosca,2000567186.0,12.17,13.5,11.0,9.0,6.33,7.83,10.5,11.25,bologna
Vincenzo Savarese,2000567190.0,11.33,11.5,12.0,9.67,6.5,8.67,12.5,11.33,bologna
Umberto Lippo,2000435435.0,13.33,14.25,12.5,10.33,8.67,10.83,11.0,14.92,bologna
Claudio Cellamare,2000019160.0,11.33,14.88,16.25,10.33,9.33,11.0,8.0,12.75,bologna
Leone Corti,2000626452.0,15.33,13.38,12.75,9.5,9.0,8.17,11.25,13.0,bologna
Ibrahima Thiam,2000325354.0,11.33,12.62,12.25,8.67,8.5,9.33,12.0,12.25,fiorentina
Giovanni Groppi,2000507381.0,13.33,13.0,16.0,8.67,9.17,10.0,12.0,13.75,fiorentina
Stefano Ollanu,2000434791.0,9.67,13.12,12.0,9.83,9.0,13.17,11.0,14.58,fiorentina
Álvaro Odriozola,67199408.0,12.33,12.0,12.5,12.17,10.83,14.17,7.5,13.92,fiorentina
Kenedy,2000410526.0,11.33,17.0,17.0,15.0,11.67,13.33,10.5,15.67,inter
Nicolai Witt,2000322718.0,14.0,16.5,14.0,10.67,10.0,12.67,15.5,14.5,inter
Andrea Papetti,43425644.0,13.67,15.0,15.0,10.67,11.0,11.67,16.5,14.33,inter
Marco Alves,2000189590.0,16.0,17.0,15.5,11.67,11.0,13.0,11.5,16.0,inter
Luciano Puglisi,2000191663.0,15.0,16.75,16.0,13.67,11.0,14.33,14.0,15.33,inter
Eirik Haugland,2000555555.0,14.67,15.0,10.0,10.83,9.83,12.83,13.5,14.25,lazio
Riccardo Sottil,43270713.0,4.83,12.88,14.0,11.67,12.67,13.0,9.5,11.25,lazio
Anyelo Oropesa,2000606155.0,12.67,14.25,12.5,7.67,7.0,9.33,15.0,13.0,lazio
Josha Vagnoman,91184445.0,11.67,13.5,15.5,11.33,10.67,12.33,11.5,12.5,lazio
Gabriele Zappa,43272248.0,13.33,14.25,13.25,11.17,12.5,12.67,12.5,13.75,lazio
Claudio Forgione,2000434046.0,10.33,13.12,13.0,9.17,7.83,10.67,10.0,13.75,milan
Mikołaj Wolanski,2000512116.0,12.5,14.5,12.0,10.0,7.67,10.83,8.5,15.08,milan
Dinis Oliveira,2000434809.0,11.0,12.88,11.5,8.5,8.17,9.0,9.0,14.0,milan
Jan Bednarek,96047750.0,14.0,12.5,10.5,9.83,7.5,9.83,13.0,14.92,milan
Fikayo Tomori,28097980.0,13.33,14.0,16.5,12.0,9.33,11.67,13.5,14.67,milan
Egidio Guidi,2000190821.0,12.5,15.25,13.0,9.0,8.17,9.67,14.5,13.5,milan
Davide Calabria,43123020.0,14.67,12.75,13.5,9.33,11.33,12.0,8.0,14.5,milan
Alessandro Romanò,2000434040.0,15.33,14.88,15.0,12.83,10.0,10.67,11.5,16.25,milan
Fabinho,19183676.0,15.33,10.5,11.0,13.0,11.17,14.0,13.0,15.5,milan
Wilfried Singo,12078947.0,13.33,14.75,16.0,12.67,12.0,12.67,14.5,13.83,milan
Rui Quintanilha,2000567666.0,10.0,12.0,11.0,8.67,5.5,10.67,7.0,8.83,napoli
Agostino Santoni,2000193927.0,11.67,13.12,11.25,7.33,6.67,7.17,12.0,10.92,napoli
Carlos Peña,2000192897.0,12.33,13.75,15.0,10.67,9.0,10.33,8.5,12.17,napoli
Russel Abega,2000188792.0,14.33,13.25,13.5,7.67,7.33,6.67,14.5,13.0,napoli
Giovanni Di Lorenzo,43075156.0,14.0,10.0,9.5,10.33,12.67,11.0,12.0,13.83,napoli
Alê,2000369925.0,13.67,12.75,12.5,9.0,8.67,6.33,13.5,12.0,napoli
Patrick Anonam,2000194988.0,14.33,13.38,14.25,7.0,10.5,10.33,14.5,14.08,napoli
Fabio Romani,2000439764.0,14.33,12.5,10.0,8.0,9.17,7.67,12.0,13.58,parma
Alessandro Longoni,2000191664.0,14.67,13.25,12.0,10.83,6.5,11.17,11.5,11.25,parma
Mauro Coppolaro,43159454.0,12.67,13.75,12.0,9.0,9.67,10.0,13.0,13.17,parma
Jonas Larsen,2000325619.0,9.33,12.75,13.5,10.33,10.83,12.67,9.5,11.92,parma
Antonino Fradella,43393070.0,13.33,13.12,13.25,8.33,7.67,9.83,13.0,13.25,parma
Amir Murillo,80028885.0,12.83,5.25,10.0,4.33,0.0,7.67,13.5,7.08,parma
Emanuele Tassinari,2000434778.0,10.33,13.5,16.25,12.33,8.67,11.17,13.0,12.58,roma
Markos Bouroutzikas,2000232927.0,10.33,11.88,10.25,7.33,6.0,9.17,6.5,13.08,roma
Fabio Depaoli,43161628.0,11.67,14.0,14.25,12.83,9.83,12.33,6.5,13.25,roma
João Ramos,2000506993.0,12.67,15.62,13.5,10.0,8.5,10.5,14.5,14.5,roma
Rafael Brito,83243058.0,13.0,13.25,14.0,11.5,12.33,11.67,14.0,13.75,roma
Stefan Janek,2000508020.0,5.0,10.88,13.75,8.83,7.67,12.0,9.0,9.25,salernitana
Tommaso Bortolin,2000438266.0,11.33,12.75,11.0,10.33,8.5,6.33,7.5,15.0,salernitana
Colin Dagba,49034905.0,12.33,12.38,14.5,11.0,11.5,12.33,7.0,11.58,salernitana
Nicola Pardini,2000569296.0,12.83,12.38,9.5,5.5,7.17,7.17,14.75,10.67,salernitana
Héctor Bellerín,28066082.0,13.33,11.75,11.0,11.33,12.0,13.5,9.5,14.83,salernitana
Simone Massi,2000569290.0,11.33,13.5,11.0,9.0,6.5,8.33,12.0,13.58,salernitana
Fabrizio Di Benedetti,2000324218.0,14.33,13.75,13.0,10.17,9.67,9.33,9.5,14.42,salernitana
Mario Pavan,2000436518.0,12.67,14.12,14.5,8.17,8.17,9.0,13.0,13.08,salernitana
Nicola Mauri,2000512034.0,12.17,14.0,13.5,8.0,7.17,7.83,9.0,12.33,sampdoria
Edward Asamoah,2000193328.0,10.67,13.5,10.0,7.0,6.5,7.0,8.75,10.67,sampdoria
Marco Garofalo,2000190074.0,12.67,12.88,11.25,7.5,7.5,6.67,14.0,11.08,sampdoria
Nadir Zortea,43252462.0,11.67,13.0,13.5,11.67,11.0,11.67,9.5,12.17,sampdoria
Paolo Ghiglione,43140923.0,11.67,12.75,12.25,12.83,11.17,12.0,13.0,12.75,sampdoria
Jan Bednarek,96047750.0,14.0,12.5,10.5,9.83,7.5,9.83,13.0,14.92,sampdoria
Shurandy Sambo,37060947.0,13.67,14.5,13.0,12.17,10.5,12.0,9.5,13.42,sampdoria
Robert Gal,2000629194.0,11.67,14.25,13.5,9.67,9.67,11.33,14.0,14.17,sampdoria
Mattia Napoli,2000507848.0,14.67,13.25,10.5,6.33,7.83,7.5,12.0,12.25,sassuolo
Nicolò Brighi,2000192605.0,10.67,11.5,10.75,7.67,6.33,8.5,12.5,11.83,sassuolo
Raimondo Gadau,2000192601.0,6.67,14.12,15.25,9.67,8.83,9.0,9.5,10.75,sassuolo
Nicolò Armini,43373238.0,13.33,15.12,13.25,10.67,8.33,11.17,13.0,13.42,sassuolo
Emerson,19158043.0,12.67,10.75,10.0,13.0,11.33,13.33,8.5,12.83,sassuolo
Damiano Manzella,2000438268.0,14.33,14.62,12.5,9.83,9.17,11.33,9.5,13.92,sassuolo
Alessandro Alborghetti,2000566976.0,10.0,12.25,10.5,10.0,6.0,11.0,11.0,13.83,sassuolo
Umberto Lettieri,2000567821.0,14.33,15.25,14.0,10.33,9.0,10.33,14.5,13.33,sassuolo
Pol Lirola,67211095.0,11.0,12.62,13.25,11.67,9.67,12.83,10.0,12.25,sassuolo
André Lopes,2000509492.0,10.33,13.0,13.25,6.0,5.17,8.17,12.0,12.67,spal
Luca Stanga,43425977.0,14.0,12.0,11.5,9.17,4.83,7.83,10.5,11.58,spal
Adam Steele,2000187747.0,10.67,14.88,15.5,11.0,9.5,13.17,9.5,12.83,spal
Kiki Kouyaté,13186668.0,13.67,13.5,12.25,8.17,8.5,8.67,15.5,13.08,spal
Sodiq Bala,2000521262.0,11.67,12.88,12.25,7.83,6.0,9.83,13.25,12.5,spezia
Matteo Colombo,2000434039.0,10.67,11.62,10.0,6.83,7.5,8.33,10.5,12.58,spezia
Gracjan Sagan,2000197897.0,12.33,13.38,13.25,10.67,8.0,10.0,12.0,13.75,spezia
Alessio Marafioti,2000436508.0,8.33,13.5,12.5,9.0,8.17,11.5,11.5,10.92,spezia
Carlos Cuesta,76047487.0,12.67,12.12,12.5,10.33,11.5,10.67,10.5,13.08,spezia
Filip Braut,24065858.0,13.33,12.25,16.0,11.0,8.0,8.0,7.5,11.33,spezia
Kevin Rüegg,98041554.0,12.0,13.25,13.0,10.17,9.83,11.17,7.0,12.75,spezia
Raul Cannataro,2000506760.0,11.67,13.5,12.5,7.67,7.33,8.0,11.5,14.67,torino
Andrea Cerutti,2000626673.0,12.0,13.0,13.75,6.5,7.33,9.0,11.0,12.75,torino
Stefano Mengoli,2000569086.0,11.67,11.62,9.0,9.83,8.5,10.17,10.0,12.92,torino
Marco Di Mattia,2000191659.0,13.67,15.5,14.0,7.33,6.67,9.5,13.5,13.92,torino
Amar Dedic,16283629.0,14.0,13.38,15.5,10.67,9.83,12.0,12.5,12.25,torino
Lorenzo Gaetani,2000508210.0,9.67,11.0,10.0,5.83,3.67,9.0,8.0,9.67,udinese
Umberto Cambi,2000568672.0,10.0,11.0,11.25,6.0,3.67,7.17,7.75,11.5,udinese
Edoardo Gasparello,2000568421.0,13.67,15.0,12.0,10.67,7.67,7.67,15.5,13.67,udinese
Leo Greiml,16191211.0,14.0,14.38,14.25,10.67,9.0,10.33,14.0,13.92,udinese
Luca Campanile,2000065615.0,12.33,13.62,13.25,9.33,7.67,7.0,6.5,11.92,udinese
Bruno Méndez,78089395.0,14.33,13.75,13.0,9.67,10.17,11.0,13.5,13.83,udinese
Nicolas Năstase,2000507437.0,12.33,15.5,12.0,10.33,9.33,10.33,8.0,13.67,verona
Lorenzo Raimondo,2000199594.0,9.67,12.88,15.25,7.67,8.17,10.0,9.0,9.58,verona
Kaan Ayhan,91100534.0,13.33,11.12,11.0,11.33,10.5,10.67,12.5,13.25,verona
Giuseppe Pezzella,43161921.0,12.33,13.25,15.0,10.5,10.17,11.33,12.0,13.25,verona
Abubakar Chibueze,2000191834.0,3.5,11.12,14.0,9.17,9.33,8.5,9.5,9.75,verona
Rúben Vezo,55067158.0,13.0,9.0,9.5,9.33,8.67,9.33,12.5,12.67,verona
Valentin Rosier,50047466.0,12.67,11.12,13.0,13.67,11.5,12.33,7.5,13.42,verona
Thierry Correia,83111501.0,10.67,13.12,15.0,11.67,9.83,11.33,8.0,12.42,verona
Andrey Yago,2000369870.0,13.0,16.5,17.0,13.0,12.0,14.67,8.0,15.33,zebre
Mateu Morey,67258408.0,12.0,13.75,15.5,14.33,11.0,15.0,6.5,14.0,zebre
Merih Demiral,83176849.0,16.67,14.75,14.0,10.0,9.17,9.33,16.0,16.17,zebre
Achraf Hakimi,67228634.0,11.67,15.25,17.0,14.0,14.33,13.67,9.5,13.17,zebre
