Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Filippo Bertini,2000324892,0,0,0,0,0,0,0,1,1,0,1,0,0,0,arezzo
Ruben Bank,2000711214,0,0,0,0,0,0,0,1,0,0,1,0,0,1,arezzo
Marten Ortmann,2000503144,0,0,0,0,0,0,0,1,0,0,1,1,0,0,atalanta
Emanuel Vignato,43296186,0,0,0,0,0,0,0,1,0,0,1,1,1,0,atalanta
Giorgio Del Nero,2000569080,0,0,0,0,0,0,0,1,0,0,1,0,0,0,benevento
Carlos Rojas,2000561489,0,1,0,0,1,0,0,1,0,0,1,0,0,0,benevento
Fidel Blasco,2000573382,0,0,0,0,1,0,0,1,0,0,1,0,0,0,benevento
Raffaele Civita,2000437228,0,1,0,0,1,0,0,1,0,0,1,0,0,0,benevento
Claud Adjapong,43202413,0,1,0,0,1,0,0,1,0,0,0,0,0,0,benevento
Enrico Del Prato,43252473,0,1,1,1,1,0,0,1,1,0,0,0,0,0,benevento
Nicolò Trombino,2000324477,0,0,0,0,0,0,0,1,0,0,1,1,0,0,benevento
Amath N'Diaye,67213756,0,0,0,0,0,0,0,1,0,0,1,1,1,1,benevento
Cristian Pavón,14083972,0,0,0,0,0,0,0,1,0,1,1,0,1,1,benevento
Arnór Daði Grétarsson,2000357428,0,0,0,0,0,0,0,1,0,0,1,0,0,0,bologna
Guglielmo Bosi,2000327294,0,0,0,0,0,0,0,1,0,0,1,0,0,0,bologna
Michael Brugaletta,2000626450,0,0,0,0,0,0,0,1,1,0,0,1,0,0,bologna
Danilo Brizi,2000567640,0,0,0,1,1,0,0,1,0,0,0,0,0,0,bologna
Emir Lilaj,2000434777,0,0,0,0,0,0,0,1,0,0,1,1,1,1,bologna
Michele Testi,2000507005,0,0,0,0,0,0,0,1,0,0,1,0,0,1,bologna
Agustín Urzi,14219443,0,0,0,0,0,0,0,1,0,1,1,0,1,0,bologna
Adriano Lisboa,2000189589,0,0,0,0,0,0,0,1,1,0,0,1,0,0,fiorentina
Gonçalo Guedes,55041710,0,0,0,0,0,0,0,1,0,1,1,1,1,1,fiorentina
Calvin Stengs,37059574,0,0,0,0,0,0,0,1,1,0,1,1,1,0,fiorentina
Marcus Edwards,28106878,0,0,0,0,0,0,0,1,1,0,1,1,1,0,fiorentina
Rasmus Jönsson,2000397710,0,0,0,0,0,0,0,1,1,0,1,1,0,0,inter
Olexandr Zinchenko,71081391,0,0,0,1,0,0,1,1,1,1,1,1,1,0,inter
Carlos Soler,67196204,0,0,0,0,1,1,0,1,1,0,1,1,1,0,inter
Duško Čikić,2000191147,0,0,1,0,0,1,0,1,1,0,0,0,0,0,inter
Nico Williams,67276230,0,0,0,0,0,0,0,1,0,1,1,0,1,1,inter
Juan Guerra,2000511832,0,0,0,0,0,1,0,1,1,0,1,1,0,0,inter
Juan Carlos,2000192885,0,0,0,0,0,0,0,1,0,0,1,1,0,1,inter
Stavros Kallitsounakis,2000232881,0,0,0,0,0,0,0,1,1,0,1,1,1,0,lazio
Raniero Cini,2000567637,0,0,0,0,0,0,0,1,0,0,1,0,1,0,lazio
Miel Devos,2000199510,0,0,0,0,0,0,0,1,1,0,0,1,0,1,lazio
Tahith Chong,37058361,0,0,0,0,0,0,0,1,0,0,1,1,1,1,lazio
Kevin De Bruyne,18004457,0,0,0,0,0,1,0,1,1,1,1,1,0,0,lazio
Riccardo Sottil,43270713,0,1,0,0,1,0,0,1,0,1,1,0,1,1,lazio
Gustavo Fernández,2000539166,0,0,0,0,0,0,0,1,1,0,0,1,0,0,lazio
Ferran Torres,89056845,0,0,0,0,0,0,0,1,0,0,1,0,1,1,lazio
Christopher Nkunku,85140301,0,0,0,0,0,0,0,1,1,1,0,1,1,0,lazio
Mohamed Ihattaren,37073834,0,0,0,0,0,0,0,1,1,1,1,1,1,0,lazio
Gabriele Zappa,43272248,0,1,1,0,1,0,0,1,0,0,0,0,0,0,lazio
Riccardo Gozzi,2000506776,0,0,0,0,0,0,0,1,1,0,1,1,0,0,milan
Houssin Diouri,2000506761,0,0,0,0,0,0,0,1,1,0,1,0,0,0,milan
Kenan Mehic,2000506137,0,0,0,0,0,0,0,1,0,0,1,0,0,0,milan
Alessandro Bertini,2000190822,0,0,0,0,0,0,0,1,1,0,1,1,0,0,milan
Mateus Fernandes,83320124,0,0,0,0,0,0,0,1,1,0,0,1,0,0,milan
Oliveira,2000567177,0,0,0,0,0,0,0,1,0,0,1,0,0,1,milan
Selahattin Erdoğan,2000512814,0,0,0,0,0,0,0,1,0,0,1,0,0,0,milan
Lisandru Tramoni,49056370,0,0,0,0,0,0,0,1,0,0,1,0,1,0,milan
Rui Quintanilha,2000567666,0,1,0,1,1,1,0,1,0,0,0,0,0,0,napoli
Jaroslav Rusnak,2000434077,0,0,0,0,0,0,0,1,0,0,1,1,0,1,napoli
Maurizio Tagliani,2000434020,0,0,0,0,0,0,0,1,0,0,1,0,0,0,napoli
Giovanni Di Lorenzo,43075156,0,1,1,1,1,1,1,1,0,0,0,0,0,0,napoli
Federico Della Torre,2000649129,0,0,0,0,0,0,0,1,0,0,1,0,0,1,napoli
Giovanni Piva,2000325053,0,0,0,0,0,0,0,1,0,0,1,0,0,0,parma
Tomas Suslov,37076659,0,0,0,0,0,0,0,1,1,0,1,1,1,1,parma
Jesús Castillejo,2000569085,0,0,0,0,0,0,0,1,0,0,1,0,0,1,parma
Nuno Garcia,2000567861,0,0,0,0,0,0,0,1,0,0,1,1,0,0,parma
Marat Shadrin,2000232973,0,0,0,0,0,0,0,1,0,0,1,0,0,0,roma
Branko Kovačec-Buinac,2000436681,0,0,0,0,0,0,0,1,0,0,1,0,0,0,roma
Fabio Depaoli,43161628,0,1,0,0,1,0,0,1,0,0,0,0,0,0,roma
Giammarco Solimina,2000506991,0,0,1,0,0,1,0,1,1,0,0,0,0,0,roma
Massimo D'Andrea,2000566966,0,0,0,0,0,0,0,1,1,0,1,1,0,0,roma
Christian Pulisic,92074020,0,0,0,0,0,0,0,1,0,1,1,1,1,0,roma
Eduardo Montebugnoli,2000511208,0,0,0,0,0,0,0,1,1,0,0,1,0,0,salernitana
Marco Lombardi,2000509497,0,0,0,0,0,0,0,1,0,0,1,1,1,1,salernitana
Stefan Janek,2000508020,0,1,0,0,0,0,0,1,0,0,1,0,0,0,salernitana
Rémy Bühler,2000434866,0,0,0,0,0,0,0,1,1,0,1,0,0,0,salernitana
Elia Marra,2000199606,0,0,0,0,0,0,0,1,1,0,0,1,0,0,salernitana
Thomas Pappalardo,2000189557,0,0,0,0,0,0,0,1,1,0,0,1,0,0,salernitana
Romano Petrelli,2000191146,0,0,0,0,0,0,0,1,1,0,1,0,0,0,salernitana
Stefan Weiss,2000290992,0,0,0,0,0,0,0,1,0,0,1,1,0,1,salernitana
Enrique Lago,2000491309,0,0,0,0,1,0,0,1,0,0,1,0,0,0,salernitana
Jakub Jankto,43207792,0,0,0,0,0,0,0,1,1,1,1,0,1,0,salernitana
Loris Pane,2000512504,0,0,0,0,0,0,0,1,0,0,1,0,0,1,sampdoria
Gabriele Casagrande,2000514039,0,0,0,0,0,0,0,1,0,0,1,1,0,0,sampdoria
Nadir Zortea,43252462,0,1,0,0,1,0,0,1,0,0,1,0,0,0,sampdoria
Paolo Ghiglione,43140923,0,1,0,0,1,0,0,1,0,0,1,0,0,0,sampdoria
Marco Asensio,67197125,0,0,0,0,0,0,0,1,1,1,1,1,1,0,sampdoria
Oussama Idrissi,37052727,0,0,0,0,0,0,0,1,1,1,1,1,1,0,sampdoria
Christian Fogelblad,2000397952,0,0,0,0,0,0,0,1,1,0,1,0,0,0,sampdoria
Ola Brynhildsen,53125145,0,0,0,0,0,0,0,1,0,1,1,0,1,0,sampdoria
Gianluca Gaetano,43317758,0,0,0,0,0,0,0,1,1,1,1,1,1,1,sampdoria
Shurandy Sambo,37060947,0,1,1,0,1,0,0,1,0,0,0,0,0,0,sampdoria
Marco Saporito,2000507393,0,0,0,0,0,0,0,1,1,1,0,0,0,0,sassuolo
Gregorio Poggi,2000434780,0,0,0,0,0,0,0,1,1,1,1,0,0,0,sassuolo
Sávio,2000011972,0,0,0,0,0,0,0,1,0,0,1,1,1,1,sassuolo
Vincenzo Puccinelli,2000192602,0,0,0,0,1,0,0,1,0,0,1,0,0,0,sassuolo
Andrea Chiappetta,2000567823,0,0,0,0,0,0,0,1,0,0,1,0,0,1,sassuolo
Rodrigo Gomes,83333463,0,0,0,0,0,0,0,1,0,0,1,0,1,0,sassuolo
Nahitan Nández,78067241,0,0,0,0,1,1,0,1,1,0,1,0,0,0,sassuolo
Pol Lirola,67211095,0,1,0,1,1,0,0,1,0,0,0,0,0,0,sassuolo
Georgi Tunjov,47070304,0,0,0,0,0,1,0,1,1,1,1,1,0,0,spal
Julien Pfeiffer,2000192363,0,0,0,0,0,0,0,1,0,1,1,0,1,0,spal
Anouar Gharbi,2000565029,0,0,1,0,0,1,0,1,1,0,0,0,0,0,spal
Daniele Nobile,2000569465,0,0,0,0,0,0,0,1,0,0,1,0,0,0,spal
Rossano Frisari,2000509488,0,0,1,0,0,1,0,1,1,0,0,0,0,0,spal
Matt Baker,2000439460,0,0,0,0,0,0,0,1,0,0,1,1,1,1,spal
Felipe Vergara,2000415530,0,0,0,0,0,0,0,1,0,0,1,0,0,0,spal
Erinson Ramírez,77048797,0,0,0,0,0,0,0,1,0,0,1,1,1,0,spezia
Adam Oudjani,49041403,0,0,0,0,0,0,0,1,0,0,1,0,1,0,spezia
Orri Steinn Óskarsson,39062838,0,0,0,0,0,0,0,1,0,0,1,0,1,1,spezia
Dane Ricciuto,2000431771,0,0,0,0,0,0,0,1,1,0,1,1,0,0,spezia
João Teixeira,2000508042,0,0,0,0,0,0,0,1,1,0,1,1,0,0,torino
Giannis Koromilas,2000234253,0,0,0,0,0,0,0,1,1,1,1,1,1,0,torino
Eneko Pascual,2000193396,0,0,0,0,1,0,0,1,1,0,1,0,1,0,torino
Tim O'Donnell,2000436270,0,0,0,0,0,0,0,1,0,0,1,1,0,1,torino
Michael Olise,29221846,0,0,0,0,0,0,0,1,1,0,1,1,1,0,torino
