Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Vito Finetti,2000626436.0,9.0,12.33,5.0,12.5,15.0,9.67,14.0,11.0,12.5,12.0,12.5,11.5,10.6,11.33,11.75,11.67,11.0,17.0,13.5,9.67,13.0,arezzo
Marco Cuneo,2000572664.0,7.5,5.67,7.5,4.25,11.5,4.67,10.5,7.0,4.25,11.25,5.5,10.75,6.2,2.83,12.12,4.67,7.0,10.5,8.0,7.17,0.0,arezzo
Francesco Oliva,2000512151.0,9.5,10.0,4.5,9.5,9.25,9.33,9.17,13.0,9.5,8.75,6.75,11.75,10.0,8.5,12.0,11.33,5.0,11.5,13.0,8.0,9.0,arezzo
Alessandro Ottaviano,2000512150.0,14.0,8.67,9.0,10.0,10.5,9.33,8.33,8.5,10.0,10.5,10.0,11.5,9.0,9.33,11.0,8.67,9.0,9.5,11.0,7.0,12.0,arezzo
Nicolas Balestracci,2000507375.0,7.0,10.33,9.0,7.0,10.0,12.33,8.0,14.5,7.0,9.0,7.5,10.25,11.4,8.0,11.5,13.33,5.0,10.0,10.0,7.0,10.0,arezzo
Łukasz Łęgowski,2000055738.0,12.0,6.0,2.0,7.5,3.25,6.67,6.17,9.0,7.5,2.5,3.5,8.0,6.4,5.33,10.25,8.0,2.0,6.75,7.0,2.67,3.0,arezzo
Mateusz Kochalski,96115206.0,18.5,8.67,8.0,9.5,9.5,9.67,7.83,11.5,9.5,6.5,11.5,11.0,8.8,8.0,10.75,11.33,5.0,10.5,12.0,6.0,2.5,arezzo
Lorenzo Libutti,43204023.0,11.0,12.67,9.0,13.0,10.5,11.17,11.17,11.25,13.0,9.5,12.75,12.5,11.9,12.33,11.0,11.5,10.0,10.5,10.75,6.83,13.0,arezzo
Diferdio Misidjan,37084985.0,7.0,10.5,7.0,11.0,9.75,10.0,8.0,9.5,11.0,10.0,12.0,11.0,10.2,10.67,13.25,9.83,12.5,8.75,10.0,8.33,10.0,arezzo
Fabiano De Nadai,2000573667.0,12.0,11.17,8.5,9.0,12.0,10.67,9.5,10.0,9.0,12.0,9.75,11.25,10.6,8.67,11.0,10.83,11.5,11.0,14.5,6.17,9.5,arezzo
Francesco Sibilia,2000512153.0,6.0,8.83,8.0,8.5,11.0,9.67,10.5,7.75,8.5,12.5,8.25,11.88,9.0,6.67,13.0,8.67,9.5,11.25,11.5,8.17,5.0,arezzo
Giuseppe Rossetti,2000511011.0,13.5,13.33,11.5,10.5,7.75,9.83,7.0,13.75,10.5,7.5,11.5,10.0,11.3,11.17,12.5,13.5,6.0,7.5,12.0,6.17,12.0,arezzo
Corrado Redaelli,2000507385.0,11.5,11.5,9.5,9.5,15.5,12.67,11.67,12.25,9.5,14.0,11.0,9.0,12.1,8.17,15.5,12.17,11.0,12.5,13.25,9.5,6.0,arezzo
Filippo Bertini,2000324892.0,15.0,8.33,6.0,7.5,12.0,9.33,11.33,8.0,7.5,10.0,6.0,13.0,8.8,6.0,14.25,8.33,8.0,12.5,13.5,7.0,4.0,arezzo
Aniello Zampella,2000199610.0,15.0,11.17,14.0,9.75,11.75,11.33,9.17,9.75,9.75,9.0,10.25,10.62,11.0,7.33,11.62,10.67,9.5,10.0,14.75,9.67,5.0,arezzo
Loris Sebert,2000025939.0,15.0,10.5,12.0,9.25,10.25,11.0,10.67,11.0,9.25,9.25,11.0,11.75,10.6,10.5,11.25,11.17,9.5,11.0,11.5,7.83,12.0,arezzo
Giordano Rossi,2000021846.0,8.0,10.83,6.5,6.5,14.75,10.33,11.33,10.75,6.5,11.5,6.5,12.12,10.8,7.0,14.12,10.33,9.5,15.25,10.5,10.5,8.0,arezzo
Diego Zuppel,43426148.0,16.0,10.17,13.0,12.0,10.0,9.67,9.67,12.25,12.0,9.25,11.75,12.38,10.0,9.33,12.25,11.33,11.5,10.5,13.75,10.67,9.0,arezzo
Manolo Portanova,43297054.0,14.0,13.0,9.0,10.0,10.5,10.83,9.67,12.25,10.0,10.0,9.5,11.0,11.9,9.17,11.62,12.17,12.0,10.0,11.75,9.33,12.5,arezzo
Adam Maher,37012969.0,7.0,13.33,6.0,11.25,14.5,12.17,14.33,10.75,11.25,13.0,11.75,12.25,12.5,8.67,7.88,11.83,12.0,15.25,7.25,11.5,8.5,arezzo
Carlo Schettino,2000567623.0,10.0,10.33,7.0,8.75,11.25,10.5,9.0,12.0,8.75,12.5,13.0,15.75,10.3,9.5,15.12,11.67,11.0,10.0,12.75,8.0,11.0,arezzo
Daan Reiziger,37071194.0,11.0,10.67,2.5,10.0,9.0,8.33,7.67,9.75,10.0,4.25,11.0,9.88,9.6,7.67,14.25,9.5,3.0,10.0,9.25,3.67,3.5,arezzo
Frane Križmanić,2000433152.0,7.0,10.83,8.0,12.75,11.25,11.33,9.0,12.75,12.75,10.5,12.75,12.88,11.0,12.83,12.5,12.33,7.5,11.75,11.5,10.17,13.0,arezzo
Filip Vasko,43322583.0,16.0,11.0,13.0,10.25,9.0,10.5,6.0,16.0,10.25,6.5,9.5,13.75,10.9,11.5,12.0,14.0,9.0,8.0,10.5,5.67,15.0,arezzo
Raoul Petretta,98041022.0,7.0,11.67,9.0,12.5,12.0,10.0,11.17,12.5,12.5,10.75,13.0,11.38,10.6,12.67,11.62,12.33,11.5,12.0,10.5,8.67,12.0,arezzo
Pedro Pelágio,83259120.0,13.0,11.33,10.0,11.75,12.75,11.5,11.83,11.75,11.75,12.75,11.75,11.62,11.5,11.17,12.0,11.5,11.0,12.75,12.5,11.83,12.0,arezzo
Samuele Bonaldo,2000325145.0,13.0,9.17,6.0,8.5,12.0,12.0,12.33,11.0,8.5,14.25,10.0,10.0,10.8,8.5,14.75,10.5,12.5,14.0,12.25,10.0,5.0,arezzo
Emiliano Sacco,2000324227.0,9.0,11.67,7.0,9.25,12.5,11.5,12.5,9.75,9.25,12.5,11.25,10.25,11.3,7.67,15.38,10.83,9.0,13.0,12.75,10.67,7.5,arezzo
Dario Manicone,2000323773.0,16.0,9.5,9.0,9.0,12.5,11.33,10.0,8.0,9.0,11.25,11.0,9.5,10.2,7.83,15.5,9.17,13.5,10.0,14.25,10.67,6.0,arezzo
Näis Djouahra,49037903.0,6.0,9.33,6.0,12.5,12.0,11.67,12.83,10.5,12.5,13.0,9.75,11.5,10.8,10.83,13.25,10.0,10.0,12.5,12.0,10.0,5.5,arezzo
Yari Diamanti,2000572662.0,13.0,12.67,8.0,8.5,11.0,13.33,12.0,12.0,8.5,10.5,11.0,13.25,13.0,8.0,13.25,12.33,13.0,11.5,12.0,10.0,6.0,arezzo
Ruben Bank,2000711214.0,15.0,10.33,6.0,9.0,11.5,10.33,13.67,9.5,9.0,13.0,11.0,10.5,10.2,7.33,15.5,10.0,10.0,13.0,12.5,9.67,4.0,arezzo
Luka Bogdan,16149835.0,14.0,12.17,13.0,12.75,9.75,9.33,8.83,13.75,12.75,6.5,12.25,14.75,10.6,13.17,11.5,13.0,6.5,10.25,13.25,8.17,13.0,arezzo
Noah Loosli,98034469.0,12.0,10.67,14.0,12.0,9.25,10.83,7.83,12.0,12.0,8.25,12.0,12.12,10.5,12.0,11.25,12.0,9.0,9.75,14.0,7.33,12.0,arezzo
Ulisse Bizzarri,2000566954.0,4.0,14.0,10.0,10.0,14.5,15.33,13.67,14.5,10.0,13.5,12.5,10.75,14.4,11.33,15.25,15.0,12.0,14.5,13.0,9.67,13.0,atalanta
Elidon Gega,2000189330.0,6.0,12.17,8.0,15.0,14.25,13.0,12.5,12.75,15.0,11.0,12.25,12.25,12.8,12.33,15.0,12.33,9.5,14.25,14.75,11.67,8.0,atalanta
Luigi Braga,2000506750.0,15.0,8.83,10.0,10.5,9.75,9.0,7.33,8.0,10.5,8.0,11.0,8.25,8.2,11.0,13.12,9.5,7.5,10.0,13.0,6.0,12.0,atalanta
Marten Ortmann,2000503144.0,5.0,15.67,8.0,11.0,16.0,12.67,12.33,14.5,11.0,15.5,12.0,12.0,14.2,9.67,14.25,14.33,15.0,13.5,11.0,13.0,7.0,atalanta
Francisco Palacios,2000497737.0,9.0,12.83,8.0,9.75,11.25,11.0,11.17,14.25,9.75,11.5,11.25,9.38,12.2,9.17,15.62,13.0,13.5,12.0,12.5,8.33,8.0,atalanta
Alessandro Granelli,2000435799.0,11.0,12.67,9.0,11.0,15.25,14.0,13.17,15.5,11.0,13.75,9.75,11.5,14.0,9.83,13.0,13.67,13.0,16.0,12.0,13.0,7.5,atalanta
Giacomo Cobianchi,2000434023.0,9.0,13.17,13.0,13.5,17.75,13.33,14.5,13.25,13.5,16.0,13.75,12.62,13.4,10.67,13.5,13.0,15.5,16.75,16.75,14.83,4.0,atalanta
Fabio De Santis,2000434022.0,7.0,14.67,6.0,6.5,15.0,13.5,12.0,13.75,6.5,13.5,8.5,8.75,14.1,6.83,13.12,13.83,13.0,14.5,14.25,11.83,8.5,atalanta
Giorgio Addessi,2000434016.0,13.0,12.17,14.0,13.0,14.75,14.0,11.5,12.25,13.0,14.5,11.75,13.88,12.8,9.67,13.5,13.0,12.5,13.25,13.75,14.83,4.0,atalanta
Mario Miola,2000273723.0,8.0,8.83,4.0,11.0,12.5,13.33,11.0,11.0,11.0,13.75,12.0,11.5,11.4,9.5,15.0,10.5,14.5,13.0,15.25,12.5,9.0,atalanta
Alexandros Goublias,2000234468.0,5.0,15.33,5.0,8.5,15.0,14.5,12.67,15.25,8.5,16.5,11.0,11.25,15.1,7.83,14.62,14.83,15.0,14.5,10.25,11.33,7.5,atalanta
Gianluca Bettoni,2000189336.0,7.5,12.0,7.5,11.0,15.0,14.33,12.33,11.5,11.0,13.5,11.5,9.5,12.8,10.17,12.0,12.67,10.0,16.0,11.25,10.83,13.0,atalanta
Yannick Ako,2000186992.0,5.0,9.67,12.0,9.5,13.5,12.67,14.0,10.0,9.5,14.5,8.75,10.25,11.2,7.5,14.0,10.33,12.0,13.5,12.5,11.0,4.0,atalanta
Sebastián Vázquez,2000180227.0,15.0,12.17,12.0,11.75,6.75,9.33,8.0,11.75,11.75,6.0,12.25,9.25,10.4,11.83,14.12,12.0,10.5,7.25,15.0,4.33,16.0,atalanta
Luca Cellino,2000566956.0,12.0,12.17,9.0,6.0,10.5,12.17,9.67,11.0,6.0,14.25,9.0,11.12,12.1,6.67,13.38,11.5,11.5,10.75,9.0,9.0,7.0,atalanta
Oscar Barreto,2000541646.0,15.0,14.0,13.0,10.5,16.0,13.0,13.33,13.0,10.5,16.5,11.5,11.5,13.6,9.67,17.25,13.0,14.0,15.5,15.0,13.33,6.0,atalanta
Emil Andri Valdimarsson,2000355768.0,9.0,15.33,10.0,13.25,16.5,16.83,13.0,16.0,13.25,16.0,14.0,14.25,16.1,12.5,17.62,16.0,14.0,16.0,15.0,11.67,11.0,atalanta
Dušan Milovac,2000211178.0,13.0,14.0,9.0,9.5,14.5,12.33,12.33,14.5,9.5,16.5,11.0,11.25,13.2,7.33,18.0,14.0,12.0,13.0,15.5,11.33,6.0,atalanta
Malo Gusto,49056280.0,15.0,13.67,10.0,13.5,13.5,12.33,12.33,14.0,13.5,12.5,12.5,12.75,12.8,13.33,13.25,14.0,11.0,13.5,13.5,8.83,12.0,atalanta
Emanuel Vignato,43296186.0,6.0,14.67,8.0,12.0,17.0,16.0,15.0,13.0,12.0,16.5,13.5,12.0,15.2,10.33,16.0,14.0,16.0,15.0,13.5,13.67,5.0,atalanta
Matteo Pessina,43155796.0,13.0,14.33,11.0,12.25,14.5,14.33,14.0,15.0,12.25,13.0,13.0,15.0,14.2,11.67,14.0,15.0,16.0,15.0,13.0,12.67,13.0,atalanta
Kasper Dolberg,27102380.0,13.0,11.83,12.0,11.5,14.0,12.33,12.33,11.25,11.5,12.75,12.75,11.12,12.2,8.33,13.0,11.33,13.5,13.5,11.75,14.33,3.0,atalanta
Filippo D'Alena,2000323504.0,15.0,10.83,2.5,15.0,8.5,7.83,7.5,9.25,15.0,4.25,12.75,9.88,8.7,10.67,13.0,10.33,1.0,9.25,13.5,4.17,2.5,atalanta
Jacopo Lombardini,2000626005.0,15.0,11.67,12.0,13.0,12.0,11.33,10.67,13.5,13.0,9.5,10.5,11.25,11.2,13.0,14.5,13.33,9.0,11.5,14.0,10.0,17.0,atalanta
Moussa Dembélé,85104422.0,14.0,12.33,15.0,12.0,15.0,13.33,12.67,12.5,12.0,14.5,14.0,13.0,12.6,9.0,15.5,13.0,17.0,14.5,16.0,14.67,3.0,atalanta
Luigi Cima,2000566953.0,16.0,10.17,11.5,9.5,12.25,12.17,10.17,13.5,9.5,10.75,11.0,12.38,11.2,11.0,10.12,12.67,8.0,11.75,11.0,11.67,12.0,atalanta
Gianni Rizzo,2000323580.0,18.0,12.33,15.0,13.75,9.5,12.5,8.33,13.25,13.75,10.5,12.5,11.12,11.9,13.83,13.75,13.83,9.0,10.0,11.75,7.0,12.0,atalanta
Pierluigi Gollini,43090278.0,16.0,12.5,4.0,15.0,11.5,10.83,9.0,14.5,15.0,6.75,14.0,14.12,11.1,10.5,11.38,14.5,2.5,12.0,13.25,5.67,2.0,atalanta
Wiliam Ávalos,2000564454.0,5.0,13.0,12.0,12.5,15.5,13.67,12.33,13.0,12.5,15.5,14.0,12.5,13.2,11.67,16.0,13.33,15.0,13.5,11.5,12.33,4.0,atalanta
Danilo,2000410771.0,9.0,13.0,13.0,11.5,16.5,14.33,14.0,12.5,11.5,15.0,12.5,11.25,13.4,10.33,15.5,13.33,15.0,15.5,13.0,13.0,12.0,atalanta
Claudio Corti,2000506751.0,17.0,11.67,13.0,11.5,13.5,12.0,11.67,14.5,11.5,13.0,13.0,14.25,11.6,12.33,15.25,14.0,8.0,12.0,13.5,10.0,12.0,atalanta
Pervis Estupiñán,86045976.0,9.0,12.67,10.0,13.0,13.5,13.33,12.33,13.0,13.0,12.5,13.5,10.0,12.6,12.67,15.25,13.67,16.0,12.0,13.5,9.0,13.0,atalanta
Sante Curto,2000566959.0,8.0,15.0,9.0,13.25,15.0,13.0,13.5,16.5,13.25,13.5,13.75,12.62,14.0,12.33,13.38,15.67,11.0,16.5,13.75,10.83,15.0,atalanta
Tanguy Nianzou,49048365.0,16.0,14.0,16.0,14.5,12.5,13.33,13.0,13.5,14.5,12.5,13.5,14.25,13.6,14.67,16.25,13.67,10.0,13.0,17.5,9.33,14.0,atalanta
Tommaso Pobega,43269242.0,16.0,14.0,12.0,14.5,12.0,12.33,13.67,14.0,14.5,12.0,12.5,14.0,12.8,14.0,14.5,14.33,11.0,14.5,15.0,11.67,15.0,atalanta
Ludovico Gelmi,43372276.0,16.0,7.5,2.0,10.0,4.5,7.5,6.5,9.75,10.0,2.75,8.75,11.12,7.5,7.33,10.0,9.0,2.0,7.75,9.5,2.83,3.0,atalanta
Mario Sacchi,2000628256.0,12.0,14.67,6.0,12.5,15.5,14.33,13.0,14.5,12.5,13.0,11.5,11.0,14.4,11.0,15.75,14.67,17.0,14.5,16.0,14.33,7.0,benevento
Giorgio Del Nero,2000569080.0,4.0,13.0,6.0,6.75,8.25,8.83,11.5,11.25,6.75,10.75,7.75,11.5,11.1,5.33,13.75,10.83,13.0,11.75,9.75,6.0,6.0,benevento
Ding Lei,2000566986.0,8.0,13.67,8.0,7.5,12.5,12.0,9.67,16.5,7.5,11.0,9.5,12.75,13.4,6.0,11.0,14.33,10.0,12.0,10.0,8.33,6.0,benevento
Francesco Boron,2000510618.0,11.0,7.5,8.0,8.75,15.5,10.17,13.0,12.0,8.75,15.25,7.5,9.75,9.5,6.83,11.75,9.83,7.5,15.0,11.25,10.5,2.0,benevento
Alessandro Cudicio,2000436500.0,4.0,10.67,7.0,5.5,13.0,11.83,10.67,11.25,5.5,14.0,8.5,11.0,11.3,5.5,14.62,11.17,13.0,12.5,9.75,8.5,7.5,benevento
