Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Vito Finetti,2000626436.0,9.0,12.33,5.0,12.5,15.0,9.67,14.0,11.0,12.5,12.0,12.5,11.5,10.6,11.33,11.75,11.67,11.0,17.0,13.5,9.67,13.0
Marco Cuneo,2000572664.0,7.5,5.67,7.5,4.25,11.5,4.67,10.5,7.0,4.25,11.25,5.5,10.75,6.2,2.83,12.12,4.67,7.0,10.5,8.0,7.17,0.0
Francesco Oliva,2000512151.0,9.5,10.0,4.5,9.5,9.25,9.33,9.17,13.0,9.5,8.75,6.75,11.75,10.0,8.5,12.0,11.33,5.0,11.5,13.0,8.0,9.0
Alessandro Ottaviano,2000512150.0,14.0,8.67,9.0,10.0,10.5,9.33,8.33,8.5,10.0,10.5,10.0,11.5,9.0,9.33,11.0,8.67,9.0,9.5,11.0,7.0,12.0
Nicolas Balestracci,2000507375.0,7.0,10.33,9.0,7.0,10.0,12.33,8.0,14.5,7.0,9.0,7.5,10.25,11.4,8.0,11.5,13.33,5.0,10.0,10.0,7.0,10.0
Łukasz Łęgowski,2000055738.0,12.0,6.0,2.0,7.5,3.25,6.67,6.17,9.0,7.5,2.5,3.5,8.0,6.4,5.33,10.25,8.0,2.0,6.75,7.0,2.67,3.0
Mateusz Kochalski,96115206.0,18.5,8.67,8.0,9.5,9.5,9.67,7.83,11.5,9.5,6.5,11.5,11.0,8.8,8.0,10.75,11.33,5.0,10.5,12.0,6.0,2.5
Lorenzo Libutti,43204023.0,11.0,12.67,9.0,13.0,10.5,11.17,11.17,11.25,13.0,9.5,12.75,12.5,11.9,12.33,11.0,11.5,10.0,10.5,10.75,6.83,13.0
Diferdio Misidjan,37084985.0,7.0,10.5,7.0,11.0,9.75,10.0,8.0,9.5,11.0,10.0,12.0,11.0,10.2,10.67,13.25,9.83,12.5,8.75,10.0,8.33,10.0
Fabiano De Nadai,2000573667.0,12.0,11.17,8.5,9.0,12.0,10.67,9.5,10.0,9.0,12.0,9.75,11.25,10.6,8.67,11.0,10.83,11.5,11.0,14.5,6.17,9.5
Francesco Sibilia,2000512153.0,6.0,8.83,8.0,8.5,11.0,9.67,10.5,7.75,8.5,12.5,8.25,11.88,9.0,6.67,13.0,8.67,9.5,11.25,11.5,8.17,5.0
Giuseppe Rossetti,2000511011.0,13.5,13.33,11.5,10.5,7.75,9.83,7.0,13.75,10.5,7.5,11.5,10.0,11.3,11.17,12.5,13.5,6.0,7.5,12.0,6.17,12.0
Corrado Redaelli,2000507385.0,11.5,11.5,9.5,9.5,15.5,12.67,11.67,12.25,9.5,14.0,11.0,9.0,12.1,8.17,15.5,12.17,11.0,12.5,13.25,9.5,6.0
Filippo Bertini,2000324892.0,15.0,8.33,6.0,7.5,12.0,9.33,11.33,8.0,7.5,10.0,6.0,13.0,8.8,6.0,14.25,8.33,8.0,12.5,13.5,7.0,4.0
Aniello Zampella,2000199610.0,15.0,11.17,14.0,9.75,11.75,11.33,9.17,9.75,9.75,9.0,10.25,10.62,11.0,7.33,11.62,10.67,9.5,10.0,14.75,9.67,5.0
Loris Sebert,2000025939.0,15.0,10.5,12.0,9.25,10.25,11.0,10.67,11.0,9.25,9.25,11.0,11.75,10.6,10.5,11.25,11.17,9.5,11.0,11.5,7.83,12.0
Giordano Rossi,2000021846.0,8.0,10.83,6.5,6.5,14.75,10.33,11.33,10.75,6.5,11.5,6.5,12.12,10.8,7.0,14.12,10.33,9.5,15.25,10.5,10.5,8.0
Diego Zuppel,43426148.0,16.0,10.17,13.0,12.0,10.0,9.67,9.67,12.25,12.0,9.25,11.75,12.38,10.0,9.33,12.25,11.33,11.5,10.5,13.75,10.67,9.0
Manolo Portanova,43297054.0,14.0,13.0,9.0,10.0,10.5,10.83,9.67,12.25,10.0,10.0,9.5,11.0,11.9,9.17,11.62,12.17,12.0,10.0,11.75,9.33,12.5
Adam Maher,37012969.0,7.0,13.33,6.0,11.25,14.5,12.17,14.33,10.75,11.25,13.0,11.75,12.25,12.5,8.67,7.88,11.83,12.0,15.25,7.25,11.5,8.5
Carlo Schettino,2000567623.0,10.0,10.33,7.0,8.75,11.25,10.5,9.0,12.0,8.75,12.5,13.0,15.75,10.3,9.5,15.12,11.67,11.0,10.0,12.75,8.0,11.0
Daan Reiziger,37071194.0,11.0,10.67,2.5,10.0,9.0,8.33,7.67,9.75,10.0,4.25,11.0,9.88,9.6,7.67,14.25,9.5,3.0,10.0,9.25,3.67,3.5
Frane Križmanić,2000433152.0,7.0,10.83,8.0,12.75,11.25,11.33,9.0,12.75,12.75,10.5,12.75,12.88,11.0,12.83,12.5,12.33,7.5,11.75,11.5,10.17,13.0
Filip Vasko,43322583.0,16.0,11.0,13.0,10.25,9.0,10.5,6.0,16.0,10.25,6.5,9.5,13.75,10.9,11.5,12.0,14.0,9.0,8.0,10.5,5.67,15.0
