Player,UID,AMC,AP,T,SS,AM,EG
Vito Finetti,2000626436.0,13.1,12.4,13.1,12.2,13.1,12.5
Marco Cuneo,2000572664.0,8.35,9.05,8.35,8.15,8.25,9.5
Francesco Oliva,2000512151.0,10.5,10.6,10.5,10.05,10.6,10.3
Alessandro Ottaviano,2000512150.0,9.0,9.5,9.0,9.2,9.4,9.8
Nicolas Balestracci,2000507375.0,10.1,10.1,10.1,8.5,9.1,8.7
Łukasz Łęgowski,2000055738.0,5.55,5.45,5.55,5.2,5.5,4.7
Mateusz Kochalski,96115206.0,10.0,9.2,10.0,8.7,8.8,8.3
Lorenzo Libutti,43204023.0,11.35,11.35,11.35,10.35,11.15,11.15
Diferdio Misidjan,37084985.0,10.95,10.65,10.95,10.25,10.9,11.0
Fabiano De Nadai,2000573667.0,10.35,10.65,10.35,10.4,11.1,11.35
Francesco Sibilia,2000512153.0,9.0,9.7,9.0,10.35,10.3,10.85
Giuseppe Rossetti,2000511011.0,10.2,9.4,10.2,8.5,9.2,8.7
Corrado Redaelli,2000507385.0,11.9,12.45,11.9,11.95,12.3,12.75
Filippo Bertini,2000324892.0,9.7,10.5,9.7,10.1,10.4,11.2
Aniello Zampella,2000199610.0,10.1,10.7,10.1,10.2,10.5,11.0
Loris Sebert,2000025939.0,11.15,10.85,11.15,10.25,10.6,10.65
Giordano Rossi,2000021846.0,12.05,12.25,12.05,11.45,12.35,11.85
Diego Zuppel,43426148.0,11.0,10.6,11.0,10.7,10.4,10.35
Manolo Portanova,43297054.0,11.45,11.55,11.45,10.9,11.25,11.15
Adam Maher,37012969.0,11.5,11.8,11.5,11.7,12.2,11.8
Carlo Schettino,2000567623.0,11.8,11.2,11.8,10.95,11.25,11.4
Daan Reiziger,37071194.0,9.2,8.8,9.2,7.0,7.9,8.05
Frane Križmanić,2000433152.0,11.55,10.95,11.55,10.85,11.15,10.45
Filip Vasko,43322583.0,10.55,10.15,10.55,9.3,9.3,8.65
Raoul Petretta,98041022.0,12.15,11.45,12.15,11.1,11.5,11.0
Pedro Pelágio,83259120.0,11.9,11.9,11.9,11.8,11.8,12.05
Samuele Bonaldo,2000325145.0,11.1,11.5,11.1,11.45,11.65,12.1
Emiliano Sacco,2000324227.0,10.85,11.05,10.85,11.1,11.45,11.85
Dario Manicone,2000323773.0,11.3,11.3,11.3,12.05,12.25,12.6
Näis Djouahra,49037903.0,11.1,11.8,11.1,11.45,11.8,12.5
Yari Diamanti,2000572662.0,11.7,12.2,11.7,11.5,11.8,11.9
Ruben Bank,2000711214.0,10.9,10.8,10.9,11.0,11.2,11.7
Luka Bogdan,16149835.0,11.05,10.25,11.05,9.3,9.75,9.2
Noah Loosli,98034469.0,10.9,10.4,10.9,10.2,10.35,10.1
