Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Vito Finetti,2000626436.0,13.5,12.8,11.5,13.0,13.3,13.0,13.1,12.7
Marco Cuneo,2000572664.0,6.5,6.45,5.85,7.35,7.4,8.25,8.2,5.75
Francesco Oliva,2000512151.0,10.15,8.8,9.75,10.7,11.35,9.65,10.5,10.4
Alessandro Ottaviano,2000512150.0,8.8,8.3,10.1,9.2,9.0,9.4,9.5,9.3
Nicolas Balestracci,2000507375.0,10.5,8.8,11.2,10.5,10.6,8.2,8.9,10.7
Łukasz Łęgowski,2000055738.0,6.4,6.25,6.2,6.35,6.75,6.15,6.3,6.5
Mateusz Kochalski,96115206.0,10.3,8.75,10.25,10.3,10.2,8.55,8.8,10.35
Lorenzo Libutti,43204023.0,11.55,11.45,12.0,11.25,11.6,11.6,11.0,11.8
Diferdio Misidjan,37084985.0,10.2,10.3,11.15,10.65,10.55,10.35,10.85,10.85
Fabiano De Nadai,2000573667.0,10.15,9.75,9.65,10.4,10.3,10.7,11.5,9.75
Francesco Sibilia,2000512153.0,8.8,8.7,8.5,9.3,9.15,10.35,10.9,8.2
Giuseppe Rossetti,2000511011.0,10.85,9.4,11.55,10.25,10.7,9.35,9.85,11.4
Corrado Redaelli,2000507385.0,11.4,11.0,9.4,11.8,11.7,12.65,13.05,10.65
Filippo Bertini,2000324892.0,8.7,8.9,9.1,10.1,10.1,10.2,10.7,8.9
Aniello Zampella,2000199610.0,9.9,9.4,9.25,10.15,10.3,11.0,11.05,9.25
Loris Sebert,2000025939.0,10.75,10.6,12.0,11.05,11.0,10.25,10.4,11.55
Giordano Rossi,2000021846.0,11.1,10.75,9.2,11.5,12.05,12.0,12.7,10.4
Diego Zuppel,43426148.0,11.0,10.3,11.55,11.1,10.85,10.25,10.4,10.85
Manolo Portanova,43297054.0,10.85,10.65,11.55,11.5,11.55,10.7,10.9,11.5
Adam Maher,37012969.0,12.65,12.65,9.0,11.25,11.6,13.45,12.85,10.35
Carlo Schettino,2000567623.0,10.8,9.9,13.3,11.35,10.95,10.55,11.4,11.6
Daan Reiziger,37071194.0,9.9,8.75,8.75,8.75,9.6,9.35,9.25,9.3
Frane Križmanić,2000433152.0,12.15,10.95,12.1,11.7,11.95,10.65,11.2,12.5
Filip Vasko,43322583.0,10.3,9.05,12.55,11.1,10.8,8.95,9.6,11.95
Raoul Petretta,98041022.0,12.1,11.6,12.35,12.35,12.1,11.25,11.15,12.6
Pedro Pelágio,83259120.0,12.0,11.6,11.6,11.9,11.9,11.55,11.9,11.85
Samuele Bonaldo,2000325145.0,10.9,10.7,9.1,10.85,10.5,11.5,12.35,9.65
Emiliano Sacco,2000324227.0,11.2,10.9,9.1,10.5,10.85,12.3,12.6,10.0
Dario Manicone,2000323773.0,9.9,11.2,9.2,10.75,10.7,12.1,12.85,10.05
Näis Djouahra,49037903.0,11.0,11.0,9.8,11.5,11.55,11.55,11.7,10.4
Yari Diamanti,2000572662.0,11.1,11.3,10.5,11.2,11.2,12.5,12.1,10.4
Ruben Bank,2000711214.0,11.0,11.0,9.0,10.5,10.6,11.8,12.0,9.6
Luka Bogdan,16149835.0,11.75,10.1,13.1,11.3,11.65,9.9,9.75,12.1
Noah Loosli,98034469.0,11.05,10.05,12.85,11.25,11.2,9.45,10.05,11.9
