Player,UID,DM,AM,BWM,HB,SV,RGA
Vito Finetti,2000626436.0,11.6,11.4,11.4,11.5,12.8,12.4
Marco Cuneo,2000572664.0,4.5,5.0,5.0,5.85,5.2,6.35
Francesco Oliva,2000512151.0,10.0,9.5,9.5,9.75,9.45,8.8
Alessandro Ottaviano,2000512150.0,9.3,9.6,9.6,10.1,9.7,8.9
Nicolas Balestracci,2000507375.0,11.4,11.3,11.3,11.2,9.2,9.5
Łukasz Łęgowski,2000055738.0,5.7,5.1,5.1,6.2,5.2,5.95
Mateusz Kochalski,96115206.0,10.25,10.15,10.15,10.25,9.45,9.1
Lorenzo Libutti,43204023.0,11.6,11.85,11.85,12.0,12.05,11.35
Diferdio Misidjan,37084985.0,10.75,10.75,10.75,11.15,11.05,10.65
Fabiano De Nadai,2000573667.0,9.7,9.8,9.8,9.65,9.8,10.1
Francesco Sibilia,2000512153.0,7.2,7.25,7.25,8.5,8.2,8.9
Giuseppe Rossetti,2000511011.0,12.25,12.8,12.8,11.55,10.85,9.35
Corrado Redaelli,2000507385.0,9.8,9.85,9.85,9.4,10.1,11.4
Filippo Bertini,2000324892.0,7.8,7.8,7.8,9.1,8.5,9.1
Aniello Zampella,2000199610.0,8.7,8.75,8.75,9.25,9.0,9.85
Loris Sebert,2000025939.0,11.85,11.85,11.85,12.0,11.5,10.65
Giordano Rossi,2000021846.0,9.4,8.85,8.85,9.2,9.75,11.2
Diego Zuppel,43426148.0,10.65,10.6,10.6,11.55,10.05,10.2
Manolo Portanova,43297054.0,11.45,11.9,11.9,11.55,10.75,10.8
Adam Maher,37012969.0,8.05,8.0,8.0,9.0,10.05,12.55
Carlo Schettino,2000567623.0,12.2,12.4,12.4,13.3,11.35,10.15
Daan Reiziger,37071194.0,8.0,8.35,8.35,8.75,8.65,9.25
Frane Križmanić,2000433152.0,12.7,12.35,12.35,12.1,12.4,11.4
Filip Vasko,43322583.0,12.45,12.65,12.65,12.55,11.0,9.5
Raoul Petretta,98041022.0,12.5,12.8,12.8,12.35,12.6,11.35
Pedro Pelágio,83259120.0,11.65,11.7,11.7,11.6,11.65,11.8
Samuele Bonaldo,2000325145.0,9.2,8.8,8.8,9.1,9.35,11.15
Emiliano Sacco,2000324227.0,8.95,8.9,8.9,9.1,9.8,10.9
Dario Manicone,2000323773.0,9.3,8.5,8.5,9.2,10.15,11.25
Näis Djouahra,49037903.0,9.75,9.35,9.35,9.8,10.35,11.0
Yari Diamanti,2000572662.0,10.1,10.1,10.1,10.5,9.9,11.5
Ruben Bank,2000711214.0,8.8,8.7,8.7,9.0,9.2,10.5
Luka Bogdan,16149835.0,12.8,13.05,13.05,13.1,12.0,9.9
Noah Loosli,98034469.0,12.6,12.5,12.5,12.85,11.8,10.45
