Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Vito Finetti,2000626436.0,2.5,12.5,11.0,12.33,2.5,1.0,2.0,2.5
Marco Cuneo,2000572664.0,0.0,9.12,14.5,6.25,0.0,0.0,0.0,0.0
Francesco Oliva,2000512151.0,2.75,12.62,10.5,9.92,2.5,1.5,2.0,2.25
Alessandro Ottaviano,2000512150.0,0.0,11.25,12.0,9.17,0.0,0.0,0.0,0.0
Nicolas Balestracci,2000507375.0,0.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0
Łukasz Łęgowski,2000055738.0,10.5,7.0,12.0,8.0,7.5,3.0,14.0,7.5
Mateusz Kochalski,96115206.0,13.0,11.5,9.0,11.83,8.5,8.0,12.5,8.5
Lorenzo Libutti,43204023.0,2.0,10.88,11.25,12.08,2.25,1.0,2.75,2.5
Diferdio Misidjan,37084985.0,3.0,12.25,14.25,10.75,2.0,2.5,1.5,2.0
Fabiano De Nadai,2000573667.0,0.0,12.0,10.0,10.92,0.0,0.0,0.0,0.0
Francesco Sibilia,2000512153.0,3.0,11.75,13.5,9.67,2.0,3.0,3.0,1.75
Giuseppe Rossetti,2000511011.0,2.0,12.75,10.75,12.5,2.0,2.5,2.5,2.75
Corrado Redaelli,2000507385.0,1.5,13.88,15.25,10.0,2.5,2.0,3.25,2.5
Filippo Bertini,2000324892.0,2.0,13.0,15.0,8.67,2.5,1.5,3.5,3.25
Aniello Zampella,2000199610.0,2.25,13.38,9.5,10.75,3.0,2.5,3.25,3.5
Loris Sebert,2000025939.0,4.0,12.12,10.5,11.67,2.5,3.5,2.25,2.25
Giordano Rossi,2000021846.0,3.25,12.38,14.5,10.0,2.75,4.0,1.5,2.5
Diego Zuppel,43426148.0,2.5,12.38,12.5,11.83,2.75,3.0,3.25,2.75
Manolo Portanova,43297054.0,2.75,11.62,12.5,11.17,2.5,3.5,3.0,2.5
Adam Maher,37012969.0,1.5,6.88,6.5,12.08,2.0,1.5,3.5,3.25
Carlo Schettino,2000567623.0,3.5,14.75,14.0,13.42,3.25,4.5,2.25,3.25
Daan Reiziger,37071194.0,13.0,11.12,14.25,10.33,10.0,8.0,11.5,10.5
Frane Križmanić,2000433152.0,2.5,12.25,12.75,13.92,1.75,2.5,2.0,2.75
Filip Vasko,43322583.0,3.25,10.75,11.5,13.75,1.5,2.5,3.0,1.75
Raoul Petretta,98041022.0,1.75,11.38,12.0,12.17,1.75,2.0,2.25,2.5
Pedro Pelágio,83259120.0,2.0,12.25,11.5,11.33,2.0,2.0,3.5,2.75
Samuele Bonaldo,2000325145.0,2.5,12.25,16.0,9.67,2.75,2.5,2.25,1.5
Emiliano Sacco,2000324227.0,2.0,12.88,15.0,9.92,3.75,2.0,3.0,3.5
Dario Manicone,2000323773.0,4.0,14.25,15.5,9.17,2.0,5.5,2.5,1.25
Näis Djouahra,49037903.0,3.75,12.12,13.5,9.92,2.25,1.5,2.0,2.25
Yari Diamanti,2000572662.0,2.0,12.75,13.5,13.67,3.0,2.0,2.5,2.0
Ruben Bank,2000711214.0,3.0,13.25,15.5,10.67,1.5,2.0,2.5,2.0
Luka Bogdan,16149835.0,3.25,11.88,10.5,13.42,2.25,2.5,2.25,2.0
Noah Loosli,98034469.0,4.0,12.62,11.0,12.0,3.0,3.0,1.5,3.5
