Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Vito Finetti,2000626436.0,11.0,12.5,11.0,12.0,10.0,12.67,7.0,12.33
Marco Cuneo,2000572664.0,0.0,9.12,14.5,8.83,7.33,11.33,7.5,6.25
Francesco Oliva,2000512151.0,8.17,12.62,10.5,9.5,7.0,8.5,7.0,9.92
Alessandro Ottaviano,2000512150.0,9.0,11.25,12.0,9.67,9.0,11.0,11.5,9.17
Nicolas Balestracci,2000507375.0,10.0,11.0,12.0,7.67,3.0,8.0,8.0,12.0
Łukasz Łęgowski,2000055738.0,5.0,7.0,12.0,6.33,3.0,3.0,7.0,8.0
Mateusz Kochalski,96115206.0,5.83,11.5,9.0,6.67,5.67,7.0,13.25,11.83
Lorenzo Libutti,43204023.0,12.0,10.88,11.25,12.33,9.83,10.33,10.0,12.08
Diferdio Misidjan,37084985.0,10.33,12.25,14.25,10.17,9.5,10.33,7.0,10.75
Fabiano De Nadai,2000573667.0,7.67,12.0,10.0,10.33,9.17,12.17,10.25,10.92
Francesco Sibilia,2000512153.0,4.17,11.75,13.5,10.33,10.17,12.17,7.0,9.67
Giuseppe Rossetti,2000511011.0,12.0,12.75,10.75,7.67,6.33,7.5,12.5,12.5
Corrado Redaelli,2000507385.0,5.67,13.88,15.25,11.33,10.33,14.67,10.5,10.0
Filippo Bertini,2000324892.0,4.33,13.0,15.0,11.0,7.33,11.0,10.5,8.67
Aniello Zampella,2000199610.0,4.17,13.38,9.5,10.83,10.67,10.33,14.5,10.75
Loris Sebert,2000025939.0,11.67,12.12,10.5,10.17,7.83,9.33,13.5,11.67
Giordano Rossi,2000021846.0,7.33,12.38,14.5,12.67,7.5,12.33,7.25,10.0
Diego Zuppel,43426148.0,8.17,12.38,12.5,8.67,12.0,9.17,14.5,11.83
Manolo Portanova,43297054.0,10.17,11.62,12.5,11.0,10.17,10.33,11.5,11.17
Adam Maher,37012969.0,6.5,6.88,6.5,14.5,12.5,13.67,6.5,12.08
Carlo Schettino,2000567623.0,9.67,14.75,14.0,7.83,8.5,11.5,8.5,13.42
Daan Reiziger,37071194.0,5.5,11.12,14.25,10.83,5.17,6.5,6.75,10.33
Frane Križmanić,2000433152.0,13.33,12.25,12.75,10.0,8.67,10.67,7.5,13.92
Filip Vasko,43322583.0,13.67,10.75,11.5,6.83,7.83,7.67,14.5,13.75
Raoul Petretta,98041022.0,12.67,11.38,12.0,9.33,9.5,11.17,8.0,12.17
Pedro Pelágio,83259120.0,11.33,12.25,11.5,11.67,11.17,12.5,11.5,11.33
Samuele Bonaldo,2000325145.0,6.67,12.25,16.0,12.17,10.0,12.83,9.5,9.67
Emiliano Sacco,2000324227.0,5.83,12.88,15.0,12.33,10.33,12.33,8.0,9.92
Dario Manicone,2000323773.0,6.0,14.25,15.5,11.17,12.0,12.5,12.5,9.17
Näis Djouahra,49037903.0,8.33,12.12,13.5,12.0,10.0,12.33,6.0,9.92
Yari Diamanti,2000572662.0,6.0,12.75,13.5,13.33,11.67,10.67,10.5,13.67
Ruben Bank,2000711214.0,5.0,13.25,15.5,11.0,10.0,11.67,10.5,10.67
Luka Bogdan,16149835.0,13.33,11.88,10.5,8.0,8.17,7.33,13.5,13.42
Noah Loosli,98034469.0,12.33,12.62,11.0,8.83,9.0,8.5,13.0,12.0
