Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Ulisse Bizzarri,2000566954.0,14.0,14.0,14.0,14.0,13.2,13.2,13.1,13.1,12.17,12.17
Elidon Gega,2000189330.0,12.25,12.25,12.25,12.25,11.75,11.75,11.5,11.5,10.96,10.96
Luigi Braga,2000506750.0,9.25,9.25,9.25,9.25,8.65,8.65,8.8,8.8,9.29,9.29
Marten Ortmann,2000503144.0,14.7,14.7,14.7,14.7,14.0,14.0,14.0,14.0,12.75,12.75
Francisco Palacios,2000497737.0,11.6,11.6,11.6,11.6,13.25,13.25,11.0,11.0,12.46,12.46
Alessandro Granelli,2000435799.0,13.8,13.8,13.8,13.8,12.35,12.35,13.35,13.35,11.96,11.96
Giacomo Cobianchi,2000434023.0,14.45,14.45,14.45,14.45,13.35,13.35,14.6,14.6,12.96,12.96
Fabio De Santis,2000434022.0,13.15,13.15,13.15,13.15,12.35,12.35,12.45,12.45,11.38,11.38
Giorgio Addessi,2000434016.0,13.55,13.55,13.55,13.55,13.65,13.65,14.4,14.4,13.62,13.62
Mario Miola,2000273723.0,13.05,13.05,13.05,13.05,13.5,13.5,13.2,13.2,12.25,12.25
Alexandros Goublias,2000234468.0,14.35,14.35,14.35,14.35,14.05,14.05,13.6,13.6,12.54,12.54
Gianluca Bettoni,2000189336.0,13.3,13.3,13.3,13.3,11.3,11.3,12.95,12.95,10.67,10.67
Yannick Ako,2000186992.0,11.5,11.5,11.5,11.5,12.5,12.5,11.0,11.0,11.83,11.83
Sebastián Vázquez,2000180227.0,8.95,8.95,8.95,8.95,11.15,11.15,8.35,8.35,11.54,11.54
Luca Cellino,2000566956.0,12.0,12.0,12.0,12.0,12.35,12.35,11.4,11.4,12.04,12.04
Oscar Barreto,2000541646.0,13.9,13.9,13.9,13.9,14.2,14.2,13.4,13.4,14.17,14.17
Emil Andri Valdimarsson,2000355768.0,15.4,15.4,15.4,15.4,14.85,14.85,14.6,14.6,13.96,13.96
Dušan Milovac,2000211178.0,13.6,13.6,13.6,13.6,14.8,14.8,13.1,13.1,14.17,14.17
Malo Gusto,49056280.0,13.5,13.5,13.5,13.5,12.2,12.2,12.55,12.55,12.25,12.25
Emanuel Vignato,43296186.0,15.2,15.2,15.2,15.2,15.1,15.1,14.7,14.7,13.75,13.75
Matteo Pessina,43155796.0,14.6,14.6,14.6,14.6,13.5,13.5,14.4,14.4,13.25,13.25
Kasper Dolberg,27102380.0,11.8,11.8,11.8,11.8,11.75,11.75,11.9,11.9,11.88,11.88
Filippo D'Alena,2000323504.0,8.7,8.7,8.7,8.7,8.1,8.1,7.95,7.95,8.21,8.21
Jacopo Lombardini,2000626005.0,10.7,10.7,10.7,10.7,11.4,11.4,10.6,10.6,11.75,11.75
Moussa Dembélé,85104422.0,13.6,13.6,13.6,13.6,13.6,13.6,14.1,14.1,13.75,13.75
Luigi Cima,2000566953.0,11.7,11.7,11.7,11.7,9.9,9.9,11.4,11.4,10.54,10.54
Gianni Rizzo,2000323580.0,11.55,11.55,11.55,11.55,11.1,11.1,10.7,10.7,12.0,12.0
Pierluigi Gollini,43090278.0,10.45,10.45,10.45,10.45,8.45,8.45,9.75,9.75,8.71,8.71
Wiliam Ávalos,2000564454.0,14.7,14.7,14.7,14.7,14.3,14.3,14.6,14.6,13.33,13.33
Danilo,2000410771.0,14.4,14.4,14.4,14.4,14.5,14.5,14.1,14.1,13.92,13.92
Claudio Corti,2000506751.0,12.6,12.6,12.6,12.6,12.8,12.8,12.4,12.4,13.17,13.17
Pervis Estupiñán,86045976.0,13.3,13.3,13.3,13.3,14.0,14.0,13.0,13.0,13.25,13.25
Sante Curto,2000566959.0,14.2,14.2,14.2,14.2,12.6,12.6,13.25,13.25,11.92,11.92
Tanguy Nianzou,49048365.0,13.4,13.4,13.4,13.4,14.0,14.0,12.7,12.7,14.33,14.33
Tommaso Pobega,43269242.0,13.6,13.6,13.6,13.6,13.0,13.0,13.4,13.4,13.17,13.17
Ludovico Gelmi,43372276.0,6.1,6.1,6.1,6.1,5.3,5.3,5.65,5.65,5.92,5.92
