Player,UID,FB,WB,IWB,CWB,NNFB
Ulisse Bizzarri,2000566954.0,14.2,13.3,13.8,13.46,12.7
Elidon Gega,2000189330.0,11.1,10.65,11.2,11.38,10.55
Luigi Braga,2000506750.0,11.3,9.6,10.85,9.62,11.2
Marten Ortmann,2000503144.0,11.8,11.9,11.9,12.54,10.2
Francisco Palacios,2000497737.0,12.05,11.55,10.3,11.5,10.1
Alessandro Granelli,2000435799.0,10.9,10.85,11.25,11.81,10.2
Giacomo Cobianchi,2000434023.0,10.6,10.85,11.6,12.31,10.75
Fabio De Santis,2000434022.0,10.55,9.85,10.85,10.88,9.55
Giorgio Addessi,2000434016.0,11.5,11.35,10.9,11.85,11.15
Mario Miola,2000273723.0,11.5,12.1,11.2,12.15,11.35
Alexandros Goublias,2000234468.0,11.85,11.75,11.15,12.27,9.65
Gianluca Bettoni,2000189336.0,11.9,10.85,12.65,11.88,11.1
Yannick Ako,2000186992.0,8.9,10.35,8.4,10.88,8.0
Sebastián Vázquez,2000180227.0,12.75,11.35,11.15,10.46,11.8
Luca Cellino,2000566956.0,10.55,10.85,9.6,10.69,8.6
Oscar Barreto,2000541646.0,11.7,11.8,11.2,12.54,10.2
Emil Andri Valdimarsson,2000355768.0,14.65,13.6,14.25,14.15,13.85
Dušan Milovac,2000211178.0,11.9,12.0,10.4,12.23,10.0
Malo Gusto,49056280.0,13.4,12.7,13.5,12.85,13.2
Emanuel Vignato,43296186.0,12.1,12.7,12.4,13.38,11.0
Matteo Pessina,43155796.0,13.4,13.05,13.7,13.42,13.5
Kasper Dolberg,27102380.0,9.1,9.15,9.0,10.04,8.65
Filippo D'Alena,2000323504.0,10.75,7.9,10.3,8.23,10.05
Jacopo Lombardini,2000626005.0,13.6,12.2,12.1,11.92,12.7
Moussa Dembélé,85104422.0,10.7,10.8,10.3,11.62,10.4
Luigi Cima,2000566953.0,12.1,10.85,12.1,10.92,13.3
Gianni Rizzo,2000323580.0,13.85,12.35,12.6,11.73,13.0
Pierluigi Gollini,43090278.0,10.9,7.35,10.7,8.35,11.45
Wiliam Ávalos,2000564454.0,12.2,12.7,11.8,13.08,10.9
Danilo,2000410771.0,12.9,13.0,12.4,13.54,10.9
Claudio Corti,2000506751.0,14.3,13.2,12.9,12.92,13.9
Pervis Estupiñán,86045976.0,13.9,13.8,13.1,13.54,12.7
Sante Curto,2000566959.0,13.95,12.45,13.75,13.12,13.0
Tanguy Nianzou,49048365.0,14.6,14.2,14.2,13.92,14.5
Tommaso Pobega,43269242.0,14.3,13.7,14.3,13.69,14.1
Ludovico Gelmi,43372276.0,7.0,5.25,7.05,5.65,7.9
