Player,UID,CD,BPD,NNCB,Lib
Mario Sacchi,2000628256.0,10.4,11.0,10.1,12.5
Giorgio Del Nero,2000569080.0,7.5,7.3,7.3,8.5
Ding Lei,2000566986.0,8.8,8.2,8.2,9.1
Francesco Boron,2000510618.0,6.2,7.1,6.1,7.35
Alessandro Cudicio,2000436500.0,7.0,8.3,7.15,9.95
José Daniel Lafuente,2000435809.0,9.2,10.1,8.9,11.8
Andrea Beretta,2000323828.0,7.7,7.35,7.2,7.4
Gianluigi Fornari,2000199598.0,8.55,7.6,8.3,6.7
Tommaso Risaliti,2000198565.0,10.25,11.2,10.55,10.35
Antonio Buzzi,2000193933.0,12.15,11.45,12.5,10.05
Matteo Bernard,2000189331.0,9.25,9.7,8.75,10.4
Kamil Broda,96129081.0,8.35,7.95,8.85,6.1
Alessio Furlanetto,43425157.0,7.8,7.2,8.2,6.3
Matteo Canini,2000437226.0,8.15,9.2,8.5,9.2
Carlos Rojas,2000561489.0,9.25,8.5,9.4,8.75
Mauro Brizi,2000272649.0,10.7,9.2,9.7,7.95
Fidel Blasco,2000573382.0,7.5,7.1,6.9,9.15
Cristian Ferrari,2000570040.0,9.6,9.3,8.95,10.6
Raffaele Civita,2000437228.0,10.9,10.65,10.75,10.85
Massimo Todaro,2000437225.0,8.45,8.35,8.45,8.25
Kalidou Koulibaly,85051083.0,14.4,13.45,14.5,11.95
Roberto Taliento,43252472.0,9.15,8.55,8.55,7.4
Claud Adjapong,43202413.0,11.75,11.85,11.4,12.05
Amir Rrahmani,11023165.0,13.55,12.75,14.05,11.3
Egidio Guidi,2000190821.0,13.35,12.6,13.95,11.0
Giacomo Raspadori,43316850.0,9.45,9.5,9.35,10.75
Vasyl Lysenko,2000660045.0,13.8,13.25,14.3,12.5
Davide Addis,2000199603.0,10.85,11.55,10.8,11.45
Mario Liccardo,2000437227.0,13.15,12.6,12.75,13.15
Enrico Del Prato,43252473.0,12.85,12.75,12.6,12.85
Lennart Czyborra,91166521.0,12.3,12.25,12.4,12.7
Daniele De Filippis,2000327509.0,9.85,10.0,9.45,9.8
Leonardo Loria,43269230.0,8.35,8.35,8.55,7.65
Cláudio Marcos,2000410741.0,9.15,8.35,8.75,7.25
Nicolò Trombino,2000324477.0,11.85,11.8,11.05,11.75
Amath N'Diaye,67213756.0,7.45,7.4,7.75,8.85
Chancel Mbemba,18057323.0,13.15,12.35,12.5,12.6
Cristian Pavón,14083972.0,8.65,8.5,8.15,9.55
Jonathan Augustinsson,93051231.0,13.15,13.2,13.25,12.75
Fabián Buonanno,2000273255.0,11.3,11.8,10.7,12.4
Pablo Aránguiz,75036973.0,8.6,8.9,8.4,11.4
Daniele Rugani,43083931.0,14.6,14.4,13.6,13.0
