Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Mario Sacchi,2000628256.0,13.7,13.4,11.7,14.3,14.0,14.5,14.9,12.6
Giorgio Del Nero,2000569080.0,9.6,9.3,9.55,9.9,9.8,10.85,10.9,8.95
Ding Lei,2000566986.0,11.5,10.2,10.7,12.0,12.3,11.3,11.7,11.2
Francesco Boron,2000510618.0,10.2,8.85,7.9,11.25,10.9,10.55,11.15,9.2
Alessandro Cudicio,2000436500.0,10.15,10.55,9.25,11.6,11.35,11.6,12.9,10.8
José Daniel Lafuente,2000435809.0,13.1,13.2,10.0,13.2,13.1,14.3,14.5,11.8
Andrea Beretta,2000323828.0,10.15,8.6,9.0,9.1,10.4,8.5,9.0,9.45
Gianluigi Fornari,2000199598.0,9.55,7.6,9.8,9.35,9.8,7.95,8.6,9.55
Tommaso Risaliti,2000198565.0,10.3,10.3,9.9,10.3,10.75,10.05,10.05,10.95
Antonio Buzzi,2000193933.0,9.75,9.35,11.9,9.8,10.15,9.55,10.0,10.8
Matteo Bernard,2000189331.0,11.5,11.45,10.4,12.5,12.4,12.85,13.95,11.5
Kamil Broda,96129081.0,8.1,6.95,8.75,7.4,7.75,6.85,6.8,7.9
Alessio Furlanetto,43425157.0,8.15,7.25,7.4,6.8,6.9,6.9,7.1,7.25
Matteo Canini,2000437226.0,10.3,10.0,9.1,11.35,10.9,11.9,12.25,9.75
Carlos Rojas,2000561489.0,9.0,8.0,10.3,9.45,9.4,9.05,9.75,9.3
Mauro Brizi,2000272649.0,11.0,8.8,12.2,10.45,11.15,7.85,8.3,11.5
Fidel Blasco,2000573382.0,11.2,10.75,8.75,10.55,10.65,12.1,12.8,9.5
Cristian Ferrari,2000570040.0,12.35,11.65,11.4,13.55,13.4,11.95,13.05,12.3
Raffaele Civita,2000437228.0,10.6,9.95,11.1,11.3,11.05,10.65,11.65,10.65
Massimo Todaro,2000437225.0,10.8,9.25,9.2,9.0,10.25,8.85,9.3,9.65
Kalidou Koulibaly,85051083.0,11.65,10.4,13.2,11.4,11.55,9.3,9.25,12.4
Roberto Taliento,43252472.0,9.2,7.9,9.35,8.9,9.05,7.3,7.6,9.2
Claud Adjapong,43202413.0,12.15,11.85,11.8,12.0,12.05,12.15,12.0,12.4
Amir Rrahmani,11023165.0,11.65,10.35,12.9,10.35,10.8,9.2,8.9,12.1
Egidio Guidi,2000190821.0,11.3,10.35,14.55,12.15,12.5,10.0,10.95,13.05
Giacomo Raspadori,43316850.0,12.8,12.4,11.25,12.8,12.75,13.45,13.7,11.55
Vasyl Lysenko,2000660045.0,12.1,11.8,14.0,12.15,12.2,11.35,11.1,13.25
Davide Addis,2000199603.0,12.55,11.75,11.6,12.8,13.15,12.45,12.8,12.4
Mario Liccardo,2000437227.0,14.0,13.05,13.95,13.95,14.4,12.95,13.95,14.0
Enrico Del Prato,43252473.0,12.85,12.65,12.5,12.3,12.35,12.95,12.8,12.7
Lennart Czyborra,91166521.0,12.7,12.6,13.25,13.45,13.25,12.45,12.85,13.05
Daniele De Filippis,2000327509.0,11.5,10.45,10.6,11.6,11.5,11.4,12.4,11.1
Leonardo Loria,43269230.0,10.45,9.25,8.85,8.95,9.75,8.7,8.7,9.5
Cláudio Marcos,2000410741.0,10.3,8.4,10.0,9.4,9.85,7.7,8.25,9.95
Nicolò Trombino,2000324477.0,13.3,13.3,12.35,13.8,13.85,13.85,13.6,13.35
Amath N'Diaye,67213756.0,9.7,10.2,9.25,10.3,10.25,11.25,11.1,8.75
Chancel Mbemba,18057323.0,12.7,12.0,12.85,12.75,12.5,10.9,11.2,13.3
Cristian Pavón,14083972.0,10.3,10.5,10.9,11.75,11.3,11.0,10.75,10.95
Jonathan Augustinsson,93051231.0,12.65,12.55,13.55,13.0,12.95,11.9,11.55,13.5
Fabián Buonanno,2000273255.0,14.0,12.7,11.4,13.5,13.8,13.9,14.8,12.5
Pablo Aránguiz,75036973.0,12.7,12.8,10.2,12.3,12.3,13.8,13.8,11.3
Daniele Rugani,43083931.0,13.1,12.0,13.5,12.8,13.4,10.5,11.2,14.3
